证书签发完成,"Certificate Issued"
"网关未在 %{1} 秒内确认 ACME HTTP-01 challenge 发布。","网关未在 %{1} 秒内确认 ACME HTTP-01 challenge 发布。"
"ACME HTTP 请求失败: url=%{1}, error=%{2}","ACME HTTP request failed: url=%{1}, error=%{2}"
用户手动禁用,"User manually disabled"
"上一次证书退役尚未完成代际事件确认，请等待自动恢复后再启用 HTTPS。","上一次证书退役尚未完成代际事件确认，请等待自动恢复后再启用 HTTPS。"
未找到域名证书：%{1},"Domain certificate not found: %{1}"
证书文件不安全、已过期、未覆盖域名或与私钥不匹配,证书文件不安全、已过期、未覆盖域名或与私钥不匹配
"HTTPS 已写入启用事实，但服务清单尚未完成确认：%{1}","HTTPS 已写入启用事实，但服务清单尚未完成确认：%{1}"
"HTTPS 已启用","HTTPS enabled"
"本地域名 %{1} 的证书受保护，不能禁用或删除","本地域名 %{1} 的证书受保护，不能禁用或删除"
证书退役意图未能安全持久化：%{1},证书退役意图未能安全持久化：%{1}
证书已进入安全隔离且保留可重放意图，数据库撤销待恢复：%{1},证书已进入安全隔离且保留可重放意图，数据库撤销待恢复：%{1}
证书已进入失效安全状态，后续退役阶段将自动重放：%{1},证书已进入失效安全状态，后续退役阶段将自动重放：%{1}
"HTTPS 已禁用","HTTPS disabled"
证书生命周期失败诊断写入失败：%{1},证书生命周期失败诊断写入失败：%{1}
存在空域名证书记录，已跳过,"Empty domain certificate record exists, skipped"
"域名 %{1} 的证书管理记录缺少 PEM 内容，无法重载（使用 --clear 可清除并重置）","The certificate management record for domain %{1} is missing PEM content and cannot be reloaded (use --clear to clear and reset)"
"域名 %{1} 的证书文件恢复失败（使用 --clear 可清除并重置）","Failed to restore the certificate file for domain %{1} (use --clear to clear and reset)"
"未找到域名 %{1} 的证书记录","No certificate record found for domain %{1}"
证书管理中没有可重载的证书记录,"No reloadable certificate records in certificate management"
"server:ssl:reload --clear 清理","server:ssl:reload --clear cleanup"
证书清理失败,证书清理失败
"WLS performance panel traces were cleared","WLS performance panel traces were cleared"
秒,second(s)
分,minute(s)
小时,hour(s)
天,day(s)
"Master 初始化开始 (Orchestrator 模式)","Master initialization starts (Orchestrator mode)"
"实例名称: %{1}","Instance name: %{1}"
"运行拓扑: %{1}","运行拓扑: %{1}"
"守护进程: %{1}","Daemon: %{1}"
是,Yes
否,No
"Windows 窗口模式: %{1}","Windows window mode: %{1}"
"Master 初始化完成","Master initialization completed"
"启动 Master 进程...","Starting Master process..."
"已注册 Master PID","Registered Master PID"
"控制端口: %{1}（首选 %{2} 不可用，已自动顺延）","Control port: %{1} (preferred %{2} unavailable, automatically deferred)"
"控制端口: %{1}","Control port: %{1}"
"Master 启动阶段：Orchestrator providers 已加载","Master Startup phase: Orchestrator providers loaded"
"Master 启动阶段：信号处理器已注册","Master startup phase: signal handler registered"
"Master 启动阶段：控制面已启动","Master startup phase: control plane started"
"Master 启动阶段：bootstrapping 实例信息已写入","Master startup phase: bootstrapping instance information written"
"Master 自愈模式：%{1}","Master self-healing mode: %{1}"
"Master 进入主循环，监控子进程...","Master enters the main loop and monitors child processes..."
"Master 主循环结束","Master main loop ends"
"Master 启动失败: %{1}","Master startup failed: %{1}"
"Master 正在关闭，通知所有子进程...","Master is shutting down, notifying all child processes..."
"Master PID %{1} 已注册到索引","Master PID %{1} has been registered in the index"
"检测到新 Master 代际，旧 Master 跳过同名 PID 索引清理","检测到新 Master 代际，旧 Master 跳过同名 PID 索引清理"
"检测到同名新 Master PID %{1}，旧 Master 跳过索引清理","检测到同名新 Master PID %{1}，旧 Master 跳过索引清理"
"Master PID 索引已移除","Master PID index has been removed"
"检测到 Master 退出后仍有子进程存活，已保留实例记录供后续恢复控制","Detected child processes still alive after Master exit, retaining instance records for subsequent recovery control."
实例记录已完成清理,"Instance Records Cleaned Up"
"收到 SIGTERM 信号，开始统一停机流程...","Received SIGTERM signal, starting unified shutdown process..."
"收到 SIGINT 信号，开始统一停机流程...","Received SIGINT signal, starting unified shutdown process..."
"收到 SIGQUIT 信号，开始统一停机流程...","Received SIGQUIT signal, starting unified shutdown process..."
"停机流程进行中，忽略 SIGHUP 重载信号","Shutdown in progress, ignoring SIGHUP reload signal"
"收到 SIGHUP 信号，开始重载...","Received SIGHUP signal, starting reload..."
"状态报告: %{1}","Status Report: %{1}"
"已注册 pcntl 信号: %{1}","Registered pcntl signal: %{1}"
"Windows 模式：收到 Ctrl+Break 信号，开始统一停机流程...","Windows mode: After receiving the Ctrl+Break signal, start the unified shutdown process..."
"Windows 模式：收到 Ctrl+C 信号，开始统一停机流程...","Windows mode: After receiving the Ctrl+C signal, start the unified shutdown process..."
"Windows 模式：已注册 Ctrl+C 处理函数（sapi_windows_set_ctrl_handler）","Windows mode: registered Ctrl+C Handling function (sapi_windows_set_ctrl_handler)"
检测到异常退出，执行清理...,"Detected abnormal exit, performing cleanup..."
"已注册 shutdown 清理函数（Ctrl+C 可能不会触发优雅停止）","Registered shutdown cleanup function (Ctrl+C may not trigger graceful stop)"
"已回收子进程 PID %{1} (%{2})","Recycled child process PID %{1} (%{2})"
启动锁已释放（回调）,"Startup lock released (callback)"
"启动锁由启动器持有，Master 无需释放","启动锁由启动器持有，Master 无需释放"
"SSL 启动后补偿任务未能启动：%{1}；WLS 保持 READY，后续由证书待确认队列/Agent 重试。","SSL 启动后补偿任务未能启动：%{1}；WLS 保持 READY，后续由证书待确认队列/Agent 重试。"
"跳过 SSL 启动后申请：缺少域名配置。","Skipped certificate application after SSL startup: missing domain configuration."
"跳过 SSL 启动后申请：%{1} 已有未过期证书。","跳过 SSL 启动后申请：%{1} 已有未过期证书。"
"已触发 SSL 延迟重试：%{1}（pid=%{2}）","SSL delayed retry triggered: %{1} (pid=%{2})"
"已触发 SSL 延迟重试：%{1}（后台进程 PID 未返回，可通过 ssl:auto list 查看结果）","SSL delayed retry triggered: %{1} (background process PID not returned; check results via ssl:auto list)"
未找到,"Not found"
"Event 扩展","Event extension"
"基于 libevent 的高性能事件循环","High-performance event loop based on libevent"
"pcntl_fork 函数","pcntl_fork function"
"真正的进程分叉，共享内存，性能最优（仅 Linux/Mac）","True process forking, shared memory, optimal performance (Linux/Mac only)"
"使用 exec 备用方案","Using exec as fallback option"
原生进程分叉，更低开销,"Native Process Forking for Lower Overhead"
"OPCache 扩展","OPCache extension"
"Windows ARM64 的 x64 PHP 仿真已禁用 WLS CLI OPcache/JIT；请使用原生 ARM64 PHP 后再按基准评估。","WLS disables CLI OPcache and JIT for x64 PHP emulation on Windows ARM64. Use native ARM64 PHP before benchmarking them."
"字节码缓存，提升 PHP 执行速度","Bytecode cache, improves PHP execution speed"
每次请求重新编译,"Recompile on each request"
使用缓存的字节码,"Use cached bytecode"
"JIT 编译器","JIT compiler"
"Windows ARM64 的 x64 PHP 仿真不支持 WLS JIT；请使用原生 ARM64 PHP 后再按基准评估 JIT。","Windows ARM64 的 x64 PHP 仿真不支持 WLS JIT；请使用原生 ARM64 PHP 后再按基准评估 JIT。"
"PHP 8 即时编译器，显著提升 CPU 密集型任务性能","PHP 8 just-in-time compiler, significantly improve the performance of CPU-intensive tasks"
解释执行,"Interpret and Execute"
"编译执行，接近 C 语言性能","Compile and execute, with performance close to C language"
"Sockets 扩展","Sockets extension"
"底层 Socket 操作，更精细的控制","Low-level Socket Operations for Finer Control"
"使用 stream_socket","Using stream_socket"
"使用原生 socket","Using native socket"
"proc_open 函数","proc_open function"
"进程控制核心函数，支持精确的 PID 管理","Process control core function, supports precise PID management"
"使用 exec 备用","Using exec as fallback"
精确控制子进程,"Precisely control child processes"
"HTTPS/SSL 配置","HTTPS/SSL configuration"
安全加密,"Secure encryption"
"为服务器启用 HTTPS 加密传输，保护数据安全","Enable HTTPS encrypted transmission for the server to protect data security"
"HTTP 明文传输","HTTP clear text transfer"
"HTTPS 加密传输","HTTPS encrypted transmission"
跨平台,Cross-platform
"需要 PHP 编译时启用 OpenSSL 支持","Requires PHP compiled with OpenSSL support"
"一、获取 SSL 证书","1. Obtain an SSL certificate"
"您可以通过以下方式获取 SSL 证书","You can obtain an SSL certificate through the following methods"
"1. 免费证书（推荐）","1. Free certificate (recommended)"
"使用 certbot 自动获取和续期","Automatically obtaining and renewing with certbot"
"2. 自签名证书（开发环境）","2. Self-signed certificate (development environment)"
仅用于开发测试，浏览器会显示安全警告,"For development and testing only; the browser will display a security warning"
"3. 商业证书","3. Commercial certificate"
适合企业生产环境,"Suitable for Enterprise Production Environments"
二、证书文件准备,"2. Certificate file preparation"
确保证书文件格式正确,"Ensure the certificate file format is correct"
"证书文件 (cert.pem)","Certificate File (cert.pem)"
包含服务器证书，可选包含中间证书链,"Include the server certificate, optionally include the intermediate certificate chain"
"私钥文件 (key.pem)","Private Key File (key.pem)"
服务器私钥，必须无密码保护,"Server private key must be passwordless"
"请妥善保管，设置严格权限 (chmod 600)","Keep it safe and set strict permissions (chmod 600)."
"三、启动 HTTPS 服务器","3. Start the HTTPS server"
"服务器支持多域名证书，自动检测 app/etc/ssl/ 目录","Server supports multi-domain certificates, auto-detecting app/etc/ssl/ directory"
多域名证书目录结构（推荐）,"Multi-domain certificate directory structure (recommended)"
每个域名一个目录，自动匹配证书,"One directory per domain, auto-matching certificates"
支持的证书文件名格式（按优先级）,"Supported certificate file name formats (by priority)"
将证书文件放入对应域名目录，服务器启动时自动检测,"Place certificate files in corresponding domain directory, auto-detected at startup"
自动申请证书,"Auto request certificate"
自动检测方式（推荐）,"Auto-detect method (recommended)"
"将证书放入 app/etc/ 目录后直接启动","Place the certificate in the app/etc/ directory and start directly"
"服务器自动检测并启用 HTTPS","Server automatically detects and enables HTTPS"
手动指定方式,"Manual specification method"
"配置文件方式 (env.php)","Configuration file method (env.php)"
"在 env.php 中配置 SSL 证书","Configure SSL certificate in env.php"
"支持的 SSL/TLS 协议","Supported SSL/TLS protocols"
"服务器支持所有 TLS 协议，默认使用最高可用版本","Server supports all TLS protocols, using the highest available version by default"
"推荐，最安全（PHP 7.4+）","Recommended, Most Secure (PHP 7.4+)"
广泛支持，安全,"Broad support, secure"
兼容旧系统,"Compatible with legacy system"
"四、验证 HTTPS","4. Verify HTTPS"
"确认 HTTPS 服务器正常运行","Confirm HTTPS server is running normally"
浏览器访问,"Browser Access"
命令行测试,"Command line test"
"-k 参数用于忽略自签名证书警告","-k parameter is used to ignore self-signed certificate warnings"
五、生产环境建议,"5. Production environment recommendations"
"使用 443 端口（标准 HTTPS 端口）","Use port 443 (standard HTTPS port)"
"配置 HTTP 到 HTTPS 重定向","Configure HTTP to HTTPS Redirect"
"启用 HSTS（HTTP Strict Transport Security）","Enable HSTS (HTTP Strict Transport Security)"
"使用 TLS 1.2 或更高版本","Using TLS 1.2 or later"
"1. 下载扩展","1. Download extension"
"访问 PECL 下载对应版本","Visit PECL to download the corresponding version"
"选择版本：PHP %{1}, %{2}, %{3}","Select Version: PHP %{1}, %{2}, %{3}"
"2. 复制 DLL 文件","2. Copy the DLL file"
"将 php_event.dll 复制到扩展目录","Copy php_event.dll to the extension directory"
"3. 编辑 php.ini","3. Edit php.ini"
"在 php.ini 中添加扩展","Add extension in php.ini"
"4. 重启服务器","4. Restart the server"
"1. 安装依赖","1. Install dependencies"
"安装 libevent 开发库","Install libevent development library"
"2. 安装扩展","2. Install the extension"
"使用 PECL 安装","Install using PECL"
"3. 启用扩展","3. Enable extension"
"在 php.ini 中添加","Add in php.ini"
"pcntl 扩展不支持 Windows 平台，系统将自动使用备用方案","pcntl extension does not support Windows platform, the system will automatically use a fallback"
"1. 编辑 php.ini","1. Edit php.ini"
"从 disable_functions 中移除 pcntl_fork","Remove pcntl_fork from disable_functions"
"找到 disable_functions 行，删除 pcntl_fork","Found disable_functions line, removing pcntl_fork"
"2. 重启 PHP-FPM（如有）","2. Restart PHP-FPM (if any)"
"pcntl_fork 已可用","pcntl_fork is available"
"1. 启用 OPCache","1. Enable OPCache"
"在 php.ini 中取消注释","Uncomment in php.ini"
"1. 安装 OPCache","1. Install OPCache"
"%{1}. 启用 CLI 模式","%{1}. Enable CLI mode"
"%{1}. 推荐配置","%{1}. Recommended configuration"
"优化 OPCache 配置","Optimize OPCache configuration"
"JIT 需要 PHP 8.0+，当前版本：%{1}","JIT requires PHP 8.0+, current version: %{1}"
"1. 确保 OPCache 已启用","1. Make sure OPCache is enabled"
"JIT 依赖 OPCache","JIT depends on OPCache"
"2. 配置 JIT","2. Configure JIT"
"3. 重启服务器","3. Restart the server"
"sockets 扩展已可用","sockets extension is available"
"1. 启用扩展","1. Enable extensions"
"1. 安装扩展","1. Install extensions"
已可用,Available
"proc_open 函数已启用","proc_open function enabled"
"从 disable_functions 中移除 proc_open","Remove proc_open from disable_functions"
"找到 disable_functions 行，删除 proc_open","Found disable_functions line, removing proc_open"
缓存命名空间失效帧包含未知字段。,"The cache namespace invalidation frame contains an unknown field."
缓存命名空间失效帧不完整。,"The cache namespace invalidation frame is incomplete."
不支持该缓存命名空间失效协议版本。,"The cache namespace invalidation protocol version is unsupported."
"缓存命名空间失效操作 ID 无效。","The cache namespace invalidation operation ID is invalid."
缓存命名空间权威时钟必须为正整数。,"The cache namespace authority clock must be a positive integer."
"缓存命名空间失效变更数必须为 1 至 64。","Cache namespace invalidation must contain 1 to 64 changes."
缓存命名空间失效变更无效。,"The cache namespace invalidation change is invalid."
缓存命名空间路径无效。,"The cache namespace path is invalid."
缓存命名空间失效变更必须按命名空间排序。,"Cache namespace invalidation changes must be sorted by namespace."
缓存命名空间失效变更超出容量限制。,"Cache namespace invalidation changes exceed the capacity limit."
"缓存命名空间失效帧超过 64 KiB。","The cache namespace invalidation frame exceeds 64 KiB."
缓存命名空间代际应用器不可用。,"The cache namespace generation applier is unavailable."
"操作 ID 已用于其他负载。","The operation ID was already used for another payload."
缓存命名空间失效操作已接收。,"The cache namespace invalidation operation was accepted."
待处理的缓存命名空间失效操作超出容量限制。,"Pending cache namespace invalidation operations exceed the capacity limit."
没有正在执行的缓存命名空间失效操作。,"There is no active cache namespace invalidation operation."
"操作 ID 负载冲突。","The operation ID payload conflicts with a prior operation."
应用缓存命名空间代际失败。,"Failed to apply cache namespace generations."
"不能同时使用 --install-deps 与 --no-auto-deps。","--install-deps and --no-auto-deps cannot be used together."
"Dispatcher 请求与 Direct 有效拓扑冲突；已拒绝静默改写拓扑。","The Dispatcher request conflicts with the effective Direct topology; silently rewriting the topology was refused."
"Windows Direct 使用 Nginx 直连的独立 Worker 回环端口与内置 stream_select；不需要安装或编译 ext-event。","Windows Direct 使用 Nginx 直连的独立 Worker 回环端口与内置 stream_select；不需要安装或编译 ext-event。"
"当前平台无法履行 Direct 拓扑依赖契约；已拒绝启动。","The current platform cannot satisfy the Direct topology dependency contract; startup was refused."
"Direct shared_fd 需要 proc_open/proc_get_status、POSIX 进程控制和可枚举的继承描述符；当前 PHP/系统不满足。","Direct shared_fd 需要 proc_open/proc_get_status、POSIX 进程控制和可枚举的继承描述符；当前 PHP/系统不满足。"
"sockets、OpenSSL 与 ext-event 已由当前 PHP 二进制加载且可用。","sockets, OpenSSL, and ext-event are loaded and available in the current PHP binary."
"sockets 与 ext-event 已由当前 PHP 二进制加载且可用。","sockets and ext-event are loaded and available in the current PHP binary."
"OpenSSL、ext-event 与 POSIX shared_fd 启动原语已可用。","OpenSSL、ext-event 与 POSIX shared_fd 启动原语已可用。"
"ext-event 与 POSIX shared_fd 启动原语已可用。","ext-event 与 POSIX shared_fd 启动原语已可用。"
"OpenSSL 与 ext-event 已由当前 PHP 二进制加载且可用。","OpenSSL and ext-event are loaded and available in the current PHP binary."
"ext-event 已由当前 PHP 二进制加载且可用。","ext-event is loaded and available in the current PHP binary."
"HTTPS 需要当前 PHP 二进制预先加载 OpenSSL；server:start 默认不会安装或编译依赖。","HTTPS requires OpenSSL to be preloaded by the current PHP binary; server:start does not install or compile dependencies by default."
"Direct 运行时缺少预装依赖：%{1}。普通启动不会现场安装或编译；请先安装，或显式使用 --install-deps。","The Direct runtime is missing preinstalled dependencies: %{1}. Normal startup does not install or compile them; install them first or explicitly use --install-deps."
"server:start 仅完成依赖探测；Dispatcher 将使用当前 PHP 已有能力和有界 stream_select。","server:start only probes dependencies; Dispatcher will use the current PHP capabilities and bounded stream_select."
"本次显式 OpenSSL 安装后当前 Windows PHP 二进制仍无法加载该扩展；已拒绝重复安装循环。","The current Windows PHP binary still cannot load OpenSSL after this explicit installation; another installation loop was refused."
"无法获取 WLS 运行时依赖安装锁；HTTPS 已拒绝启动。","Unable to acquire the WLS runtime dependency installation lock; HTTPS startup was refused."
"本次显式 OpenSSL 安装未能为当前 Windows PHP ABI（%{1}）生成可用扩展。","This explicit OpenSSL installation did not produce a usable extension for the current Windows PHP ABI (%{1})."
"Windows OpenSSL 已由当前 PHP ABI 实际加载验证。","Windows OpenSSL was verified by an actual load in the current PHP ABI."
"独立 PHP 探针可加载 event，但依赖重入进程仍未加载；为避免重复重启，WLS 将使用稳定的 Dispatcher + stream/select 运行时。","The standalone PHP probe can load event, but the dependency re-entry process still cannot; to avoid repeated restarts, WLS will use the stable Dispatcher plus stream/select runtime."
"Windows event 运行时已由当前 PHP 二进制实际加载验证。","The Windows event runtime was verified by an actual load in the current PHP binary."
"官方 event 包安装后仍无法由当前 Windows PHP ABI（%{1}）加载；WLS 将使用稳定的 Dispatcher + stream/select 运行时，且不会重复安装。","The official event package still cannot be loaded by the current Windows PHP ABI (%{1}) after installation; WLS will use the stable Dispatcher plus stream/select runtime without reinstalling it."
"无法获取 Windows event 安装锁；WLS 将使用稳定的 Dispatcher + stream/select 运行时。","Unable to acquire the Windows event installation lock; WLS will use the stable Dispatcher plus stream/select runtime."
"其他 WLS 启动进程已安装并验证 Windows event 运行时。","Another WLS startup process installed and verified the Windows event runtime."
"Windows event 已从官方 PECL 精确 ABI 包安装，并由当前 PHP 二进制实际加载验证。","Windows event was installed from the official PECL package matching the exact ABI and verified by loading it with the current PHP binary."
"当前 Windows PHP ABI（%{1}）没有可实际加载的可信 event DLL；WLS 将使用稳定的 Dispatcher + stream/select 运行时，不会加载未验证 DLL。","No trusted event DLL can be loaded by the current Windows PHP ABI (%{1}); WLS will use the stable Dispatcher plus stream/select runtime and will not load an unverified DLL."
"HTTPS 需要当前 PHP 二进制加载 OpenSSL；当前平台不支持通过 --install-deps 安全安装。","HTTPS requires OpenSSL in the current PHP binary; this platform does not support a safe --install-deps path."
"当前平台不支持通过 --install-deps 安全安装 ext-event；WLS 将使用兼容运行时。","This platform does not support safely installing ext-event through --install-deps; WLS will use the compatible runtime."
"ext-event 已在当前 PHP CLI 扫描目录中原子启用并由新 PHP 子进程验证。","ext-event 已在当前 PHP CLI 扫描目录中原子启用并由新 PHP 子进程验证。"
"ext-event 配置自愈失败；未修改主 php.ini，已拒绝继续。","ext-event 配置自愈失败；未修改主 php.ini，已拒绝继续。"
"本次显式依赖安装后 sockets/OpenSSL/ext-event 仍不可用；已拒绝重复安装循环。","sockets/OpenSSL/ext-event remain unavailable after this explicit dependency installation; another installation loop was refused."
"本次显式依赖安装后 OpenSSL/ext-event 仍不可用；已拒绝重复安装循环。","本次显式依赖安装后 OpenSSL/ext-event 仍不可用；已拒绝重复安装循环。"
"Dispatcher 的 ext-event 安装后仍不可用；保持显式 Dispatcher 并使用有界 stream_select，不改写拓扑。","ext-event remains unavailable after installation; keep the explicit Dispatcher with bounded stream_select and do not rewrite the topology."
"无法获取 WLS 运行时依赖安装锁；Direct 已拒绝启动。","Unable to acquire the WLS runtime dependency installation lock; Direct startup was refused."
"无法获取 WLS 运行时依赖安装锁；HTTPS/OpenSSL 已拒绝启动。","Unable to acquire the WLS runtime dependency installation lock; HTTPS/OpenSSL startup was refused."
"Dispatcher 无法获取可选 ext-event 安装锁；继续使用有界 stream_select。","Dispatcher could not acquire the optional ext-event installation lock; continue with bounded stream_select."
"其他 WLS 启动进程已安装 sockets/OpenSSL/ext-event。","Another WLS startup process installed sockets/OpenSSL/ext-event."
"其他 WLS 启动进程已安装 OpenSSL/ext-event。","其他 WLS 启动进程已安装 OpenSSL/ext-event。"
"其他 WLS 启动进程已安装 HTTPS/OpenSSL 与 Dispatcher 可选 ext-event。","Another WLS startup process installed HTTPS/OpenSSL and the optional Dispatcher ext-event dependency."
"HTTPS 必需依赖已安装验证；Dispatcher 可选 ext-event 安装失败，重入后将使用有界 stream_select。","Required HTTPS dependencies were installed and verified; the optional Dispatcher ext-event installation failed, so re-entry will use bounded stream_select."
"%{1} 本次显式安装未能为 PHP %{2} 生成可用扩展；保持显式 Dispatcher 并使用有界 stream_select。","This explicit %{1} installation did not produce a usable extension for PHP %{2}; the explicit Dispatcher topology remains active with bounded stream_select."
"%{1} 本次显式安装未能为 PHP %{2} 生成可用扩展。","This explicit %{1} installation did not produce a usable extension for PHP %{2}."
"sockets/OpenSSL/ext-event 已使用当前 PHP 安装并验证。","sockets/OpenSSL/ext-event were installed and verified with the current PHP binary."
"OpenSSL/ext-event 已使用当前 PHP 安装并验证。","OpenSSL/ext-event 已使用当前 PHP 安装并验证。"
"HTTPS/OpenSSL 与 Dispatcher 可选 ext-event 已使用当前 PHP 安装并验证。","HTTPS/OpenSSL and the optional Dispatcher ext-event dependency were installed and verified with the current PHP binary."
"wls.ssl.engine 仅支持 none/stream；收到 %{1}。","wls.ssl.engine supports only none/stream; received %{1}."
"Nginx 模式不允许 WLS external TLS Session Cache；TLS Session Cache 与 Ticket 由项目托管 Nginx 处理。","Nginx mode does not allow an external WLS TLS session cache; the project-managed Nginx owns the TLS session cache and tickets."
仅开发模式可用，当前部署模式：%{1},"Only available in dev mode; current deploy: %{1}"
"请在 env.php 中配置 wls.health_cookie_secret（与 worker 校验一致）","Configure wls.health_cookie_secret in env.php (must match worker)"
"已设置健康检查放行 Cookie，本浏览器可访问 /_wls/health?detail=1，约 2 小时内有效","Health-allow cookie set; this browser can access /_wls/health?detail=1 for about 2 hours"
"Security rules JSON cannot be empty.","Security rules JSON cannot be empty."
"Security rules JSON is invalid.","Security rules JSON is invalid."
"Security rules saved. WLS workers will reload the committed generation.","Security rules saved. WLS workers will reload the committed generation."
"The rules are committed, but one post-commit notification is pending.","The rules are committed, but one post-commit notification is pending."
"Security rules JSON is invalid. Visual fields were not saved.","Security rules JSON is invalid. Visual fields were not saved."
"Security rules JSON is invalid. Project policy was not saved.","Security rules JSON is invalid. Project policy was not saved."
"Select one managed project before saving a project security policy.","Select one managed project before saving a project security policy."
"Project security policy removed.","Project security policy removed."
"Project security policy saved.","Project security policy saved."
"No events","No events"
"No attacks","No attacks"
"All managed projects","All managed projects"
"Current project: %{1}","Current project: %{1}"
"%{1} (%{2})","%{1} (%{2})"
"Rate Limit","Rate Limit"
Enabled,Enabled
"Window Seconds","Window Seconds"
"Max Requests","Max Requests"
"Block Seconds","Block Seconds"
"Path Rate Limits","Path Rate Limits"
Rules,Rules
"Path Scan","Path Scan"
"Unique Paths","Unique Paths"
"SSL Handshake","SSL Handshake"
"Max Failures","Max Failures"
"Fast Close Threshold","Fast Close Threshold"
"Unknown Route Ban","Unknown Route Ban"
"Only In Spike Mode","Only In Spike Mode"
"Consecutive Count","Consecutive Count"
"IP Whitelist","IP Whitelist"
"Whitelisted IPs","Whitelisted IPs"
"Protected Paths","Protected Paths"
Paths,Paths
"%{1} overrides / %{2} inherited","%{1} overrides / %{2} inherited"
"Project override","Project override"
"Custom equals global","Custom equals global"
Inherited,Inherited
Disabled,Disabled
"%{1} (%{2}/%{3}s)","%{1} (%{2}/%{3}s)"
"%{1} entries: %{2}","%{1} entries: %{2}"
"0 entries","0 entries"
"Global rules","Global rules"
"Common rules saved","Common rules saved"
"Project policy saved","Project policy saved"
"Project policy removed","Project policy removed"
"Rules JSON saved","Rules JSON saved"
"Policy updated","Policy updated"
"Visual editor","Visual editor"
"Project policy editor","Project policy editor"
"Advanced JSON","Advanced JSON"
"WLS Panel","WLS Panel"
Configured,Configured
"%{1} entries","%{1} entries"
"Current Project","Current Project"
Local,Local
Path,Path
请求处理错误：%{1},"Request processing error: %{1}"
"Managed project does not exist.","Managed project does not exist."
"Managed project saved.","Managed project saved."
"Managed project ID is invalid.","Managed project ID is invalid."
"Managed project removed.","Managed project removed."
Active,Active
Inactive,Inactive
"Project Path","Project Path"
"Runtime profile editable","Runtime profile editable"
"Click to configure profile","Click to configure profile"
"PHP 内置服务器","PHP Built-in Server"
"Windows 上需要 proc_open 或 exec 函数来启动多进程，请检查 disable_functions 配置","Windows requires proc_open or exec to start multi-process, please check disable_functions configuration"
"缺少 sockets 扩展","Missing sockets extension"
未知原因,"Unknown reason"
"AppStore plugin query returned an invalid response.","AppStore plugin query returned an invalid response."
Installed,Installed
"Plugin required","Plugin required"
"Open Capability","Open Capability"
"Installed Plugin","Installed Plugin"
"Install Plugin","Install Plugin"
"Plugin Panel","Plugin Panel"
"Panel plugin module list refresh failed: %{1}","Panel plugin module list refresh failed: %{1}"
"Panel plugin registry refresh completed with warnings.","Panel plugin registry refresh completed with warnings."
"Panel plugin registry refresh failed: %{1}","Panel plugin registry refresh failed: %{1}"
"Panel plugin route refresh failed: %{1}","Panel plugin route refresh failed: %{1}"
"Status loaded","Status loaded"
"可用 WLS 实例已接收缓存命名空间失效操作。","Available WLS instances accepted the cache namespace invalidation operation."
"部分目标 WLS 实例未接收缓存命名空间失效操作。","Some target WLS instances did not accept the cache namespace invalidation operation."
"启用 Dispatcher 维护分流","Enable Dispatcher maintenance diversion"
"禁用 Dispatcher 维护分流","Disable Dispatcher Maintenance Shunt"
批量派发遗漏该实例,"Batch dispatch missed this instance"
实例未运行,"Instance Not Running"
"Master 未运行，无法通过 IPC 控制。","Master is not running and cannot be controlled via IPC."
"Master 未运行，跳过该实例（请检查 server:start 或 Master 复活状态）。","Master is not running, skip this instance (check server:start or Master resurrection status)."
"WLS 实例 %{1} 未运行：%{2}","WLS instance %{1} is not running: %{2}"
"未发现可接收 %{1} 的运行中 WLS 实例，已跳过：%{2}","No running WLS instance found that can accept %{1}, skipped: %{2}"
"未发现运行中的 WLS 实例，已跳过 %{1}","No running WLS instance found, skipped %{1}"
"已向 WLS 实例 %{1} 发送 %{2}","Sent %{2} to WLS instance %{1}"
"已向 %{1} 个运行中的 WLS 实例发送 %{2}","Sent %{2} to %{1} running WLS instance(s)"
"已向 %{1} 个可控 WLS 实例发送 %{2}，跳过：%{3}","Sent %{2} to %{1} controllable WLS instance(s), skipped: %{3}"
"WLS 在运行，但 %{1} 派发失败：%{2}；跳过：%{3}","WLS is running, but %{1} dispatch fails: %{2}; skipped: %{3}"
"WLS 在运行，但 %{1} 派发失败：%{2}","WLS is running, but %{1} dispatch fails: %{2}"
"已向 %{1}/%{2} 个可控 WLS 实例发送 %{3}，失败：%{4}；跳过：%{5}","Sent %{3} to %{1}/%{2} controllable WLS instance(s), failed: %{4}; skipped: %{5}"
"已向 %{1}/%{2} 个可控 WLS 实例发送 %{3}，失败：%{4}","Sent %{3} to %{1}/%{2} controllable WLS instance(s), failed: %{4}"
"实例 %{1} 的 Master 未运行，无法通过 IPC 控制。","Master of instance %{1} is not running, cannot control via IPC."
连接控制端口失败：%{1},"Failed to Connect to Control Port: %{1}"
"发送控制命令失败，请检查 Orchestrator IPC 连接状态。","Failed to send control command, please check the Orchestrator IPC connection status."
读取控制命令响应失败。,"Failed to read the control command response."
控制命令已发送,"Control command sent"
等待控制命令响应超时（%{1}s）。,"Control command response timeout (%{1}s)."
"启动命令已提交，但未返回有效 PID，请稍后刷新状态确认。","Start command submitted, but no valid PID returned, please refresh status later to confirm."
"启动命令已提交，Master PID: %{1}","Start command submitted, Master PID: %{1}"
控制命令绝对截止时间已耗尽。,控制命令绝对截止时间已耗尽。
