请先登录,"Please log in first"
例如：家、公司、学校等,"e.g., Home, Company, School, etc."
收货人姓名,"Recipient Name"
选择收货地址,"Select a shipping address"
China,China
使用新地址,"Use a new address"
保存此地址,"Save this address"
账单地址与收货地址相同,"Billing address same as shipping address"
账单地址,"Billing address"
选择账单地址,"Select billing address"
账单地址已保存。,"Billing address saved."
更换地址,"Change address"
收起地址列表,"Hide address list"
地址列表加载失败，请稍后重试。,"Failed to load addresses. Please try again."
该地址所在地区暂不支持配送（禁运）。,"This address is in an embargoed area and cannot be shipped to."
同时用作收货地址,"Also use as shipping address"
请填写收货人。,"Please enter the recipient name."
请填写电话。,"Please enter a phone number."
电话号码格式不正确,"Invalid phone number format"
请填写详细地址。,"Please enter the street address."
请输入收货人姓名,"Please enter the recipient's name"
邮箱,Email
请输入邮箱地址,"Please enter email address"
请输入邮政编码,"Please enter postal code"
"门牌号 / 楼栋单元等","Building / unit number, etc."
确定要删除这个地址吗？,"Are you sure you want to delete this address?"
系统,System
运送地址列表,"Shipping address list"
全部客户,"All Customers"
搜索地址名称、联系人、电话或街道,"Search address name, contact, phone or street"
搜索,Search
重置,Reset
ID,ID
客户ID,"Customer ID"
状态,Status
操作,Actions
暂无数据,"No data available"
是,Yes
否,No
启用,Enable
禁用,Disable
上一页,"Previous Page"
下一页,"Next Page"
新增运送地址,"Add Delivery Address"
客户,Customer
请选择客户,"Please select customer"
请输入地址名称/标签,"Please enter address name/label"
请输入国家,"Please enter country"
请输入省份,"Please enter province"
请输入城市,"Please enter city"
请输入区县,"Please enter district"
请输入街道地址,"Please enter street address"
选项,Options
返回,Back
费用模板,"Rate Template"
"设计说明 · 计费 vs 可达性 · 基础货币","Design notes · billing vs reachability · base currency"
"费用模板（本页）定义「怎么算钱」：固定 / 重量阶梯 / 金额阶梯（及兼容线性）。金额按站点基础货币；区域差价在「配送服务 / 航线」与 Profile。第1章：阶梯须从 0 连续并设 max_weight_kg。","Fee templates (this page) define ""how to price"": fixed / weight tiers / amount tiers (and compat linear). Amounts in site base currency; regional differentials under ""Shipping service / routes"" and Profile. Ch.1: tiers must be continuous from 0 with max_weight_kg set."
编辑费用模板,"Edit fee template"
新增费用模板,"Add expense template"
取消编辑,"Cancel edit"
模板名称,"Template name"
模板代码,"Template code"
计算类型,"Calculation type"
固定费用,"fixed fee"
按重量阶梯,"By weight tiers"
按订单金额阶梯,"By order amount tiers"
按重量（兼容）,"By weight (compat)"
按体积（兼容）,"By volume (compat)"
按件数（兼容）,"By quantity (compat)"
混合（兼容）,"Mixed (compat)"
最大可寄重量(kg),"Max shippable weight (kg)"
"阶梯 JSON","Tier JSON"
基础费用,"Basic fee"
基础货币,"Base currency"
重量单价,"Unit price by weight"
体积单价,"Unit price by volume"
件数单价,"Unit price by qty"
创建,create
费用模板列表,"Fee template list"
当前暂无费用模板配置。,"No fee template config yet."
货币,currency
按重量,"by weight"
按体积,"by volume"
按件数,"By number of pieces"
混合计费,"Mixed billing"
确认删除该自建费用模板？删除后不可恢复。,"Confirm delete this custom fee template? Cannot be undone."
系统种子不可删除,"System seed cannot be deleted"
配送管理,"Shipping Management"
"各分区已改为整页主题界面（不再使用 iframe）。请点击上方 Tab，或使用左侧菜单进入对应功能。","Sections are full-page theme UI (no iframe). Click Tabs above, or use the left menu to enter each function."
打开当前分区,"Open current section"
热门国家排序,"Popular country sort"
数字越小越靠前。用于结账邮编多国待选与国家下拉，避免热门市场被冷门同码国家挤到后面。,"Smaller numbers come first. Used for multi-country postal picks and country dropdowns so popular markets aren't pushed behind rare same-code countries."
暂无可编辑国家，请先导入地址目录或执行升级种子。,"No editable countries; import address directory or run upgrade seeds first."
代码,Code
排序,Sort
默认可达,"Default reachable"
保存热门排序,"Save popularity sort"
地区列表,"Region List"
新增地区,"Add new area"
列表仅展示省份（浅层）。市/区请用上方筛选按需加载，避免整国地址树一次渲染过大。,"List shows provinces only (shallow). Load cities/districts on demand via filters above to avoid rendering a whole-country tree."
地区名称,"Region Name"
地区代码,"Region Code"
类型,Type
选择国家后，填写要新增的省份（必填）与区县（可选）。已存在的地区代码不能重复添加。,"Select a country, then enter a new province (required) and optional district. Existing region codes cannot be added again."
省份（必填）,"Province (required)"
省份名称,"Province name"
例如：加利福尼亚州,"e.g. California"
省份代码,"Province code"
例如：US-CA,"e.g. US-CA"
区县（可选）,"District (optional)"
区县名称,"District name"
例如：洛杉矶县,"e.g. Los Angeles County"
区县代码,"District code"
例如：US-CA-LA,"e.g. US-CA-LA"
排序（数字越小越靠前）,"Sort (smaller numbers first)"
影响结账热门位次,"Affects checkout popular ranking"
请先在上方筛选中选择国家。,"Please select a country in filters above."
正在加载地区…,"Loading regions…"
地区加载失败，请稍后重试。,"Region load failed, please retry later."
"当前国家暂无地区数据，请先执行 shipping:addresscatalog:import 或手动添加。","No region data for the current country. Run shipping:addresscatalog:import or add manually."
请先选择国家。,"Please select a country first."
请填写要新增的省份名称与代码。,"Please enter the new province name and code."
请填写要新增的区县代码。,"Please enter the new district code."
请填写要新增的区县名称。,"Please enter the new district name."
该地区代码已存在，不能重复添加。,"This region code already exists and cannot be added again."
系统默认禁运（最高优先）,"System default embargo (highest priority)"
可新增、可解禁/再启用。系统种子条目标记为「系统」且不可删除；后台自建条目可删除。解禁后全站放行该地区。店铺附加禁运不能豁免仍生效的系统行。,"Can add, lift/re-enable. System seed rows marked ""System"" and undeletable; admin-created rows can be deleted. After lift, region is allowed sitewide. Store-level extra embargo cannot exempt still-active system rows."
禁运原因,"Embargo reason"
新增原因,"Add reason"
原因名称支持多语言（LocalModel）。列表「原因」列与新增下拉均读取此处配置。,"Reason names support i18n (LocalModel). List ""Reason"" column and add dropdowns both read this config."
来源,Source
原因码,"Reason code"
名称,Name
暂无原因（请运行模块升级种子）,"No reasons yet (run module upgrade seeds)"
自建,Custom
系统禁运列表,"System embargo list"
新增禁运,"Add embargo"
级别,Level
地区,Region
原因,Reason
暂无系统禁运条目（请运行模块升级种子）,"No system embargo entries (run module upgrade seeds)"
解禁,"Lift ban"
再启用,Re-enable
"搜索并选择国家，或继续选到省份；勿手填 ISO 码。只选国家=国家级禁运；选到省份=省级禁运。提交后全站生效。","Search and select a country, or continue to province; do not hand-type ISO codes. Country only = country-level embargo; to province = province-level. Applies sitewide after submit."
新增或启用,"Add or enable"
"小写字母开头，仅 a-z、0-9、下划线；保存后可用多语言按钮翻译名称。","Start with lowercase letter; only a-z, 0-9, underscore; after save use i18n button to translate name."
确认删除该自建原因？,"Confirm delete this custom reason?"
禁运中,"Under embargo"
已解禁,Unbanned
确认解禁？此操作全站生效，条目不会删除。,"Confirm lift ban? Applies sitewide; entry is not deleted."
确认恢复系统禁运？此操作全站生效。,"Confirm restore system embargo? Applies sitewide."
确认删除该自建禁运？删除后不可恢复。,"Confirm delete this custom embargo? Cannot be undone."
无正常商业往来,"No normal commercial trade"
物流跟踪,Tracking
物流跟踪记录列表,"Tracking Record List"
物流跟踪记录由发货与承运商查询流程生成，此工作台仅用于审计查看。,"Logistics tracking records are generated by the shipment and carrier inquiry process. This workbench is only used for audit viewing."
当前暂无物流跟踪记录。,"There are currently no logistics tracking records."
物流单号,"Tracking Number"
快递公司ID,"Courier Company ID"
当前位置,"Current location"
最后查询时间,"Last query time"
"配送服务 / 航线","Shipping service / route"
配送服务,"Shipping Service"
"航线报价 · 仓 → 航线 → 模板","Route quote · WH → route → template"
多仓拆单：各仓按自身发货锚点匹配最具体航线后运费相加。费用模板只算钱；勿承诺按距离。新仓绑定发货地址后，可用下方「复制默认站航线」一键生成九档引用。,"Multi-WH split: each WH matches the most specific route by its ship anchor then freights sum. Fee template only computes money; do not promise distance-based pricing. After binding ship-from on a new WH, use ""Copy default-site routes"" below to generate nine-tier references in one click."
"仓 ↔ 发货地址绑定","Warehouse ↔ ship-from binding"
"Website ID","Website ID"
请选择,"Please select"
绑定,Bind
目标发货地址,"Target shipping address"
一键复制默认站航线,"One-click copy default-site routes"
新增配送航线,"Add shipping route"
服务名称,"Service name"
服务代码,"Service code"
快递公司,Carrier
暂不绑定,"Skip binding for now"
免邮规则,"Free Shipping Rule"
无,None
发货锚点（默认仓）,"Shipping anchor (default WH)"
不限仓,"Any warehouse"
最少天,"Min days"
最多天,"Max days"
贸易术语,Incoterms
目的地区域覆盖,"Destination region coverage"
创建航线,"Create route"
航线列表,"Route list"
当前暂无配送航线。请配置发货仓、目的地区域与费用模板。,"No shipping routes yet. Configure ship-from WH, destination regions and fee templates."
服务,Services
承运商,Carrier
模板,Template
发货锚点,"Shipping anchor"
目的地,Destination
不限,Unlimited.
通配（未配覆盖）,"Wildcard (no override)"
发货地址列表,"Shipping Address List"
全部状态,"All Status"
请输入联系人姓名,"Please enter contact name"
规则列表,"Rule list"
新增规则,"Add rule"
条件类型,"Condition type"
条件类型（多语言）,"Condition type (multilingual)"
"条件类型名称支持 LocalModel 多语言。列表「条件类型」列读取当前语言展示名；在此用 local 标签维护翻译。","Condition type names support LocalModel i18n. List ""Condition type"" column shows current-language display name; maintain translations here with local tags."
暂无条件类型（请运行模块升级种子）,"No condition types yet (run module upgrade seeds)"
条件码,"Condition code"
免邮条件,"Free shipping rules"
系统提供国际通用满额种子（「系统」不可删）；默认仅启用标准档。规则列表、新增与条件类型多语言用顶部页签分开，避免一页堆叠。,"System provides international threshold seed templates (""System"" undeletable); only standard tier enabled by default. Rule list, create and condition-type i18n are separated by top tabs to avoid one-page clutter."
新增免邮规则,"Add free shipping rules"
规则名称,"Rule Name"
规则代码,"Rule Code"
订单金额,"Order amount"
目的地区域,"Destination region"
"金额 + 地区","Amount + region"
最低金额,"Minimum amount"
优先级,Priority
适用目的地区域,"Applicable destination regions"
免邮规则列表,"Free Shipping Rule List"
当前暂无免邮规则。,"No free-shipping rules yet."
未说明,Unspecified
确认禁用该免邮规则？,"Disable this free shipping rule?"
确认启用该免邮规则？,"Enable this free shipping rule?"
确认删除该自建免邮规则？删除后不可恢复。,"Delete this custom free shipping rule? This cannot be undone."
确定要禁用这个快递公司吗？,"Are you sure you want to disable this carrier?"
确定要启用这个快递公司吗？,"Are you sure you want to enable this carrier?"
确定要删除这个快递公司吗？,"Are you sure you want to delete this carrier?"
快递公司列表,"Courier Company List"
新增快递公司,"Add Carrier"
搜索快递公司代码或名称,"Search carrier code or name"
当前暂无快递公司配置，请后续在此页面完善配置。,"There are currently no courier companies configured. Please complete the configuration on this page later."
追踪支持,"Tracking Support"
API,API
手动,Manual
支持,Supported
不支持,"Not supported"
"共 %{1} 条记录，第 %{2} / %{3} 页","Total %{1} records, Page %{2} / %{3}"
快递公司代码,"Carrier Code"
请输入快递公司代码，如：SF、ZTO等,"Enter courier company code, e.g., SF, ZTO, etc."
代码必须唯一，编辑后不可修改,"Code must be unique and cannot be modified after editing"
快递公司名称,"Carrier Name"
请输入快递公司名称，如：顺丰速运,"Enter courier company name, e.g., SF Express"
手动类型需要手动输入物流信息，API类型可通过接口自动获取,"Manual type requires manual input of logistics information, API type can automatically obtain through interface"
物流跟踪URL模板,"Tracking URL Template"
例如：https://www.sf-express.com/track/{tracking_number},"Example: https://www.sf-express.com/track/{tracking_number}"
"使用 {tracking_number} 作为物流单号占位符","Use {tracking_number} as tracking number placeholder"
追踪API端点,"Tracking API Endpoint"
例如：https://api.example.com/track,"Example: https://api.example.com/track"
API请求方法,"API Request Method"
API配置,"API Configuration"
"JSON格式，例如：{""api_key"":""your_key"",""api_secret"":""your_secret""}","JSON format, for example: {""api_key"":""your_key"",""api_secret"":""your_secret""}"
API配置信息，JSON格式,"API configuration information, JSON format"
追踪支持状态,"Tracking Support Status"
数字越小越靠前，默认为0,"Smaller numbers appear first, default is 0"
支持范围,Coverage
已保存,Saved
"Provider 默认","Provider defaults"
谨慎操作,Caution
缩减可运地区后，结账将不再提供该承运商。保存前请确认与真实可运范围一致。,"Shrinking coverage removes this carrier at checkout for those destinations. Confirm it matches real shippable areas before saving."
保存当前选择（推荐）,"Keep current selection (recommended)"
"取消勾选 = 保存时改用 Provider 默认区域","Uncheck = use provider defaults on save"
在下方选择可运国家或更细地区。费用模板只算运费金额，不含到达地区。,"Select shippable countries or finer regions below. Rate templates only price the shipment; they do not define destinations."
说明与参考列表,"Notes & reference lists"
"系统禁运 · 不可选","System embargo · not selectable"
地址选择器中标为「不支持」的系统禁运区优先级最高，写入覆盖也不会在结账放行。,"System-embargoed areas marked Unsupported in the address picker always win; saving them as coverage will not allow checkout shipping."
"Provider 默认区域","Provider defaults"
当前已保存,"Currently saved"
即将保存承运商支持范围。缩减地区会导致对应目的地无法使用该承运商配送，请确认仍与真实可运范围一致。是否继续保存？,"You are about to save carrier coverage. Shrinking regions removes this carrier for those destinations. Confirm it still matches real shippable areas. Continue saving?"
运输禁运区域,"Shipping embargo zones"
"配置本作用域不支持配送的国家/州省/区县（黑名单）。命中规则为 website ∪ store ∪ channel 并集。请搜索后多选添加。","Configure countries/states/districts this scope does not ship to (blacklist). Hit rule is website ∪ store ∪ channel union. Search then multi-select to add."
请先保存主体，再配置禁运区域。,"Save the entity first, then configure embargo zones."
街道,Street
暂无可选地区,"No regions available"
请先选择国家/地区,"Please select a country/region first"
请先选择省份,"Please select a province first"
加载中…,Loading...
尚未选择禁运区域，请搜索后添加,"No embargo regions selected; search then add"
搜索并添加国家/地区,"Search and add country/region"
搜索并添加省份,"Search and add province"
搜索并添加城市,"Search and add city"
搜索并添加区县,"Search and add district"
搜索并添加街道,"Search and add street"
输入关键字筛选更多,"Enter keywords to filter more"
"共 {n} 项可选，输入关键字筛选","{n} options available; type keywords to filter"
请先选择区县,"Please select a district first"
配送管理分区,"Shipping management section"
"配送配置没有独立的 Global 层：已使用默认网站配置。请选择具体网站 / 店铺 / 渠道以切换。","Shipping config has no independent Global layer: using default website config. Select concrete website / store / channel to switch."
"请选择具体网站 / 店铺 / 渠道。配送配置按范围隔离；Global 会落到默认网站（无独立 Global 配置层）。","Please select a concrete website / store / channel. Shipping config is scope-isolated; Global falls to default website (no independent Global config layer)."
"当前：%{1} · id=%{2}","Current: %{1} · id=%{2}"
作用范围,Scope
可售目的地,"Sellable destinations"
配置本作用域可售国家/州省/区县（白名单）。为空时不限制，仅按承运商覆盖与禁运匹配；配置后须与承运商覆盖求交。,"Sellable destinations whitelist for this scope. Empty means unrestricted (carrier coverage + embargo only); when set, intersect with carrier coverage."
请先保存主体，再配置可售目的地。,"Save the entity first, then configure sellable destinations."
尚未选择，请搜索后添加,"Nothing selected yet; search then add"
已支付待发货,"Paid, awaiting shipment"
打开发货管理,"Open shipping management"
只看待发货,"Pending shipment only"
办理发货,"Process shipment"
暂无发货记录,"No Shipment Records"
待补运单号,"Tracking pending"
通知,Notifications
补充,Supplement
发货时间,"Ship time"
送达,Delivered
物流进程记录,"Logistics progress log"
暂无物流进程,"No logistics progress"
承运方尚未回传轨迹节点,"Carrier has not returned tracking nodes yet"
打开承运商轨迹页,"Open carrier tracking page"
店铺,Store
渠道,Channel
网站,Website
%{1}不支持该%{2},"%{1} does not support this %{2}"
配送服务不存在,"Shipping service does not exist"
合并运费,"Merge shipping"
配送报价小计溢出,"Delivery quote subtotal overflow"
免邮金额格式非法,"Free shipping amount format is illegal"
免邮金额溢出,"Free shipping amount exceeds"
已发货,Shipped
已取消,Cancelled
发货失败,"Shipment failed"
未知,Unknown
美国,"United States"
中国香港,"Hong Kong"
中国澳门,Macao
中国台湾,Taiwan
日本,Japan
韩国,"South Korea"
新加坡,Singapore
澳大利亚,Australia
英国,"United Kingdom"
加拿大,Canada
德国,Germany
法国,France
运费配置版本已变更，请重新报价,"The freight configuration version has been changed, please re-quote."
无可用配送模板（币种/区域）,"No shipping template available (currency/region)"
"service_code 不能为空","service_code cannot be empty"
配送服务不可用：%{1},"Shipping service unavailable: %{1}"
配送服务不支持币种：%{1},"The delivery service does not support currency: %{1}"
当前收货地址暂不可配送，请更换地址后再下单。,"This delivery address cannot be shipped to. Please choose another address before placing the order."
配送配置服务不可用,"Shipping configuration service is unavailable"
结账币种缺失,"Checkout currency missing"
币种精度非法,"Currency precision is illegal"
请填写要新增的省份或区县。,"Please enter a province or district to add."
"国家代码必须是 2 位大写字母。","Country code must be 2 uppercase letters."
地区代码格式无效。,"The region code format is invalid."
"地区名称不能为空且不能超过 255 个字符。","Region name cannot be empty and cannot exceed 255 characters."
地区类型无效。,"Invalid region type."
请填写要新增的省份名称。,"Please enter the new province name."
请填写要新增的省份代码。,"Please enter the new province code."
请先在地址选择标签中选择国家/省份/区县。,"Please select country/province/district in the address selector first."
费用计算类型无效。,"Invalid charge calculation type."
费用模板不存在。,"Fee template not found."
仍有配送服务引用该费用模板，请先解除绑定后再删除。,"Shipping services still reference this fee template; unbind them before deleting."
免邮条件类型无效。,"Free shipping condition type is invalid."
免邮规则不存在。,"Free shipping rule not found."
配送服务不存在。,"Shipping service not found."
配送服务必须与当前作用范围一致。,"Shipping service must match current scope."
"%{1}名称不能为空且不能超过 255 个字符。","The %{1} name cannot be empty and cannot exceed 255 characters."
%{1}代码格式无效。,"The %{1} code format is invalid."
%{1}不存在。,"%{1} does not exist."
%{1}必须与当前作用范围一致。,"%{1} must match current scope."
代码已存在。,"The code already exists."
该配送方式暂不支持物流查询,"This shipping method does not support tracking"
物流查询失败，请稍后重试,"Logistics lookup failed, please retry later"
当前位置：%{loc},"Current location: %{loc}"
物流状态：%{status},"Logistics status: %{status}"
运单已登记：%{n},"Waybill registered: %{n}"
发货记录不存在,"Shipment record does not exist"
尚未填写物流单号，无法查询位置,"No tracking entered; cannot query location"
物流查询失败,"Logistics lookup failed"
启用承运商前必须配置支持范围。,"Carriers must have coverage configured before they can be enabled."
全国,nationwide
邮政编码格式不正确,"Invalid postal code format"
无权操作此地址,"No permission to operate this address"
地址名称不能为空,"Address name cannot be empty."
"禁止使用 example.com 等占位轨迹地址，请填写真实承运商追踪模板，或留空由系统使用 17TRACK 默认","Do not use placeholder tracking URLs like example.com; fill a real carrier tracking template, or leave blank for system 17TRACK default"
"禁止使用 example.com 等占位轨迹地址，请填写真实承运商追踪模板","Do not use placeholder tracking URLs like example.com; fill a real carrier tracking template"
查询失败：%{1},"Query failed: %{1}"
费用模板不存在,"Rate template does not exist"
费用模板未启用,"Fee template is not enabled"
未知配送计费类型：%{1},"Unknown delivery billing type: %{1}"
配送金额格式非法,"Shipping amount format is illegal"
配送金额加法溢出,"Delivery amount addition overflows"
配送金额乘法溢出,"Shipping amount multiplication overflows"
请检查收货地址信息。,"Please check the shipping address."
无可用配送方案（多仓拆单）,"No shipping options (multi-WH split)"
方案家族不能为空,"Plan family required"
仓库未绑定发货地址，无法报价,"Warehouse has no ship-from; cannot quote"
未配置默认发货地址，无法报价,"No default ship-from configured; cannot quote"
方案家族在该仓无可达航线：%{1},"Plan family has no reachable routes at this WH: %{1}"
商品配送档案与仓航线无交集，无法报价,"Product shipping profile has no overlap with WH routes; cannot quote"
方案家族无可报价服务：%{1},"Plan family has no quotable services: %{1}"
无法完成多仓履约规划,"Cannot complete multi-WH fulfillment plan"
"Shipping 孤儿运单取消重试","Shipping orphan waybill cancel retry"
"履约账本失败后的 cancelShipment 孤儿补偿队列","cancelShipment orphan compensation queue after fulfillment ledger failure"
"孤儿运单处理：done=%{1} dead=%{2} processed=%{3}","Orphan waybill handling: done=%{1} dead=%{2} processed=%{3}"
运费,"Shipping charges"
本站由中国大陆仓库发往海外。本页说明发货与参考送达时效、运费、跟踪、签收与异常处理。下单前请完整阅读；商品页预售/定制规则优先。,"We ship from mainland China warehouses overseas. This page covers ship/ETA references, freight, tracking, delivery checks, and exceptions. Read before ordering; product-page preorder/custom rules prevail."
"1.1 工作日指中国大陆法定工作日。现货订单付款成功后，我们通常在 1–5 个工作日内拣货、质检并发出（中国法定节假日与物流高峰可能顺延）。","1.1 Business days mean mainland China business days. In-stock orders usually pick, QC, and ship within 1–5 business days after payment (China holidays and peak logistics may delay)."
"1.2 国际送达参考：发货后约 7–25 个工作日（视航线、旺季、海关而定）。结算页预计送达仅为估算，不保证固定到货日；海关查验与干线空窗期不单独计为延误违约。","1.2 International delivery reference: about 7–25 business days after shipment (lane, peak, customs). Checkout ETAs are estimates, not fixed dates; customs checks and trunk tracking gaps alone are not delivery breaches."
"1.3 预售 / 定制 / 定金：以商品页或订单确认信息为准。工艺、面料或尺码确认导致的延迟，我们会通过站内消息或订单备注告知。","1.3 Preorder/custom/deposit: follow the product page or order confirmation. Delays from craft, fabric, or size confirmation are notified via site message or order notes."
"签收时请核对外包装；明显破损、浸水、变形时请拍照留证，并尽快联系客服（建议 48 小时内）。","Check outer packaging on delivery; for obvious damage, water, or deformation, photograph evidence and contact support ASAP (ideally within 48 hours)."
运输破损或短少：保留外包装与运单，便于我们协助向承运商查验；逾期申报可能影响承运商受理。,"Transit damage/shortage: keep packaging and waybill so we can help with carrier claims; late reports may block carrier handling."
服装请保留吊牌、未下水试穿；定制/剪裁件以商品页为准。,"For apparel keep tags and try on without washing; custom/altered pieces follow the product page."
"6.1 运输丢失或严重破损：请提供订单号、运单号与照片。核实后我们协调承运商查件，并视情况补发或退款（可扣除已产生的不可回收费用）。","6.1 Lost or severely damaged in transit: provide order/waybill numbers and photos. After verification we coordinate carrier tracing and may reship or refund (non-recoverable fees may be deducted)."
"6.2 显示已签收但未收到：请先向家人、门卫、邻居及代收点确认；仍无法找到时，在「签收」后 7 日内联系客服启动查询。","6.2 Marked delivered but not received: first check family, guards, neighbors, and pickup points; if still missing, contact support within 7 days of the delivery scan."
"6.4 不可抗力及跨境固有风险（海关查验、口岸拥堵、航班调整、疫情管制等）导致的延误，我们协助同步进度，但不构成服务质量违约，亦不自动触发退款。","6.4 Delays from force majeure and inherent cross-border risks (customs, port congestion, flight changes, epidemic controls, etc.) are updated with our help but are not service breaches and do not auto-trigger refunds."
本店从中国国内发往海外。发货后原则上不支持因个人原因退换；仅质量问题、错发漏发或运输损坏等商家或物流责任方可申请。本店不提供七日或十四日无理由作为店内服务。退款到账另见退款政策。,"We ship from mainland China overseas. After dispatch, returns for personal reasons are generally not supported; only quality issues, wrong/missing items, or shipping damage (seller/carrier responsibility) may be requested. We do not offer 7-day or 14-day no-reason returns as a store service. Refund timing is covered in the Refund Policy."
"1.1 发货后原则上不支持退换：本店从中国国内发往海外。汉服跨境回程运费与税费高昂，试穿后难以二次销售。商品一经发出，原则上不支持因个人原因退换。我们保障的是商品质量与发货准确性，而非「买了不喜欢也能退」。","1.1 After dispatch, returns are generally not supported: We ship from mainland China overseas. Cross-border return freight and taxes for hanfu are high, and tried-on garments are hard to resell. Once shipped, returns for personal reasons are generally not supported. We stand behind product quality and shipping accuracy—not “dislike it and return it.”"
"1.3 特殊品类：定制/来图定做、剪裁改衣、贴身内衣、已下水、已拆封易耗配件，以及商品页标注不支持退换的特价/清仓商品，无质量问题通常不支持退换。","1.3 Special categories: custom/made-to-order, altered garments, intimate apparel, washed items, unsealed consumable accessories, and sale/clearance items marked on the product page as non-returnable are usually not returnable without a quality issue."
"1.4 法定例外：若您所在地区的强制性法律要求提供法定冷静期或无理由退货，我们将在该强制范围内依法办理；这不属于本店主动提供的店内无理由退货服务，且非质量原因的回程运费与税费通常由买家承担（法律另有规定除外）。本店不提供七日或十四日无理由作为店内服务。","1.4 Statutory exception: If mandatory local law requires a cooling-off period or no-reason returns, we will comply within that mandatory scope; this is not a store-offered no-reason return service, and for non-quality returns the buyer usually pays return freight and taxes (unless law allocates costs otherwise). We do not offer 7-day or 14-day no-reason returns as a store service."
批发/批量订单除适用上述质量与物流责任条款外：正常范围内损耗（如可熨烫褶皱、轻微线头、约定色差/公差内的批次差异）不支持退货；确认的质量问题仍须按件/按批次提供凭证处理，不以「整单无理由」方式退货。,"Wholesale/bulk orders follow the quality and carrier-responsibility rules above, plus: normal in-range wear (e.g. ironable transit wrinkles, minor threads, batch color variance within agreed tolerance) is not returnable; confirmed quality issues still require per-piece/batch evidence and are handled by responsibility scope—not as whole-order no-reason returns."
二、不予退换的情形,"2. When returns or exchanges are not accepted"
"4.2 个人原因原则上不支持退换。若因强制性法律必须办理且非质量问题，全部回程费用（寄回中国仓库的国际运费、可能产生的出口/进口税费与清关费）由买家承担；换货再发出的运费以客服确认为准。包邮不包含回程。","4.2 Personal-reason returns are generally not supported. If mandatory law requires a non-quality return, the buyer pays all return costs (international freight to China warehouse, possible export/import taxes and clearance); outbound exchange shipping follows support confirmation. Free shipping excludes returns."
"4.3 到付件：未经同意寄到付至我方仓库的包裹可能被拒收，费用由寄件方承担。","4.3 Collect shipments: unpaid collect parcels to our warehouse without consent may be refused; costs are the sender’s."
"4.4 买家擅自拒收、长期不取件导致退回，或跨境退货产生目的地出口手续/原进口税费不退等情况，除质量问题且我们书面同意承担外，相关成本由买家自行处理。","4.4 Buyer refusal, long uncollected parcels returned, or destination export formalities / non-refundable original import taxes on cross-border returns: unless a quality issue and we agree in writing to cover costs, the buyer handles related costs."
"6.3 定制类商品原则上不支持换款，仅对确认的质量问题提供修补、重做或退款方案。","6.3 Made-to-order items generally cannot be exchanged for a different style. For confirmed quality issues, we offer repair, remaking or a refund."
汉服形制、交领宽窄、袖型等观感因个人审美差异较大；非质量问题原则上不支持退换，请优先参考详情页实拍与尺寸后再下单。,"Hanfu silhouette, collar width, and sleeve style vary by taste; non-quality returns are generally not supported—please check product photos and measurements before ordering."
本页说明退货/换货条件（跨境寄回中国仓库）。退款到账另见退款政策。下单即表示已阅读；仅在当地强制性法律另有规定时，从其规定。,"This page covers return/exchange conditions (cross-border return to our China warehouse). Refund payout is in the Refund Policy. Ordering means you have read this; only mandatory local law overrides."
"1.1 本店退换政策：因商品质量问题（破损、做工瑕疵、污渍、与描述明显不符）、错发或漏发，可申请退货或换货。因个人喜好、选错颜色/尺码、轻微试穿后不想要等非质量原因，原则上不支持退换。跨境寄回成本高，请下单前确认尺码与款式。","1.1 Our returns policy: You may request a return or exchange for quality issues (damage, workmanship defects, stains, clear mismatch with the description), wrong items, or missing items. Returns for personal preference, wrong color/size, or not wanting the item after a light try-on are generally not supported. Cross-border return shipping is costly—please confirm size and style before ordering."
"1.2 质量问题申报：确认存在上述质量或错发情形的，不受「未使用」限制，但仍须保留商品与凭证并尽快申报。","1.2 Reporting quality issues: Confirmed quality or wrong/missing-item cases are not limited by “unused,” but keep the goods and proof and report promptly."
"1.3 特殊品类：定制/来图定做、剪裁改衣、贴身内衣、已下水、已拆封易耗配件，以及商品页标注「不支持无理由退换」的特价/清仓商品，无质量问题通常不支持无理由退换。","1.3 Special categories: custom/made-to-order, altered garments, intimate apparel, washed items, opened consumables, and sale/clearance marked non-returnable usually disallow no-reason returns without quality issues."
"1.4 法定例外：仅当您所在地强制性法律要求无理由退货或冷静期时，在该强制范围内从其规定；除此之外以本店政策与商品页约定为准。非质量原因依法退货的，寄回中国仓库的运费、税费与清关费由买家承担（法律另有强制规定除外）。","1.4 Statutory exceptions: Only where your local mandatory law requires no-reason returns or a cooling-off period do those rules apply within that mandatory scope; otherwise this store policy and product-page terms control. For non-quality returns required by law, the buyer pays return freight to our China warehouse plus taxes and customs clearance (unless mandatory law allocates costs otherwise)."
超过约定或法定退换期限，且不存在质量或错发问题；,"The agreed or statutory return period has expired and there is no quality issue or incorrect shipment;"
商品已穿着使用、洗涤、染色、裁剪、熨烫变形，或吊牌/防伪标缺失导致无法二次销售；,"The item has been worn, used, washed, dyed, cut or deformed by ironing, or missing tags or authenticity labels make it unsuitable for resale;"
因个人喜好、选错颜色/尺码、试穿后不想要等非质量原因（无强制性法律另行要求时）；,"Personal preference, wrong color/size, or not wanting the item after try-on and similar non-quality reasons (unless mandatory law requires otherwise);"
