已选文件:,"Selected file:"
"Queue recoverable trash","Queue recoverable trash"
"Moves the target into the same root .wls-trash folder. Completed jobs can be restored from the recent queue list while the original path is still free.","Moves the target into the same root .wls-trash folder. Completed jobs can be restored from the recent queue list while the original path is still free."
"I confirm this target should be moved into recoverable trash, not permanently deleted.","I confirm this target should be moved into recoverable trash, not permanently deleted."
"Create recoverable queue","Create recoverable queue"
"Recent queue jobs","Recent queue jobs"
"Latest 10","Latest 10"
Source,Source
Target,Target
Start,Start
End,End
Restore,Restore
"No queued large-file operations yet.","No queued large-file operations yet."
"Latest 30","Latest 30"
"Only queue-created trash entries are listed here. Restore remains available only while the original path is still free and the .wls-trash entry exists. Permanent purge requires explicit PURGE_TRASH confirmation.","Only queue-created trash entries are listed here. Restore remains available only while the original path is still free and the .wls-trash entry exists. Permanent purge requires explicit PURGE_TRASH confirmation."
Trash,Trash
Purged,Purged
我确认永久删除此回收条目。,"I confirm this trash entry should be permanently deleted."
永久清理,"Permanent purge"
暂无可恢复回收历史。,"No recoverable trash history yet."
"Operation Logs","Operation Logs"
"Audit Summary","Audit Summary"
Scanned,Scanned
"Audit Filters","Audit Filters"
Action,Action
Result,Result
Root,Root
Keyword,Keyword
"Path, target, domain, or IP","Path, target, domain, or IP"
"Filter Logs","Filter Logs"
"Reset Filters","Reset Filters"
Latest,Latest
"No matching file operation logs.","No matching file operation logs."
暂无文件操作日志。,"No file operation logs yet."
能力阶段,"Capability Stages"
"WLS 文件管理器大文件操作","WLS File Manager large-file operation"
"由 WLS 文件管理器创建的大文件压缩任务，避免在面板请求内执行长耗时文件操作。","Large-file compression task created by WLS File Manager to avoid long-running file work inside panel requests."
"WLS 文件队列内容无效。","WLS file queue content is invalid."
"WLS source directory archive queue payload is invalid.","WLS source directory archive queue payload is invalid."
"WLS source archive queue payload is invalid.","WLS source archive queue payload is invalid."
"WLS source selection archive queue payload is invalid.","WLS source selection archive queue payload is invalid."
"WLS 源码文件队列内容无效。","WLS source file queue payload is invalid."
"WLS 文件管理器队列压缩开始：%{1}","WLS File Manager queued compression started: %{1}"
"WLS 文件管理器队列压缩失败：%{1}","WLS File Manager queued compression failed: %{1}"
"WLS 文件管理器队列压缩完成：%{1}（%{2} 个条目，%{3} 字节）。","WLS File Manager queued compression completed: %{1} (%{2} entries, %{3} bytes)."
"WLS source archive queue started: %{1}","WLS source archive queue started: %{1}"
"WLS source archive queue failed: %{1}","WLS source archive queue failed: %{1}"
"WLS source archive queue completed: %{1} -> %{2} (%{3} entries, %{4} bytes)","WLS source archive queue completed: %{1} -> %{2} (%{3} entries, %{4} bytes)"
"WLS source directory archive queue started: %{1}","WLS source directory archive queue started: %{1}"
"WLS source directory archive queue failed: %{1}","WLS source directory archive queue failed: %{1}"
"WLS source directory archive queue completed: %{1} -> %{2} (%{3} entries, %{4} bytes)","WLS source directory archive queue completed: %{1} -> %{2} (%{3} entries, %{4} bytes)"
"WLS source selection archive queue started: %{1}","WLS source selection archive queue started: %{1}"
"WLS source selection archive queue failed: %{1}","WLS source selection archive queue failed: %{1}"
"WLS source selection archive queue completed: %{1} -> %{2} (%{3} entries, %{4} bytes)","WLS source selection archive queue completed: %{1} -> %{2} (%{3} entries, %{4} bytes)"
"WLS 文件管理器队列回收开始：%{1}","WLS File Manager queued trash started: %{1}"
"WLS 文件管理器队列回收失败：%{1}","WLS File Manager queued trash failed: %{1}"
"WLS 文件管理器队列回收完成：%{1} -> %{2}（%{3} 个条目，%{4} 字节，可恢复）。","WLS File Manager queued trash completed: %{1} -> %{2} (%{3} entries, %{4} bytes, recoverable)."
已解析图片结果无效。,"The resolved image result is invalid."
图片使用数据版本或身份无效。,"Image usage data version or identity is invalid."
"图片 alt 状态无效。","Image alt status is invalid."
图片加载策略无效。,"The image loading strategy is invalid."
图片响应式宽度数量或唯一性无效。,"The number or uniqueness of responsive image widths is invalid."
图片响应式宽度无效。,"Image responsive width is invalid."
"图片文本或响应式 sizes 超过长度限制。","Image text or the responsive sizes value exceeds the length limit."
"装饰图片的 alt 必须为空。","The alt of the decorative image must be empty."
图片语境语言与发布语言不一致。,"The image context language is inconsistent with the posting language."
"图片 alt 尚未审核确认。","Image alt has not yet been reviewed and confirmed."
"信息图片必须填写 alt。","Information pictures must fill in alt."
图片使用数据布尔字段无效：%{1},"An ImageUsage boolean field is invalid: %{1}"
文件访问上下文无效。,"The file access context is invalid."
文件访问上下文角色无效。,"A role in the file access context is invalid."
上传源必须是流。,"The upload source must be a stream."
目标文件已存在，禁止覆盖。,"The target file already exists and cannot be overwritten."
文件资源上传必须从根边界使用写意图事务。,"File asset uploads must use a write-intent transaction from the root boundary."
存储对象删除失败。,"Failed to delete the storage object."
文件资源写入结果无效。,"The file resource write result is invalid."
文件资源写入失败，且存储对象无法自动回收，请立即人工清理。,"The file asset write failed and the storage object could not be reclaimed automatically. Clean it up immediately."
机器翻译的资源元数据必须先保存为待审核草稿。,"Machine-translated asset metadata must first be saved as a draft pending review."
目标文件资源状态已变化，请刷新后重试。,"The target file asset state changed. Refresh and try again."
读取上传流失败。,读取上传流失败。
读取上传流时连续无数据进展。,读取上传流时连续无数据进展。
存储磁盘可见性配置无效。,"The storage disk visibility configuration is invalid."
文件资源可见性必须与所选磁盘可见性一致。,"File asset visibility must match the selected disk visibility."
"私有存储 URL 适配器未提供不可缓存的临时 URL。","The private-storage URL adapter did not provide a non-cacheable temporary URL."
私有文件必须配置有效访问策略。,"A private file must have a valid access policy."
私有文件访问策略列表无效或超过限制。,"The private-file access policy list is invalid or exceeds the limit."
私有文件访问策略不能为空。,"The private-file access policy cannot be empty."
"图片 usage JSON 无效。","Image usage JSON is invalid."
文件图片语言必须与当前请求语言一致。,"The file-image locale must match the current request locale."
图片语境语言与当前请求语言不一致。,"The image context locale does not match the current request locale."
"文件图片渲染缺少显式 ScopeIdentity。","File image rendering requires an explicit ScopeIdentity."
源文件与目标文件不能相同。,"The source file and target file cannot be the same."
源文件资源已删除，不能移动。,"The source file asset has been deleted and cannot be moved."
文件移动补偿清理目标对象失败。,"Move compensation could not remove the target object."
文件移动失败且物理对象补偿失败。,"The file move failed and physical-object compensation also failed."
目录不能移动到自身或其子目录。,"A directory cannot be moved into itself or one of its descendants."
目录中的文件数量超过单次操作上限。,"The directory contains more files than one operation can process."
存储目录返回了越界文件。,"The storage directory returned an out-of-scope file."
源目录包含已删除的文件资源，不能移动。,"The source directory contains a deleted file asset and cannot be moved."
文件资源对应的存储对象不存在。,"The storage object for this file asset does not exist."
目标目录包含已登记的同名文件资源。,"The target directory contains a registered file asset with the same name."
源目录已被其他请求修改，请刷新后重试。,"The source directory changed in another request. Refresh and try again."
存储目录移动失败。,"Failed to move the storage directory."
目录移动失败且物理对象补偿失败。,"The directory move failed and physical-object compensation also failed."
存储目录未完全删除。,"The storage directory was not fully deleted."
存储目录未完全删除，相关资源已禁用并等待清理。,"The storage directory was not fully deleted; related assets were disabled pending cleanup."
文件资源仍被业务内容引用，不能删除。,"The file asset is still referenced by business content and cannot be deleted."
当前文件访问上下文不允许修改存储对象。,"The current file access context does not allow storage-object mutations."
文件资源修改必须位于写意图事务内。,"File asset mutations must run inside a write-intent transaction."
文件资源身份无效。,"The file asset identity is invalid."
文件资源已被其他请求修改，请刷新后重试。,"The file asset was changed by another request. Refresh and try again."
文件资源已被其他请求删除。,"The file asset was deleted by another request."
文件资源对象键不能为空。,"The file asset object key cannot be empty."
磁盘中的文件资源超过单次目录操作扫描上限。,"The disk contains more file assets than one directory operation can scan."
目录中的文件资源超过单次操作上限。,"The number of file assets in the directory exceeds the per-operation limit."
目录移动补偿恢复超过条目上限。,"Directory-move compensation exceeds the restore item limit."
目录移动补偿恢复源目录失败。,"Directory-move compensation could not restore the source directory."
目录移动补偿遇到越界对象。,"Directory-move compensation encountered an out-of-scope object."
目录移动补偿清理目标目录失败。,"Directory-move compensation could not remove the target directory."
"资源 ID 不能为空。","Resource ID cannot be empty."
文件资源不存在。,"The file resource does not exist."
文件资源缺少精确语言元数据：%{1},"File resource is missing precise language metadata: %{1}"
公开发布的页面不能引用私有文件资源。,"A publicly published page cannot reference a private file asset."
图片资源对应的存储对象不存在。,"The storage object for this image asset does not exist."
图片语境语言与当前语言不一致。,"The image context locale does not match the current locale."
所选资源不是图片。,"The selected resource is not an image."
图片资源语言元数据尚未审核。,"Image resource language metadata has not yet been reviewed."
语言代码无效：%{1},"Invalid language code: %{1}"
文件资源不可用。,"The file resource is not available."
文件资源尚未完成元数据审核。,"The file asset metadata review is incomplete."
当前访问上下文不允许管理私有文件资源。,"The current access context cannot manage private file assets."
当前上下文无权读取私有文件资源。,"The current context does not have permission to read private file resources."
文件访问策略版本已更新，请刷新访问上下文。,"The file access policy has changed. Refresh the access context."
"当前 Scope 无权读取私有文件资源。","The current scope cannot read this private file asset."
当前角色无权读取私有文件资源。,"The current role cannot read this private file asset."
私有文件访问策略无效。,"The private file access policy is invalid."
私有文件访问策略列表超过限制。,"The private-file access policy list exceeds the limit."
存储磁盘仍被文件资源引用，不能删除。,"The storage disk is still referenced by file assets and cannot be deleted."
源码编辑默认关闭,"Source editing is off by default"
源码编辑策略允许,"Source edit policy allowed"
源码编辑策略禁用,"Source edit policy disabled"
源码编辑策略允许此只读根目录内的已存在小源码文件进入保存表单。,"The source edit policy allows existing small source files in this read-only root to enter the save form."
策略只读根目录,"Policy read-only root"
策略禁用,"Policy disabled"
策略只读,"Policy read-only"
当前项目路径策略已禁用此根目录写入。,"The current project path policy has disabled writes for this root."
策略允许,"Policy allowed"
当前项目路径策略允许此根目录受控写入。,"The current project path policy allows guarded writes for this root."
存储对象不存在。,"The storage object does not exist."
"存储对象尚未建立 FileAsset，不能访问。","The storage object has no FileAsset record and cannot be accessed."
上传失败，且已写入文件无法自动回收，请立即人工清理。,"The upload failed and the written file could not be reclaimed automatically. Clean it up immediately."
文件资源修订版本无效。,"The file asset revision is invalid."
资源身份与当前存储对象不匹配。,"The asset identity does not match the current storage object."
文件资源元数据保存必须位于写意图事务内。,"File asset metadata must be saved inside a write-intent transaction."
"资源引用 owner 身份无效。","The resource reference owner has an invalid identity."
单个业务版本的文件资源引用数量超过限制。,"A single business-object version exceeds the file resource reference limit."
文件资源引用写入必须位于写意图事务内。,"File asset references must be written inside a write-intent transaction."
引用的文件资源不可用。,"The referenced file asset is unavailable."
引用的文件资源不存在。,"The referenced file asset does not exist."
"文件布局仅索引模式必须指定完整 owner 身份。","File-layout index-only mode requires a complete owner identity."
"文件布局校验缺少显式 ScopeIdentity 或 locale_code。","File layout validation is missing an explicit ScopeIdentity or locale_code."
"Theme 布局内容超过文件校验上限。","Theme layout content exceeds the file verification limit."
读取存储对象时连续无数据进展。,"No progress was made while reading the storage object."
无法读取上传源以计算校验值。,"Unable to read the upload source to calculate its checksum."
读取上传源时连续无数据进展。,"No progress was made while reading the upload source."
上传源无法恢复到原始读取位置。,"Unable to rewind the upload source to its initial position."
"私有图片变体 URL 必须不可共享缓存且带过期时间。","A private image-variant URL must be non-cacheable in shared caches and include an expiration time."
允许的文件类型：,"Allowed file types:"
允许的文件大小：,"Allowed file size:"
"mdi mdi-folder-outline","mdi mdi-folder-outline"
"mdi mdi-file-tree-outline","mdi mdi-file-tree-outline"
"mdi mdi-shield-edit-outline","mdi mdi-shield-edit-outline"
"mdi mdi-file-edit-outline","mdi mdi-file-edit-outline"
"mdi mdi-progress-clock","mdi mdi-progress-clock"
"mdi mdi-clipboard-text-clock-outline","mdi mdi-clipboard-text-clock-outline"
"mdi mdi-puzzle-outline","mdi mdi-puzzle-outline"
私有文件元数据修改缺少访问上下文。,"Private file metadata updates require an access context."
私有文件详情读取缺少访问上下文。,"Reading private file details requires an access context."
私有文件上传缺少访问上下文。,"Private file uploads require an access context."
私有文件操作缺少访问上下文。,"Private file mutations require an access context."
私有文件重试上传缺少访问上下文。,"Retrying an upload over a private file identity requires an access context."
