企业邮箱邮件已发送,"Work mailbox email sent"
邮件服务主机名,"Mail service host name"
收起写信,"Collapse compose"
展开写信,"Expand compose"
用户,用户
写第一封,"Compose first"
使用本站企业邮箱登录,"Sign in with site business email"
密码,Password
企业邮箱登录,"Business email login"
企业邮箱登录未开启,"Business email login disabled"
请输入企业邮箱与密码,"Enter business email and password"
企业邮箱账号不存在,"Business email account not found"
企业邮箱账号未启用,"Business email account disabled"
企业邮箱或密码不正确,"Incorrect business email or password"
该企业邮箱尚未绑定站内顾客账户,"This business email is not bound to a store customer account"
绑定的顾客账户不存在,"Bound customer account not found"
登录成功,"Login successful"
"""Mail 查询器不支持的操作：%{1}""","""Operation not supported by Mail query: %{1}"""
请选择邮箱域名,"Please select your email domain name"
邮箱地址不能为空,"Email address cannot be empty"
邮箱地址格式不正确,"Email address format is incorrect"
邮箱账号已创建,"Email account has been created"
申请和管理企业邮箱账号,"Apply for and manage business mailboxes"
"启动服务后读取 8080/admin 初始化状态","Read 8080/admin initialization status after starting the service"
"Stalwart Admin 8080 端口","Stalwart Admin port 8080"
"真实自建邮箱账号请通过 SMTP 协议发送","Real self-hosted mailbox accounts should be sent through the SMTP protocol"
邮件文件夹,"Mail folders"
这个文件夹暂无邮件,"This folder has no messages"
可以写第一封邮件，或先到「用户与账号」开通更多邮箱。,"Compose the first message, or open Users & accounts to provision more mailboxes."
邮件正文,"Message body"
还没有可阅读的邮件,"No message to read yet"
选择一封邮件查看正文,"Select a message to read"
左侧写第一封后，发送记录会出现在「已发送」。,"After you send the first message, it will appear under Sent."
在左侧列表点选一封邮件即可在此阅读。,"Pick a message from the list on the left to read it here."
"Stalwart 环境检测已通过（二进制/端口/服务）。仍可用：php bin/w mail:service:status","Stalwart environment checks passed (binary/ports/service). You can still run: php bin/w mail:service:status"
"当前仅 fake 测试域：可先冒烟。上线真实域名前须安装 Stalwart：php bin/w env:install stalwart-mail-server -y，并检查 php bin/w mail:env:check","Fake domains only—smoke OK. Before real domains install Stalwart: php bin/w env:install stalwart-mail-server -y and php bin/w mail:env:check"
"邮局引擎未就绪%{1}。请执行：php bin/w mail:env:check → php bin/w env:install stalwart-mail-server -y → php bin/w mail:service:status","Mail engine not ready%{1}. Run: php bin/w mail:env:check → php bin/w env:install stalwart-mail-server -y → php bin/w mail:service:status"
"当前为 fake 测试域，无需公网 DNS。上线真实域时在域名页按清单配置，或 php bin/w mail:dns:check example.com mail.example.com","Fake domains need no public DNS. For real domains use the domain checklist or php bin/w mail:dns:check example.com mail.example.com"
