请指定分支。,"Please specify a branch."
"【8】使用 SSH 拉取时，将后台「项目仓库地址」改为 git@ 形式，并确保部署用户默认使用该私钥（如配置 GIT_SSH_COMMAND 或 ~/.ssh/config）。","【8】When using SSH to pull, change the background ""project warehouse address"" to the git@ format, and ensure that the deployment user uses this private key by default (such as configuring GIT_SSH_COMMAND or ~/.ssh/config)."
无法创建部署版本目录：%{1},"Cannot create deploy version directory: %{1}"
无法写入部署版本文件,"Cannot write deploy version file"
分支名称无效。,"Invalid branch name."
"Git restore commit cannot be empty.","Git restore commit cannot be empty."
"Git working directory does not exist: %{1}","Git working directory does not exist: %{1}"
"Git process could not be opened.","Git process could not be opened."
开始发布：%{1},"Starting release: %{1}"
备份中...,"Backing up..."
"Git 更新中...","Updating Git..."
执行后置命令...,"Running post-deploy commands..."
版本戳已写入：%{1},"Version stamp written: %{1}"
重载服务...,"Reloading server..."
发布失败：%{1},"Release failed: %{1}"
"Rollback reference cannot be empty.","Rollback reference cannot be empty."
开始回滚：%{1},"Starting rollback: %{1}"
回滚前备份中...,"Backing up before rollback..."
"Git 回滚中...","Git rollback in progress..."
回滚版本已写入：%{1},"Rollback version saved: %{1}"
回滚失败：%{1},"Rollback failed: %{1}"
开发环境跳过发布失败自动回滚。,"Skipped release-failure auto-rollback in non-production."
"发布失败，正在自动回滚到 %{1}...","Release failed, auto-rolling back to %{1}..."
自动回滚后服务重载失败：%{1},"Server reload after auto-rollback failed: %{1}"
"已自动回滚到发布前版本 %{1}","Auto-rolled back to pre-release version %{1}"
自动回滚失败：%{1},"Auto-rollback failed: %{1}"
部署根目录包含不允许的控制字符。,"Deploy root contains disallowed control characters."
部署根目录必须是绝对路径：%{1},"Deploy root must be an absolute path: %{1}"
部署根目录不存在：%{1},"Deploy root does not exist: %{1}"
无法创建发布保护快照目录。,"Unable to create protected-path snapshot directory."
"部署后命令失败（exit %{1}）：%{2}","Post-deploy command failed (exit %{1}): %{2}"
"Profile 来源","Profile Source"
"当前发布会优先读取该项目的独立 Profile。","The release will prefer this project's dedicated profile."
"该项目已有 Profile，但未启用；发布仍会继承全局 Deploy 配置。","This project has a profile, but it is disabled; releases still inherit global Deploy config."
"当前项目尚未保存独立 Profile，发布会使用全局 Deploy 配置。","This project has no dedicated profile yet; releases will use global Deploy config."
仓库配置,"Repository Config"
缺少仓库,"Repository Missing"
必须配置项目仓库地址后才能执行发布。,"A project repository URL is required before release execution."
地址不合法,"Invalid URL"
"项目仓库地址只支持 http(s)、ssh:// 或 git@host:path.git 形式。","Project repository URL supports only http(s), ssh://, or git@host:path.git formats."
仓库地址格式可被发布服务识别。,"The repository URL format can be recognized by the release service."
部署目录,"Deploy Directory"
未设置部署根目录；后续发布会回退到当前运行项目目录。,"Deploy root is not set; later releases will fall back to the current running project directory."
路径需检查,"Path Needs Review"
部署根目录包含不适合发布配置的控制字符。,"The deploy root contains control characters unsuitable for release config."
部署根目录已填写；预检不访问文件系统，也不会创建目录。,"Deploy root is configured; preflight does not access the filesystem or create directories."
不支持,Unsupported
部署触发模式不在允许列表内。,"Deploy trigger mode is not in the allowlist."
"默认保守策略已生效，分支 Push 不会触发发布。","The conservative default is active; branch pushes will not trigger releases."
"当前项目显式允许分支发布，请确认 Git 平台事件和分支过滤符合预期。","This project explicitly allows branch releases; confirm Git platform events and branch filters."
"Webhook 入口","Webhook Entry"
"随机路径已生成，当前项目会使用独立 Webhook 密钥验签。","Random path exists; this project will verify Webhook requests with its own secret."
"尚未生成随机 Webhook 路径；请先执行 deploy:webhook:setup。","No random Webhook path has been generated; run deploy:webhook:setup first."
路径需轮换,"Path Rotation Suggested"
"Webhook 路径不是 ~wh~ 随机路径，建议使用 deploy:webhook:setup --rotate-path 轮换。","Webhook path is not a ~wh~ random path; rotate it with deploy:webhook:setup --rotate-path."
密钥未配置,"Secret Missing"
"Webhook 路径已生成，但访问密钥为空；请生成或保存 webhook_secret。","Webhook path exists, but the access secret is empty; generate or save webhook_secret."
已就绪,Ready
随机路径和访问密钥均已配置。,"Random path and access secret are both configured."
需修正,"Needs Fix"
"Composer 命令为空","Composer Command Empty"
"已开启 Composer，但未配置 composer install 命令。","Composer is enabled, but no composer install command is configured."
通过,Passed
"Composer 与部署后命令均符合 WLS 发布命令白名单。","Composer and post-deploy commands both satisfy the WLS release command allowlist."
回滚策略,"Rollback Policy"
回滚参考为空；后续不会展示可执行回滚动作。,"Rollback reference is empty; executable rollback actions will not be shown later."
需要修正,"Needs Fix"
"Tag 回滚","Tag Rollback"
"回滚引用已通过 WLS 白名单，将只在当前项目 Profile 下作为后续显式回滚动作的目标。","Rollback reference passed the WLS allowlist and will only be used as a future explicit rollback target under the current project Profile."
提交回滚,"Commit Rollback"
分支回滚,"Branch Rollback"
"回滚参考已通过白名单，但 commit/branch 回滚需要后续显式动作再次确认。","Rollback reference passed the allowlist, but commit/branch rollback needs another explicit confirmation in a later action."
存在阻断项,Blocked
可进入发布流程,"Ready for Release Flow"
"Composer 命令只允许 composer install。","Composer command only allows composer install."
"Composer 命令包含未允许的参数：%{1}","Composer command contains an unsupported option: %{1}"
部署后命令包含空命令片段。,"Post-deploy command contains an empty command segment."
"回滚参考包含不允许的 shell 控制字符。","Rollback reference contains disallowed shell control characters."
"回滚参考不能以短横线开头，也不能包含 ..、// 或 @{。","Rollback reference cannot start with a dash or contain .., //, or @{."
回滚参考不能以点号或斜杠结尾。,"Rollback reference cannot end with a dot or slash."
"回滚参考格式不在 WLS 白名单内。","Rollback reference format is outside the WLS allowlist."
"回滚参考仅支持 tag、refs/tags/name、refs/heads/name 或 7-40 位 commit SHA；禁止 shell 控制字符。","Rollback reference only supports tag, refs/tags/name, refs/heads/name, or a 7-40 character commit SHA; shell control characters are forbidden."
"禁止管道、重定向、分号、单独 &、引号、命令替换和任意脚本路径。","Pipes, redirects, semicolons, single ampersands, quotes, command substitution, and arbitrary script paths are blocked."
"部署后命令未在 WLS 维护命令白名单内：%{1}","Post-deploy command is not in the WLS maintenance allowlist: %{1}"
部署后命令包含未允许的参数：%{1},"Post-deploy command contains an unsupported option: %{1}"
"命令包含不允许的 shell 控制字符。","Command contains unsupported shell control characters."
命令包含不允许的命令替换表达式。,"Command contains unsupported command substitution."
"命令包含不允许的 & 控制符。","Command contains unsupported ampersand control tokens."
"从 Git 仓库恢复框架核心文件","Restore framework core files from Git repository"
框架核心文件恢复,"Framework Core File Recovery"
"步骤 1/4：检查 Git 仓库...","Step 1/4: Checking Git repository..."
目标分支：%{1},"Target branch: %{1}"
"步骤 2/4：拉取最新代码...","Step 2/4: Pulling latest code..."
"步骤 3/4：恢复核心文件...","Step 3/4: Restoring core files..."
"步骤 4/4：清理缓存...","Step 4/4: Cleaning cache..."
"✓✓✓ 核心文件恢复完成！✓✓✓","✓✓✓ Core file recovery completed! ✓✓✓"
"错误：当前目录不是 Git 仓库","Error: The current directory is not a Git repository"
"✓ 检测到 Git 仓库","✓ Git repository detected"
"⚠ 将强制覆盖所有更改","⚠ Will force overwrite of all changes"
"执行: %{1}","Execute: %{1}"
"命令执行返回码: %{1}","Command execution return code: %{1}"
"✓ 代码拉取完成","✓ Code pull completed"
"恢复: %{1}","Restore: %{1}"
"✓ %{1}","✓ %{1}"
"⚠ %{1} 恢复失败","⚠ %{1} Recovery failed"
"✓ %{1} 已存在","✓ %{1} already exists"
"✓ 共恢复 %{1} 个路径","✓ A total of %{1} paths were restored"
"清理: %{1}","Clean Up: %{1}"
"✓ 缓存清理完成","✓ Cache cleanup completed"
"从核心仓库增量更新框架代码（仅 Weline 模块与必要核心路径；不触碰业务代码）","Incrementally update the framework code from the core repository (only Weline modules and necessary core paths; do not touch business code)"
"从 Git 仓库增量更新框架核心代码","Incrementally update framework core code from Git repository"
"可直接指定分支，如：master；也可使用 -b/--branch","You can directly specify the branch, such as: master; you can also use -b/--branch"
"指定分支（未配置默认分支时必填，如：main, master, dev）","Specify branch (required when no default branch is configured, e.g., main, master, dev)"
"指定 Git 仓库地址（覆盖配置文件，默认：公用官网或配置的仓库）","Specify Git repository URL (overrides config file; default: public website or configured repository)"
"未指定仓库时：GitHub 可达则对比 GitHub/Gitee 同分支 tip；一致时优先 GitHub，不一致时选用 Gitee 以免拉到落后镜像；GitHub 不可达则用 Gitee。增量更新会把缓存 origin 切到本次选用仓库","When the repository is not specified: If GitHub is reachable, compare the tip of the same branch as GitHub/Gitee; if they are consistent, GitHub will be preferred; if they are inconsistent, Gitee will be used to avoid pulling out backward mirrors; if GitHub is not reachable, Gitee will be used. Incremental update will switch the cache origin to the selected warehouse this time"
"仓库地址、默认分支、密钥可在项目根目录 .env 或 app/etc/env.php 的 core_update 中配置；显式配置后不再自动切换","The warehouse address, default branch, and key can be configured in the project root directory .env or core_update in app/etc/env.php; they will no longer automatically switch after explicit configuration."
"旧缓存 HEAD 只用于检测「项目本地核心是否相对上次同步被私改」；检测通过后必须把缓存仓更新到线上最新 tip，再按旧基线→新 tip 的 diff（并补缺失）同步到项目。绝不能用旧缓存内容当作本次更新源","The old cache HEAD is only used to detect ""whether the local core of the project has been modified privately relative to the last synchronization""; after passing the detection, the cache warehouse must be updated to the latest tip online, and then synchronized to the project according to the diff (complement the missing) of the old baseline → new tip. Never use old cached content as the source of this update"
"默认先对比旧基线做冲突检测，再 git fetch 线上最新；仅把相对旧基线有变更的核心文件覆盖到项目，另补本地缺失文件；已存在但内容不同的本地核心不因与新 tip hash 不一致而被误回刷（私改应由冲突检测拦截）","By default, conflict detection is performed against the old baseline first, and then git fetch is updated online; only core files that have changed relative to the old baseline are overwritten into the project, and local missing files are supplemented; local cores that already exist but have different contents are not mistakenly reverted due to inconsistency with the new tip hash (private changes should be intercepted by conflict detection)"
"仅同步核心仓库路径：app/code/Weline 与必要启动/样例/bin/dev/pub/setup；业务模块不在更新范围内","Only the core warehouse paths are synchronized: app/code/Weline and necessary startup/samples/bin/dev/pub/setup; business modules are not included in the update scope"
"只对比「本地核心文件」与 tmp/core-update 缓存仓上次同步的核心 commit；绝不读取业务项目 git status。本地核心相对该基线有私改才拒绝；-f 强制覆盖。业务模块改动完全忽略","Only compare the ""local core file"" with the core commit last synchronized in the tmp/core-update cache warehouse; never read the git status of the business project. The local core will only be rejected if there are private changes relative to the baseline; -f forces overwriting. Business module changes are completely ignored"
"仅显式使用 -f/--force 时跳过本地核心冲突保护，删除缓存并重新克隆后覆盖核心文件；成功后缓存仓 HEAD 即成为下次对比基线","Only when -f/--force is explicitly used, local core conflict protection is skipped, the cache is deleted and the core file is overwritten after cloning again; after success, the cache warehouse HEAD becomes the next comparison baseline."
"不会拷贝 app/code/Aiweline、GuoLaiRen、WeShop；这些由目标项目自行管理","app/code/Aiweline, GuoLaiRen, WeShop will not be copied; these are managed by the target project itself"
"使用自定义仓库（需先配置 .env 或 env.php）","Use a custom repository (requires configuring .env or env.php first)"
"框架核心代码更新（强制模式 - 完整重新下载并覆盖）","Framework Core Update (Forced Mode - Full Redownload and Overwrite)"
"框架核心代码更新（增量模式 - 基于 Git diff 更新变化文件）","Framework core code update (incremental mode - update changed files based on Git diff)"
"步骤 1/7：检查 Git...","Step 1/7: Check Git..."
"步骤 2/7：验证参数...","Step 2/7: Verify parameters..."
仓库：%{1},"Repository: %{1}"
备用仓库：%{1},"Backup warehouse: %{1}"
分支：%{1},"Branch: %{1}"
标签：%{1},"Tag: %{1}"
更新模式：%{1},"Update mode: %{1}"
"步骤 3/7：准备临时目录...","Step 3/7: Prepare temporary directory..."
"步骤 4/7：检查本地核心是否相对上次同步有改动...","Step 4/7: Check whether the local core has changed compared to the last synchronization..."
"步骤 5/7：下载框架代码（线上最新）...","Step 5/7: Download the framework code (latest online)..."
"步骤 6/7：更新核心文件...","Step 6/7: Update core files..."
"步骤 7/7：完成处理...","Step 7/7: Finish processing..."
"保留缓存目录：当前 HEAD 仅作为下次冲突检测基线","Keep the cache directory: the current HEAD is only used as the baseline for next conflict detection"
"✓ 缓存目录：%{1}","✓ Cache directory: %{1}"
"✓✓✓ 框架核心更新完成！✓✓✓","✓✓✓ Framework core update completed! ✓✓✓"
更新统计：,"Update statistics:"
"- 新增文件：%{1} 个","- New files: %{1}"
"- 更新文件：%{1} 个","- Update files: %{1}"
"- 删除文件：%{1} 个","- Delete files: %{1}"
"- 跳过文件：%{1} 个（受保护或排除的文件）","- Skip files: %{1} (protected or excluded files)"
"✓ 下次冲突检测基线已更新为缓存仓 commit %{1}（仅用于判断本地核心是否被私改；下次更新仍会先拉线上最新 tip）","✓ The next conflict detection baseline has been updated to the cache warehouse commit %{1} (only used to determine whether the local core has been modified privately; the next update will still pull the latest tip online first)"
"本次核心已更新到最新 commit：","This core has been updated to the latest commit:"
commit：%{1}（%{2}）,commit：%{1}（%{2}）
作者：%{1},"Author: %{1}"
时间：%{1},"Time: %{1}"
标题：%{1},"Title: %{1}"
内容：,content:
"错误：未检测到 Git","Error: Git not detected"
"✓ Git 检查通过","✓ Git check passed"
"⚠ 已显式启用 -f/--force，跳过本地核心冲突保护（将强制覆盖核心文件）","⚠ Explicitly enabled -f/--force, skips local core conflict protection (core files will be forced to be overwritten)"
"首次核心更新（尚无上次同步 commit），跳过本地核心冲突检查","First core update (no last sync commit yet), skipping local core conflict checking"
"冲突检测基线（旧）：核心缓存仓 commit %{1}——仅用于判断本地核心是否被私改，不会作为本次更新源","Conflict detection baseline (old): core cache warehouse commit %{1} - only used to determine whether the local core has been modified privately, and will not be used as the source of this update"
"✓ 本地核心与上次同步 commit %{1} 一致，可直接更新","✓ The local core is consistent with the last synchronized commit %{1} and can be updated directly"
"✓ 本地核心与上次同步内容一致，可直接更新","✓ The local core is consistent with the last synchronized content and can be updated directly"
"检测到 %{1} 个核心文件相对上次同步核心 commit%{2} 有本地私自修改，已拒绝更新","It has been detected that %{1} core files have local private modifications relative to the last synchronized core commit%{2}, and the update has been rejected."
"……另有 %{1} 项未显示","…there are %{1} items not shown"
"以上仅为核心路径相对缓存仓的内容差异，与业务模块 git 无关","The above is only the content difference between the core path and the cache warehouse, and has nothing to do with the business module git"
"检测 GitHub 连通性（ping github.com）...","Check GitHub connectivity (ping github.com)..."
"GitHub 不可达，使用 Gitee 镜像仓库","GitHub is not reachable, use Gitee mirror repository"
"✓ GitHub 可达","✓ GitHub reachable"
"未能探测双源 tip，回退优先 GitHub","Unable to detect dual-source tip, fallback first GitHub"
"GitHub tip 探测失败，使用 Gitee","GitHub tip detection failed, use Gitee"
"Gitee tip 探测失败，使用 GitHub","Gitee tip detection failed, use GitHub"
"✓ GitHub/Gitee %{1} tip 一致（%{2}），优先 GitHub","✓ GitHub/Gitee %{1} tip is consistent (%{2}), giving priority to GitHub"
"⚠ GitHub 与 Gitee 的 %{1} tip 不一致（GitHub=%{2}, Gitee=%{3}），选用 Gitee 以免拉到落后镜像","⚠ The %{1} tip of GitHub and Gitee are inconsistent (GitHub=%{2}, Gitee=%{3}). Choose Gitee to avoid pulling out backward mirrors."
"缓存仓已添加 origin：%{1}","The cache warehouse has been added origin: %{1}"
"缓存仓 origin 为 %{1}，切换为本次选用仓库 %{2}","The cache warehouse origin is %{1}, switch to the warehouse selected this time %{2}"
"切换 origin 失败，继续使用原远程","Failed to switch origin, continue to use the original remote"
"GitHub ping 未响应，但 HTTPS 端口可达","GitHub ping not responding, but HTTPS port is reachable"
"错误：必须指定分支（-b <分支名>）或在配置中设置 branch_default","Error: You must specify a branch (-b <branch name>) or set branch_default in the configuration"
强制模式：删除旧缓存目录...,"Force mode: deleting old cache directory..."
"✓ 创建新缓存目录：%{1}","✓ Create a new cache directory: %{1}"
"✓ 使用现有缓存目录：%{1}","✓ Use existing cache directory: %{1}"
"冲突检测已通过：旧缓存仅作基线，开始拉取线上最新 tip...","Conflict detection passed: the old cache is only used as a baseline, and the latest online tips are started to be pulled..."
"旧基线 commit %{1}（只用于冲突检测与 diff；更新源是线上最新）","Old baseline commit %{1} (only used for conflict detection and diff; the update source is the latest online)"
"fetch 失败，切换备用仓库：%{1}","fetch failed, switch to backup warehouse: %{1}"
"fetch 失败，尝试切换仓库并重新克隆...","fetch failed, try switching repositories and re-cloning..."
获取标签...,"Getting tags..."
"旧基线 → 线上 tip 变更文件：%{1} 个","Old baseline → Online tip change files: %{1}"
"标签不存在: %{1}","Tag does not exist: %{1}"
"✓ 已切换到标签 %{1}","✓ Switched to tag %{1}"
"将缓存仓重置到线上分支 %{1} 最新 tip...","Reset the cache warehouse to the online branch %{1} Latest tip..."
"分支不存在: %{1}","Branch does not exist: %{1}"
重置失败，尝试切换仓库并重新克隆...,"Reset failed, try switching repositories and re-cloning..."
"✓ 缓存仓已从旧基线前进到线上最新 tip %{1}（分支 %{2}）","✓ The cache warehouse has been advanced from the old baseline to the latest online tip %{1} (branch %{2})"
"无法获取 Git diff，将使用全量更新","Unable to get Git diff, will use full update"
完整克隆仓库...,"Cloning Full Repository..."
主仓库失败，尝试备用仓库：%{1},"The main warehouse failed, try the backup warehouse: %{1}"
所有仓库均无法克隆或初始化,"All repositories cannot be cloned or initialized"
克隆仓库：%{1},"Clone repository: %{1}"
克隆失败，尝试初始化仓库...,"Clone failed, attempting to initialize the repository..."
"拉取标签 %{1}...","Fetch tag %{1}..."
"拉取分支 %{1}...","Fetch branch %{1}..."
"✓ 仓库初始化成功","✓ Warehouse initialized successfully"
"✓ 仓库克隆成功","✓ Warehouse cloned successfully"
"切换到标签 %{1}...","Switch to tag %{1}..."
最新提交：%{1},"Latest Commit: %{1}"
同步目录：%{1},"Sync directories: %{1}"
完全覆盖模式：更新所有文件...,"Full Overwrite Mode: Updating All Files..."
"增量模式：Git 变更覆盖 + 仅补本地缺失文件...","Incremental mode: Git change coverage + only local missing files..."
"✓ 已是最新版本，无需更新文件","✓ Already the latest version, no need to update the file"
"⚠ vendor 目录未更新，保留现有依赖包","⚠ The vendor directory is not updated and existing dependency packages are retained."
未检测到核心文件变化，跳过反射工厂刷新,"No core file changes detected, reflection factory refresh skipped"
刷新反射元数据与编译工厂...,"Refresh reflection metadata and compilation factory..."
反射工厂刷新完成,"Reflection factory refresh completed"
"✓ 处理了 %{1} 个变化的文件","✓ %{1} changed files processed"
"补缺：同步 %{1} 个本地缺失的核心文件","Backfill: synced %{1} missing core files"
"拷贝 %{1}...","Copying %{1}..."
跳过受保护文件：%{1},"Skip protected files: %{1}"
"⚠ %{1} 处理失败","⚠ %{1} processing failed"
"⚠ 源路径不存在: %{1}","⚠ Source path does not exist: %{1}"
"✓ 共处理 %{1} 个路径","✓ A total of %{1} paths were processed"
"⚠ 跳过 %{1} 个路径","⚠ Skip %{1} paths"
"生成或更新框架 Webhook 访问密钥，并输出 curl 测试命令与部署关联指引","Generate or update the framework Webhook access key, and output the curl test command and deployment association guidance"
"--force 将重新生成 Webhook 密钥与随机公网路径，须同步更新 Git 平台。","--force will regenerate the Webhook key and random public network path, and the Git platform must be updated simultaneously."
"--rotate-path 将重新生成随机公网路径，须同步更新 Git 平台 Webhook URL。","--rotate-path will regenerate a random public network path, and the Git platform Webhook URL must be updated simultaneously."
"添加 -y 跳过确认。","Add -y to skip confirmation."
是否继续？,Continue?
"Weline 部署 Webhook 关联助手","Weline deploys Webhook association assistant"
"已生成新的随机 Webhook 公网路径。","A new random webhook public network path has been generated."
"沿用后台已有 Webhook 路径（使用 --rotate-path 或 --force 可重新生成）。","Use the existing webhook path in the background (use --rotate-path or --force to regenerate)."
"已生成 Webhook 公网路径。","Webhook public network path has been generated."
"已生成新的 Webhook 访问密钥。","A new webhook access key has been generated."
"沿用后台已有 Webhook 密钥（使用 --force 可重新生成）。","Inherit the existing webhook key in the background (use --force to regenerate)."
"已生成 Webhook 访问密钥。","Webhook access key generated."
"随机 Webhook 公网路径已保存到后台部署配置。","The random Webhook public network path has been saved to the background deployment configuration."
"Webhook 路径保存失败。","Webhook path saving failed."
"密钥已保存到后台「部署配置 > Webhook 密钥」。","The key has been saved to the background ""Deployment Configuration > Webhook Key""."
密钥保存失败，请手动写入后台部署配置。,"Key saving failed, please manually write the background deployment configuration."
--no-save：未写入后台配置，请自行保存下方密钥与路径。,"--no-save: The background configuration is not written, please save the key and path below."
"Webhook 公网路径（随机，~wh~ 前缀）","Webhook public network path (random, ~wh~ prefix)"
"Git 平台 Webhook 部署地址（完整 URL）","Git platform Webhook deployment address (full URL)"
"站点根 URL 来源：%{1}","Site Root URL Source: %{1}"
相对路径（需自行拼接域名）：/%{1},"Relative path (you need to splice the domain name yourself): /%{1}"
"版本探测 URL","Version detection URL"
"Webhook 访问密钥（webhook_secret）","Webhook access key (webhook_secret)"
"部署 SSH 密钥","Deploy SSH keys"
"SSH 密钥生成失败。","SSH key generation failed."
"SSH 密钥对已生成。","SSH key pair generated."
"沿用已有 SSH 密钥（使用 --ssh-force 可重新生成）。","Inherit existing SSH keys (use --ssh-force to regenerate)."
私钥：%{1},"Private key: %{1}"
公钥：%{1},"Public key: %{1}"
"curl 测试命令（专用部署环境执行）","curl test command (dedicated deployment environment execution)"
"无法生成 curl 示例：缺少完整 Webhook URL。","Unable to generate curl example: full webhook URL missing."
配置指引,"Configuration Guide"
完成。,Finish.
"从 Git 仓库拉取代码并更新部署项目","Pull code from Git repository and update deployment project"
"Git 部署开始...","Git deployment begins..."
"步骤 1/5：读取配置文件...","Step 1/5: Reading configuration file..."
"错误：无法读取 .env 配置文件或配置为空！","Error: Unable to read the .env configuration file or the configuration is empty!"
"请创建 .env 文件，或从 .env.sample 复制模板并修改配置。","Please create a .env file, or copy the template from .env.sample and modify the configuration."
"✓ 配置文件读取成功","✓ Configuration file read successfully"
"步骤 2/5：验证配置...","Step 2/5: Validating configuration..."
"✓ 配置验证通过","✓ Configuration verification passed"
"步骤 3/5：备份当前项目...","Step 3/5: Backing up current project..."
"✓ 项目备份完成","✓ Project backup completed"
"⚠ 跳过备份步骤","⚠ Skip the backup step"
"步骤 4/5：执行 Git 拉取更新...","Step 4/5: Executing Git pull update..."
"✓ Git 更新完成","✓ Git update completed"
"步骤 5/5：执行部署后清理...","Step 5/5: Performing post-deployment cleanup..."
"✓ 清理完成","✓ Cleanup is completed"
"✓✓✓ 部署完成！✓✓✓","✓✓✓ Deployment completed! ✓✓✓"
".env 文件不存在：%{1}",".env file does not exist: %{1}"
缺少必需配置项：%{1},"Missing required configuration item: %{1}"
仓库地址：%{1},"Repository URL: %{1}"
用户名：%{1},"Username: %{1}"
备份目录：%{1},"Backup directory: %{1}"
当前平台：%{1},"Current platform: %{1}"
无法创建压缩备份，将仅创建记录文件,"Unable to create compressed backup, only a record file will be created"
"错误：系统未检测到 Git！","Error: Git not detected on the system!"
"请先安装 Git 后才能使用此功能。","Please install Git first to use this feature."
安装方法：,"Installation method:"
"Windows 系统：","Windows system:"
"1. 访问 https://git-scm.com/download/win","1. Visit https://git-scm.com/download/win"
"2. 下载并安装 Git for Windows","2. Download and install Git for Windows"
"3. 安装完成后重启终端","3. Restart the terminal after installation"
"Linux 系统：","Linux system:"
"Ubuntu/Debian: sudo apt-get install git","Ubuntu/Debian: sudo apt-get install git"
"CentOS/RHEL: sudo yum install git","CentOS/RHEL: sudo yum install git"
"Fedora: sudo dnf install git","Fedora: sudo dnf install git"
"macOS 系统：","macOS system:"
"brew install git","brew install git"
"或者访问 https://git-scm.com/download/mac","or visit https://git-scm.com/download/mac"
"初始化 Git 仓库...","Initializing Git repository..."
当前分支：%{1},"Current branch: %{1}"
无法获取当前分支信息,"Unable to get current branch information"
"从 %{1} 分支拉取更新...","Pulling updates from branch %{1}..."
"⚠ 强制模式：将丢弃本地修改","⚠ Force mode: local modifications will be discarded"
"Git 拉取失败：%{1}","Git pull failed: %{1}"
"提示：如果有本地修改冲突，可以使用 --force 参数强制更新","Tip: If there are local modification conflicts, you can use the --force parameter to force an update."
"✓ Git 操作完成","✓ Git operation completed"
已清理缓存目录,"Cleaned cache directory"
"使用 PowerShell 创建备份...","Creating backup with PowerShell..."
"✓ PowerShell 备份创建成功","✓ PowerShell backup created successfully"
"PowerShell 备份失败","PowerShell backup failed"
检测可用的备份工具...,"Detecting available backup tools..."
"使用 tar 创建备份...","Creating backup with tar..."
"使用 zip 创建备份...","Creating backup with zip..."
"✓ tar 备份创建成功","✓ The tar backup is created successfully"
"tar 备份失败","tar backup failed"
"✓ zip 备份创建成功","✓ The zip backup is created successfully"
"zip 备份失败","zip backup failed"
查看当前部署版本,"View current deploy version"
当前部署版本,"Current Deploy Version"
版本：%{1},"Version: %{1}"
"发布 ID：%{1}","Release ID: %{1}"
"ref 类型：%{1}","Ref type: %{1}"
commit：%{1},"Commit: %{1}"
tag：%{1},"Tag: %{1}"
"Worker ID：%{1}","Worker ID: %{1}"
部署时间：%{1},"Deployed at: %{1}"
部署模式：%{1},"Deploy mode: %{1}"
最近发布历史,"Recent Release History"
"等待指定版本生效（用于 CI 门禁）","Wait for the specified version to take effect (for CI access control)"
"缺少 --expect 参数","Missing --expect parameter"
"等待版本：%{1}（超时 %{2} 秒）","Waiting for version: %{1} (timeout %{2}s)"
"版本已生效：%{1}（第 %{2} 次检测）","Version active: %{1} (check #%{2})"
"第 %{1} 次检测：当前 %{2}，期望 %{3}","Check #%{1}: current %{2}, expected %{3}"
"超时：版本 %{1} 未在 %{2} 秒内生效","Timeout: version %{1} not active within %{2}s"
"完整发布：Git 更新 + 后置命令 + 写版本戳 + reload","Full release: Git update + post commands + stamp + reload"
"mdi mdi-rocket-launch-outline","mdi mdi-rocket-launch-outline"
"mdi mdi-update","mdi mdi-update"
"mdi mdi-rocket-launch","mdi mdi-rocket-launch"
"mdi mdi-view-dashboard-outline","mdi mdi-view-dashboard-outline"
"mdi mdi-source-branch-sync","mdi mdi-source-branch-sync"
"mdi mdi-tune-variant","mdi mdi-tune-variant"
"mdi mdi-clipboard-edit-outline","mdi mdi-clipboard-edit-outline"
"mdi mdi-shield-check-outline","mdi mdi-shield-check-outline"
"mdi mdi-replay","mdi mdi-replay"
"mdi mdi-history","mdi mdi-history"
"mdi mdi-clipboard-list-outline","mdi mdi-clipboard-list-outline"
"mdi mdi-content-save","mdi mdi-content-save"
"mdi mdi-shield-check","mdi mdi-shield-check"
"mdi mdi-restore","mdi mdi-restore"
"mdi mdi-source-branch","mdi mdi-source-branch"
"从 Git 仓库增量更新框架核心代码（只更新变化的文件）","Incrementally update framework core code from Git repository (only update changed files)"
"未指定仓库时优先 GitHub；先 ping github.com，不可达时自动切换 Gitee 镜像","When no warehouse is specified, GitHub is given priority; ping github.com first, and automatically switches to the Gitee mirror if it is unreachable."
默认检测当前项目全部已跟踪、未跟踪和子模块变更；存在未提交变更时拒绝更新,"By default, all tracked, untracked, and submodule changes of the current project are detected; updates are rejected when there are uncommitted changes."
"仅显式使用 -f/--force 时跳过工作区保护，删除缓存并重新克隆后覆盖目标目录","Skip workspace protection only when using -f/--force explicitly, overwrite target directory after deleting cache and re-cloning"
"核心更新不会拷贝 app/code/Aiweline 和 app/code/WeShop；这些项目级模块由目标项目自行管理","Core update does not copy app/code/Aiweline or app/code/WeShop; these project-level modules are managed by the target project."
"步骤 1/6：检查 Git...","Step 1/6: Checking Git..."
"步骤 2/6：验证参数...","Step 2/6: Validating parameters..."
"步骤 3/6：准备临时目录...","Step 3/6: Preparing temporary directory..."
"步骤 4/6：下载框架代码...","Step 4/6: Downloading framework code..."
"步骤 5/6：更新核心文件...","Step 5/6: Updating core files..."
"步骤 6/6：完成处理...","Step 6/6: Processing completion..."
保留缓存目录用于下次增量更新,"Keep Cache Directory for Next Incremental Update"
"⚠ 已显式启用 -f/--force，跳过本地未提交变更保护","⚠ Explicitly enabled -f/--force, skips local uncommitted change protection"
"当前项目不是 Git 工作区，跳过未提交变更检查","The current project is not a Git workspace, skip uncommitted change check"
