主题通知事件,"""حدث Theme."","
主题卸载成功,"تم إزالة الموضوع بنجاح"
主题卸载可能失败，但将继续尝试重新注册,"قد يفشل إلغاء تثبيت السمة، لكن ستستمر محاولة إعادة التسجيل."
"步骤 %{1}/2：正在重新注册主题...","الخطوة %{1}/2: جارٍ إعادة تسجيل السمة..."
"主题 %{1} 重装成功！","أُعيد تثبيت السمة %{1} بنجاح!"
提示：主题已重装，但当前为未激活状态,"ملاحظة: تم إعادة تثبيت الموضوع، لكنه غير مُفعّل حاليًا."
"主题重装失败，请检查 register.php 文件","فشلت عملية إعادة تثبيت الموضوع؛ يُرجى التحقق من ملف register.php."
重装主题时出错：%{1},"خطأ أثناء إعادة تثبيت السمة: %{1}"
系统未安装任何主题！,"لا سمة مثبتة في النظام!"
【已激活】,【مُفعَّل】
查看主题列表,"عرض قائمة السمات"
收集,جمع
主题文件...,"ملفات السمة..."
开始搬迁文件...,"بدء نقل الملفات..."
"设置了 -t 参数，但却没有-t参数值！","تم تعيين المعلمة -t، لكن لم يتم توفير قيمة لهذه المعلمة!"
无法创建主题静态资源目录：,"فشل في إنشاء دليل الموارد الثابتة للتصميم:"
无法发布主题静态资源：,"فشل نشر موارد السمة الثابتة:"
更新主题文件！,"تحديث ملفات الموضوع!"
无法解析主题静态资源命名空间。,"تعذر تحليل نطاق موارد الموضوع الثابت."
主题文件不在允许的主题目录内：,"ملف السمة غير موجود في دليل السمات المسموح:"
"=== 批量生成主题预览图 ===","=== إنشاء صور معاينة القالب على دفعات ==="
"并发数量: %{1}","العدد المتزامن: %{1}"
系统中没有已安装的主题,"لا توجد قوالب مثبتة في النظام"
没有需要生成的任务,"لا توجد مهام تحتاج إلى إنشاء"
"找到 %{1} 个主题，%{2} 个任务，开始并发生成预览图...","تم العثور على %{1} طُرُق و %{2} مهام. بدء توليد صور معاينة متزامنة..."
"保存预览图路径失败: %{1}","فشل حفظ مسار صورة المعاينة: %{1}"
"=== 生成完成 ===","=== اكتمل التوليد ==="
"耗时: %{1}秒 | 成功: %{2} | 失败: %{3}","الوقت المستغرق: %{1} ثانية | النجاح: %{2} | الفشل: %{3}"
失败详情：,"تفاصيل الفشل:"
"主题ID: %{1} [%{2}]: %{3}","رقم الموضوع: %{1} [%{2}]: %{3}"
提示：请在后台主题列表页面刷新浏览器页面以查看新生成的预览图,"ملاحظة: يُرجى تحديث صفحة المتصفح في صفحة قائمة القوالب بالخلفية لعرض المعاينة المُنشأة حديثًا."
批量生成所有主题的预览图,"توليد صور معاينة لجميع المواضيع بشكل دفعي"
当前主题:,"السمة الحالية:"
安装状态:已安装！,"حالة التثبيت: تم التثبيت!"
激活状态:,"حالة التنشيط:"
正在卸载主题...,"إزالة الموضوع..."
正在压缩备份文件...,"تضييق ملف النسخ الاحتياطي..."
当前主题未安装：卸载失败！,"العنوان الحالي غير مُثبَّت: عملية إزالة التطبيق فشلت!"
卸载主题,"إلغاء تثبيت السمة"
无效语种：%{lang},无效语种：%{lang}
"已清除 404 静态指纹 %{count} 个（--force）","已清除 404 静态指纹 %{count} 个（--force）"
"=== 发布前台 404 静态页 ===","=== 发布前台 404 静态页 ==="
"前台 404 静态页发布完成：%{count} 个快照，耗时 %{sec}s","前台 404 静态页发布完成：%{count} 个快照，耗时 %{sec}s"
"仅发布语种：%{lang}（站 %{code}）","仅发布语种：%{lang}（站 %{code}）"
"抽检 %{path}：%{kb} KB，词典袋=%{bag}","抽检 %{path}：%{kb} KB，词典袋=%{bag}"
"发布前台 404 静态页（website×locale，与 setup:upgrade 后置同源）","发布前台 404 静态页（website×locale，与 setup:upgrade 后置同源）"
"已合编 theme=%{id} area=%{area} hash=%{hash} empty=%{empty}","التصميم المُدمج: id=%{id}, area=%{area}, hash=%{hash}, empty=%{empty}"
"主题整盘合编结束，共 %{n} 次","اكتمل تجميع السمة، %{n} عنصرًا"
当前主题未安装：激活失败！,"التصميم الحالي غير مُثبَّت: فشل التفعيل!"
"theme:active 区域参数无效，可选 frontend、backend、global","الموضوع: مُعامل «Region» غير صالح؛ الخيارات هي: frontend، backend، global"
正在激活...,"جارٍ التفعيل..."
已成功激活主题：,"تم تفعيل الموضوع بنجاح:"
"theme:active 前台：%{1}","الموضوع: نسخة فront-end النشطة: %{1}"
"theme:active 后台：%{1}","الموضوع: نشط – النظام الخلفي: %{1}"
"theme:active 全局 is_active：%{1}","الموضوع: نشط – عالمي: %{1}"
"Weline UI bundle 声明无效","إعلان حزمة واجهة Weline غير صالح."
"Weline UI bundle 输出路径无效或重复：%{1}","مسار إخراج حزمة Weline UI غير صالح أو مُكرر: %{1}"
"Weline UI ES Module 依赖存在循环：%{1}","تتضمن وحدة الاعتماد Weline UI ES Module مرجعًا دائرية: %{1}"
"Weline UI bundle 不存在：%{1}","حزمة واجهة Weline غير موجودة: %{1}"
"Weline UI ES Module 依赖版本化失败：%{1}","فشل عملية تحديد إصدار اعتماد وحدة Weline UI ES: %{1}"
"Weline UI bundle %{1} 缺少有效源文件","حزمة واجهة Weline UI %{1} تفتقد ملفات مصدر صالحة."
"Weline UI bundle %{1} 包含无效或重复源文件","تضم حزمة Weline UI %{1} ملفات مصدرية غير صالحة أو مكررة."
"Weline UI 源文件不存在：%{1}","ملف المصدر الخاص بواجهة المستخدم Weline غير موجود: %{1}"
"无法创建 Weline UI 输出目录：%{1}","فشل في إنشاء دليل المخرجات الخاص بواجهة مستخدم Weline: %{1}"
"无法写入 Weline UI 编译产物：%{1}","تعذر كتابة المخرجات المُجمَّعة لواجهة مستخدم Weline: %{1}"
不存在的编译资源类型：%{1}，支持的资源类型：%{2},"نوع مورد الترجمة غير موجود: %{1}. أنواع الموارد المدعومة: %{2}."
开始编译器工作。,"بدء عملية المُجمِّع."
编译中...,"جارٍ التجميع..."
编译器工作已完成。,"تم الانتهاء من عملية تجميع البرنامج."
编译less静态资源！,"تجميع موارد Less الثابتة!"
静态文件：weline.modules.js编译文件！,"الملفات الثابتة: ملف weline.modules.js المُجمَّع!"
"编译 Weline UI 2.0 静态资源包！","جمّع حزمة موارد Weline UI 2.0 الثابتة!"
编译主题资源（less、weline.modules.js等）,"تجميع موارد الموضوع (less، weline.modules.js، إلخ)"
选择作用范围,"اختيار النطاق"
搜索作用范围,"نطاق البحث"
未找到匹配作用范围,"لم يُعثر على نطاق مطابق."
"Layout preview sample","Layout preview sample"
"缺少 layout_path","缺少 layout_path"
预览取样,预览取样
选择店面取样路由,选择店面取样路由
"活动首页 /promotion","活动首页 /promotion"
"取样 deals /promotion/deals","取样 deals /promotion/deals"
"Theme 预览需要有效 Token 或后台登录状态。","التصميم المعروض يتطلب رمزًا صالحًا أو حالة تسجيل دخول إلى الواجهة الخلفية."
"Theme 预览缺少冻结的 ScopeIdentity。","التصميم المعروض يفتقر إلى نطاق الهوية الثابت (ScopeIdentity)."
自动登录,"تسجيل دخول تلقائي"
评价页,评价页
退货,المرتجعات
与我的订单,وطلباتي
"Weline 首页","الصفحة الرئيسية لـ Weline"
"干净的 Weline 首页","الصفحة الرئيسية لـ Weline نظيفة"
一个克制、清晰的默认首页，适用于店铺、内容站点和模块驱动体验。,"صفحة رئيسية افتراضية بسيطة وواضحة، مناسبة للمتاجر ومواقع المحتوى والتجارب المعتمدة على الوحدات."
浏览,تصفح
联系,اتصال
最新上架,الأحدث
用于精选商品或文章的区域。,"منطقة للمنتجات أو المقالات المختارة."
用于服务链接和支持内容的区域。,"منطقة للروابط الخدمية ومحتوى الدعم."
社区,المجتمع
用于社交渠道和品牌故事的区域。,"منطقة للقنوات الاجتماعية وقصص العلامة التجارية."
重点,الأهم
突出页面上最重要的优惠或故事。,"سلط الضوء على أهم العروض أو القصص في الصفحة."
灵活,مرن
这里可以放集合、活动或编辑内容区块。,"يمكن وضع مجموعات أو فعاليات أو محتوى تحريري هنا."
可用,متاح.
可选模块提供真实数据前，页面仍然保持完整。,"حتى قبل توفير البيانات الفعلية من خلال الوحدات الاختيارية، تظل الصفحة كاملة."
精彩活动进行中,"فعاليات رائعة جارية"
这里是活动专题默认页面。,"هذه هي الصفحة الافتراضية للحدث الخاص."
活动亮点示例,"أمثلة على أبرز فعاليات"
在这里展示活动的核心卖点，比如满减、折扣、限时抢购、会员专享等信息。,"لعرض نقاط البيع الأساسية للنشاط، مثل الخصومات، والصفقات محدودة الوقت، والعروض الخاصة بالأعضاء، وما إلى ذلك."
活动商品示例,"أمثلة على منتجات العروض"
在这里展示参与活动的商品列表或商品推荐组件，为用户提供快速选购入口。,"لعرض قائمة المنتجات المشاركة في النشاط أو مكونات توصيات المنتجات، لتوفير نقاط دخول سريعة للمستخدمين لإجراء عمليات شراء."
"Weline 默认页面","الصفحة الافتراضية لـ Weline"
该页面尚未提供内容。,"هذه الصفحة لا تحتوي على محتوى بعد."
返回首页,"الرجوع إلى الصفحة الرئيسية"
选购答疑,选购答疑
商品问答,商品问答
关于形制、尺码、面料或穿着场景的问题，请进入对应商品详情页查看已公开的回答；需要订单协助时，可直接联系客户服务。,关于形制、尺码、面料或穿着场景的问题，请进入对应商品详情页查看已公开的回答；需要订单协助时，可直接联系客户服务。
按分类选购,按分类选购
联系客户服务,联系客户服务
问答使用说明,问答使用说明
商品问题,商品问题
在商品详情页提问，问题会与具体款式关联，便于获得准确回复。,在商品详情页提问，问题会与具体款式关联，便于获得准确回复。
