主题通知事件,"थीम अधिसूचना इवेंट"
"JS压缩失败，使用原始内容: %{1}","जेएस संपीड़न विफल, मूल सामग्री का उपयोग: %{1}"
"创建目录失败: %{1}","डायरेक्टरी बनाने में विफल: %{1}"
"写入文件失败: %{1}","फ़ाइल लिखने में विफल: %{1}"
"LayoutAssetsGenerator: 已添加CSS链接 - %{1}","लेआउट एसेट्स जेनरेटर: CSS लिंक जोड़ा गया - %{1}"
"LayoutAssetsGenerator: 未找到</head>标签，无法添加CSS链接 - %{1}","लेआउट एसेट्स जेनरेटर: </head> टैग नहीं मिला, CSS लिंक नहीं जोड़ा जा सका - %{1}"
"LayoutAssetsGenerator: CSS链接已存在，跳过添加 - %{1}","लेआउट एसेट्स जेनरेटर: सीएसएस लिंक पहले से मौजूद है, जोड़ना छोड़ दिया - %{1}"
"LayoutAssetsGenerator: 已添加JS链接 - %{1}","लेआउट एसेट्स जेनरेटर: JS लिंक जोड़ा गया - %{1}"
"LayoutAssetsGenerator: JS链接已存在，跳过添加 - %{1}","लेआउट एसेट्स जेनरेटर: जेएस लिंक पहले से मौजूद है, जोड़ना छोड़ दिया - %{1}"
"LayoutAssetsGenerator: 未找到</body>标签，无法添加JS链接 - %{1}","लेआउट एसेट्स जेनरेटर: </body> टैग नहीं मिला, JS लिंक नहीं जोड़ा जा सका - %{1}"
"LayoutAssetsGenerator: 已更新编译文件 - %{1}","लेआउट एसेट्स जेनरेटर: संकलन फ़ाइल अपडेट की गई - %{1}"
"LayoutAssetsGenerator: 已更新内容模板编译文件 - %{1}","लेआउट एसेट्स जेनरेटर: सामग्री टेम्पलेट संकलन फ़ाइल अपडेट की गई - %{1}"
"LayoutAssetsGenerator: 更新内容模板编译文件失败 - %{1}","लेआउट एसेट्स जेनरेटर: सामग्री टेम्पलेट संकलन फ़ाइल अपडेट करने में विफल - %{1}"
"LayoutAssetsGenerator: 更新编译文件失败 - %{1}","लेआउट एसेट्स जेनरेटर: संकलन फ़ाइल अपडेट करने में विफल - %{1}"
退出预览失败,"पूर्वावलोकन से बाहर निकलने में विफलता"
发布失败,"प्रकाशित करने में विफल"
网络错误，请重试,"नेटवर्क त्रुटि, कृपया पुनः प्रयास करें"
确认发布当前预览内容并退出？发布后，所有访客将看到最新更改。,समुदाय
确认发布,"क्या आप वर्तमान पूर्वावलोकन सामग्री को प्रकाशित करना चाहते हैं और बाहर निकलना चाहते हैं? प्रकाशन के बाद, सभी आगंतुकों को नवीनतम परिवर्तन दिखाई देंगे।"
取消,"रद्द करें"
发布预览,"पूर्वावलोकन प्रकाशित करें"
页面,पृष्ठ
了解云裳汉服品牌故事、匠心工艺与传统服饰选购理念。,了解云裳汉服品牌故事、匠心工艺与传统服饰选购理念。
联系云裳汉服客服，咨询订单、定制与批发合作。,联系云裳汉服客服，咨询订单、定制与批发合作。
阅读本站隐私、Cookie、退款与相关法律政策说明。,阅读本站隐私、Cookie、退款与相关法律政策说明。
了解我们如何收集、使用与保护您的个人信息。,了解我们如何收集、使用与保护您的个人信息。
阅读使用本站服务前需要了解的条款与条件。,阅读使用本站服务前需要了解的条款与条件。
查看配送、退换与购物相关说明，帮助顺利完成汉服选购。,查看配送、退换与购物相关说明，帮助顺利完成汉服选购。
了解可用支付方式、账单与安全保障说明。,了解可用支付方式、账单与安全保障说明。
查找订单、物流、退换与账户相关常见问题。,查找订单、物流、退换与账户相关常见问题。
查看已选汉服商品、调整数量并进入结算。,查看已选汉服商品、调整数量并进入结算。
登录或注册账户，管理订单与收藏。,登录或注册账户，管理订单与收藏。
浏览%{1}相关信息，了解汉服选购与服务说明。,浏览%{1}相关信息，了解汉服选购与服务说明。
"Theme 预览需要有效 Token 或后台登录状态。","थीम: पूर्वावलोकन के लिए एक वैध टोकन या बैकएंड लॉगिन स्थिति की आवश्यकता है।"
"Theme 预览缺少冻结的 ScopeIdentity。","थीम: पूर्वावलोकन में आवश्यक 'फ्रीज्ड स्कोप आइडेंटिटी' गायब है।"
"缺少预览 Token","पूर्वावलोकन टोकन गायब है"
"预览 Token 无效或已过期","पूर्वावलोकन टोकन अमान्य या समाप्त हो गया है"
"预览 Token 无法写入 Cookie","पूर्वावलोकन टोकन कुकी में नहीं लिखा जा सका"
"预览 Token 已保存","पूर्वावलोकन टोकन सहेजा गया"
主题预览需要有效的后台登录状态。,"थीम पूर्वावलोकन के लिए एक वैध बैकएंड लॉगिन स्थिति आवश्यक है।"
"Failed to exit preview","Failed to exit preview"
"Preview exited","Preview exited"
"No available frontend theme. Please activate or select one first.","No available frontend theme. Please activate or select one first."
"Selected backend theme is unavailable, fallback to the active backend theme.","Selected backend theme is unavailable, fallback to the active backend theme."
Default,Default
未注册的主题目标类型：%{1},"पंजीकृत थीम लक्ष्य प्रकार नहीं मिला: %{1}"
请选择主题,"कृपया थीम चुनें"
"主题 ID %{1} 不存在","थीम आईडी %{1} मौजूद नहीं है"
参数不完整,"अपूर्ण पैरामीटर"
该推荐部件已在所有布局身份中,"यह अनुशंसित घटक सभी लेआउट पहचान में पहले से मौजूद है"
该推荐部件已在当前布局中,"यह अनुशंसित घटक वर्तमान लेआउट में पहले से मौजूद है"
"缺少布局节点 UID","缺少布局节点 UID"
已应用到所有布局身份,"सभी लेआउट पहचान पर लागू किया गया"
已应用推荐部件,"अनुशंसित घटक लागू किया गया"
已安装默认部件,已安装默认部件
已对账默认安装部件,已对账默认安装部件
已初始化插槽默认部件,"स्लॉट के लिए डिफ़ॉल्ट घटक आरंभिक किए गए"
已恢复插槽模板默认内容,"स्लॉट टेम्पलेट की डिफ़ॉल्ट सामग्री पुनर्स्थापित की गई"
该插槽暂无缺失的默认部件,"इस स्लॉट में कोई डिफ़ॉल्ट घटक उपलब्ध नहीं है"
"缺少 slot_id 参数","slot_id पैरामीटर गायब है"
该部件不能放置在此区域,"यह घटक इस क्षेत्र में नहीं रखा जा सकता"
保存成功,"सफलतापूर्वक सहेजा गया"
配置已保存,"कॉन्फ़िगरेशन सहेजा गया"
删除失败,"हटाने में विफल"
删除成功,"हटाया गया"
缺少部件身份信息,"घटक पहचान जानकारी गायब है"
"已删除 %{count} 个孤儿部件","%{count} अनाथ घटक हटाए गए"
未找到需要删除的孤儿部件（可能已被删除）,"हटाने के लिए कोई अनाथ घटक नहीं मिला (शायद पहले ही हटा दिया गया है)"
移动成功,स्थिर
排序数据为空,"सॉर्टिंग डेटा खाली है।"
部件不存在,"विजेट मौजूद नहीं है"
排序已更新,"क्रम अद्यतन किया गया"
位置已交换,"स्थान बदला गया"
布局已保存,"लेआउट सहेजा गया"
保存失败,"सहेजने में विफल"
产品布局模式不可编辑页头/页脚,产品布局模式不可编辑页头/页脚
已改为本布局独立页头/页脚,已改为本布局独立页头/页脚
已恢复全部布局跟随全局页头/页脚,已恢复全部布局跟随全局页头/页脚
已恢复跟随全局页头/页脚,已恢复跟随全局页头/页脚
主题已发布,"थीम प्रकाशित हो गया है"
生成缓存失败，但布局已发布,"कैश बनाने में विफल, लेकिन लेआउट प्रकाशित हो गया"
草稿已撤销,"ड्राफ्ट रद्द किया गया"
撤销失败,"रद्द करने में विफल।"
缺少部件模块或代码,"घटक मॉड्यूल या कोड गायब है"
缺少部件参数,"घटक पैरामीटर गायब हैं"
"缺少布局节点 UID 或字段","缺少布局节点 UID 或字段"
该部件没有配置项,"इस घटक में कोई कॉन्फ़िगरेशन विकल्प नहीं हैं"
"Selected layout option is unavailable.","Selected layout option is unavailable."
"Layout option draft validated.","Layout option draft validated."
"No configurable layout fields.","No configurable layout fields."
"Save layout config","Save layout config"
"Layout config draft validated.","Layout config draft validated."
缺少源文案。,"मूल पाठ गायब है।"
"开始 AI 翻译","एआई अनुवाद शुरू करें"
"正在翻译 %{1}…","अनुवाद कर रहा है %{1}..."
"AI 翻译未返回目标语言结果。","एआई अनुवाद ने लक्षित भाषा में परिणाम वापस नहीं किया।"
"已完成 %{1}","पूरा हुआ: %{1}"
"翻译 %{1} 失败：%{2}","अनुवाद %{1} विफल: %{2}"
AI翻译未返回目标语言结果,"एआई अनुवाद ने लक्षित भाषा का परिणाम नहीं दिया।"
AI翻译已回填,"एआई अनुवाद भर दिया गया है"
"主题配置 AI 翻译失败：%{1}","थीम कॉन्फ़िगरेशन में एआई अनुवाद विफल: %{1}"
AI翻译服务未找到，请确保AI模块已安装,"एआई अनुवाद सेवा नहीं मिली, कृपया सुनिश्चित करें कि एआई मॉड्यूल स्थापित है"
配置数据格式错误,"कॉन्फ़िगरेशन डेटा प्रारूप त्रुटि"
"已校验 %{locale} 语言的 Scope 草稿","स्कोप ड्राफ्ट का %{locale} भाषा के लिए सत्यापन किया गया"
"Scope 草稿已保存","Scope 草稿已保存"
保存失败：%{error},"सहेजने में विफल: %{error}"
"Missing theme ID","Missing theme ID"
"Theme not found","Theme not found"
"主题预览缺少冻结的 ScopeIdentity。","थीम पूर्वावलोकन में आवश्यक 'फ्रीज्ड स्कोप आइडेंटिटी' गायब है।"
主题预览缺少可用的布局语言。,"थीम पूर्वावलोकन के लिए उपलब्ध लेआउट भाषाएं नहीं हैं।"
系统提示,"सिस्टम संकेत"
这是一条状态提示信息。,"यह एक सूचना संदेश है।"
已启用,सक्रिय
主要操作,"मुख्य कार्य"
数据卡片,"डेटा कार्ड"
用于组织内容,"सामग्री को व्यवस्थित करने के लिए"
这里展示核心信息、摘要或操作入口。,"यहां मुख्य जानकारी, सारांश या कार्रवाई के विकल्प प्रदर्शित होते हैं।"
更新于刚刚,"अभी अपडेट किया गया"
选择操作,"क्रिया चुनें"
查看详情,"विवरण देखें"
复制视图,"दृश्य की प्रतिलिपि बनाएँ"
归档,संग्रह
字段名称,"फ़ील्ड का नाम"
管理员,व्यवस्थापक
请输入内容,"कृपया सामग्री दर्ज करें"
正在同步数据,"डेटा सिंक हो रहा है"
操作完成,"ऑपरेशन पूरा हुआ।"
数据已保存，可以继续编辑。,"डेटा सहेजा गया है, आप संपादन जारी रख सकते हैं।"
公开后同站点后台用户可见。,"एक बार प्रकाशित होने के बाद, समान साइट के बैकएंड उपयोगकर्ता इसे देख सकते हैं।"
确认,"पुष्टि करें"
上一页,"पिछला पृष्ठ"
下一页,"अगला पृष्ठ"
指标,मेट्रिक्स
状态,स्थिति
趋势,ट्रेंड
订单,ऑर्डर
正常,सामान्य
支付,भुगतान
稳定,"खाली लेआउट हेडर, फ़ुटर या ब्रेडक्रंब प्रदर्शित नहीं करेगा"
库存,इन्वेंट्री
关注,"अनुसरण करें"
概览,सारांश
设置,सेटिंग
后台,बैकएंड
次要,माध्यमिक
分页,"पृष्ठ संख्या"
缺少主题ID,"थीम आईडी गायब है"
"Scope 草稿已编译预览，发布产物由 Release 生成","स्कोप ड्राफ्ट का पूर्वावलोकन संकलित किया गया, रिलीज़ द्वारा प्रकाशित उत्पाद उत्पन्न किया जाएगा"
后台仪表盘预览,"बैकएंड डैशबोर्ड पूर्वावलोकन"
"主题目标类型或 ID 无效。","थीम लक्ष्य प्रकार या आईडी अमान्य है।"
"AI 翻译未返回有效 JSON。","एआई अनुवाद ने मान्य JSON वापस नहीं किया।"
"Version saved: %{name}","Version saved: %{name}"
"Missing required parameters","Missing required parameters"
"Switch version failed","Switch version failed"
"Restored selected version","Restored selected version"
"Restored original layout","Restored original layout"
"Theme cache cleared","Theme cache cleared"
"Theme 已完全初始化","Theme 已完全初始化"
"Current draft resources reset","Current draft resources reset"
"Publish failed","Publish failed"
"Version published","Version published"
"Missing version ID","Missing version ID"
"Version deleted","Version deleted"
"Cannot delete current or published version","Cannot delete current or published version"
"Version renamed","Version renamed"
"Rename failed","Rename failed"
布局不存在,"लेआउट मौजूद नहीं है"
请求的布局模板文件未找到，请选择其他布局类型。,"अनुरोधित लेआउट टेम्पलेट फ़ाइल नहीं मिली, कृपया अन्य लेआउट प्रकार चुनें।"
布局类型,"लेआउट प्रकार"
布局选项,"लेआउट विकल्प"
请在主题编辑器中选择有效的布局。,"कृपया थीम एडिटर में एक मान्य लेआउट चुनें।"
"Weline UI 资源路径无效","Weline UI: संसाधन पथ अमान्य।"
"已保存为 %{name}","इसे %{name} के रूप में सहेजा गया"
已切换到选定版本,"चयनित संस्करण पर स्विच किया गया"
切换版本失败,"संस्करण बदलने में विफल"
已恢复到原始布局,"मूल लेआउट पर पुनर्स्थापित किया गया"
"已备份为 %{name}","इसे %{name} के रूप में बैकअप लिया गया"
版本已发布,"संस्करण प्रकाशित"
缺少版本ID,"संस्करण आईडी गायब है"
版本已删除,"संस्करण हटाया गया"
无法删除当前版本或已发布版本,"वर्तमान संस्करण या प्रकाशित संस्करण को हटाया नहीं जा सकता"
版本已重命名,"संस्करण का नाम बदला गया"
重命名失败,"नाम बदलने में विफलता"
缺少前端主题ID,"फ्रंटएंड थीम आईडी गायब है"
"Preview started","Preview started"
"Missing navigation target","Missing navigation target"
"Missing preview token","Missing preview token"
"Preview token is invalid or expired","Preview token is invalid or expired"
"Preview token is missing theme information","Preview token is missing theme information"
"Theme published","Theme published"
"Preview token is required","Preview token is required"
已释放编辑锁定,"संपादन लॉक जारी किया गया"
释放锁定失败,"लॉक जारी करने में विफलता"
"色盘 Scope 草稿已校验","कलर पैलेट स्कोप ड्राफ्ट मान्य है"
"删除 Scope 草稿已校验","स्कोप ड्राफ्ट हटा दिया गया, सत्यापन सफल"
"另存 Scope 草稿已校验","स्कोप ड्राफ्ट को अलग से सहेजा गया, सत्यापन सफल"
"主题盘 Scope 草稿已校验","थीम स्कोप ड्राफ्ट मान्य है"
可视化编辑,"विज़ुअल संपादन"
palette,palette
编辑网站、店铺与渠道主题,"वेबसाइट, स्टोर और चैनल थीम संपादित करें"
"查看主题 Scope 工作区","थीम स्कोप कार्यक्षेत्र देखें"
eye,eye
"读取主题 Scope 草稿、继承来源与冲突","थीम स्कोप का मसौदा पढ़ें, विरासत स्रोत और टकराव"
"编辑主题 Scope 草稿","थीम स्कोप का मसौदा संपादित करें"
edit,edit
"写入主题 Scope 逐路径覆盖或恢复继承","विषय स्कोप को प्रत्येक पथ के लिए लिखें या विरासत को पुनर्स्थापित करें"
"发布主题 Scope","थीम प्रकाशित करें: स्कोप"
upload,upload
"发布主题 Scope 并重算后代有效版本","स्कोप के साथ थीम प्रकाशित करें और वंशज संस्करणों की पुनः गणना करें"
"批量发布主题 Scope","批量发布主题 Scope"
upload-cloud,upload-cloud
"以一个事务发布主题 Scope 的完整资源快照","以一个事务发布主题 Scope 的完整资源快照"
读取主题发布批次,读取主题发布批次
receipt,receipt
"读取当前 Scope 的主题发布批次回执","读取当前 Scope 的主题发布批次回执"
重试主题发布缓存,重试主题发布缓存
refresh-cw,refresh-cw
重试已提交主题批次的缓存刷新，不重复发布资源,重试已提交主题批次的缓存刷新，不重复发布资源
回滚主题发布批次,回滚主题发布批次
history,history
以新批次原子恢复历史主题资源全集,以新批次原子恢复历史主题资源全集
读取主题基础信息身份,读取主题基础信息身份
"读取当前 Scope 的网站/店铺/渠道真实身份字段","读取当前 Scope 的网站/店铺/渠道真实身份字段"
保存主题基础信息身份,保存主题基础信息身份
"写回当前 Scope 的网站/店铺/渠道真实身份字段","写回当前 Scope 的网站/店铺/渠道真实身份字段"
主题管理,"थीम प्रबंधन"
主题不存在,"थीम मौजूद नहीं है"
主题激活成功,"थीम सक्रियण सफल"
激活失败,"सक्रिय करने में विफल"
"主题不支持 %{1} 区域","यह थीम %{1} क्षेत्र का समर्थन नहीं करती है"
预览图生成成功,"पूर्वावलोकन छवि सफलतापूर्वक बनाई गई"
预览图生成失败,"पूर्वावलोकन छवि बनाने में विफल"
生成预览图失败：%{1},"पूर्वावलोकन छवि बनाने में विफल: %{1}"
生成失败：%{1},"बनाने में विफल: %{1}"
开始并发批量生成预览图（并发数：%{1}）...,"समानांतर बैच में पूर्वावलोकन चित्र उत्पन्न करना शुरू करें (समानांतर संख्या: %{1})..."
部分预览图生成失败,"कुछ पूर्वावलोकन छवियों को उत्पन्न करने में विफलता"
所有预览图生成成功,"सभी पूर्वावलोकन चित्र सफलतापूर्वक उत्पन्न हो गए।"
"frontend 生成失败：%{1}","फ्रंटएंड जनरेशन विफल: %{1}"
"backend 生成失败：%{1}","बैकएंड जनरेशन विफल: %{1}"
原因未知,"कारण अज्ञात"
"%{1}: 生成失败：%{2}","%{1}: निर्माण विफल: %{2}"
批量生成预览图失败：%{1},"बल्क में पूर्वावलोकन चित्र उत्पन्न करने में विफलता: %{1}"
配置保存成功,"कॉन्फ़िगरेशन सहेजा गया"
缺少必要参数,"आवश्यक पैरामीटर गायब हैं"
"Missing parameter key for reset action","Missing parameter key for reset action"
重置成功,"रीसेट सफल"
"Save failed:","Save failed:"
主题模式切换失败,"थीम मोड बदलने में विफल"
"参数不完整：category 不能为空","पैरामीटर अधूरा है: 'श्रेणी' खाली नहीं हो सकता"
"Please select a theme","Please select a theme"
"Preview config published to formal scope","Preview config published to formal scope"
"Publish failed:","Publish failed:"
"Preview config discarded","Preview config discarded"
"Discard failed:","Discard failed:"
"未找到对应的 Meta 配置：","कोई संबंधित मेटा कॉन्फ़िगरेशन नहीं मिला:"
"加载 Meta 配置失败：","मेटा कॉन्फ़िगरेशन लोड करने में विफल:"
参数已保存,"पैरामीटर सहेजा गया"
保存失败：,"सहेजने में विफल:"
参数不存在：,"पैरामीटर मौजूद नहीं है:"
加载翻译失败：,"अनुवाद लोड करने में विफल:"
翻译已保存,"अनुवाद सहेजा गया"
保存翻译失败：,"अनुवाद सहेजने में विफल:"
参数错误,"गलत पैरामीटर"
保存失败:,"सहेजने में विफल:"
预览已刷新,"पूर्वावलोकन ताज़ा किया गया"
刷新失败:,"रिफ्रेश करने में विफल:"
色盘应用成功,"कलर पैलेट सफलतापूर्वक लागू किया गया"
应用失败:,"अनुप्रयोग विफल:"
布局类型不存在：%{type},"लेआउट प्रकार मौजूद नहीं है: %{type}"
布局选项无效：%{type}/%{option},"लेआउट विकल्प अमान्य है: %{type}/%{option}"
主题ID缺失,"थीम आईडी गायब है"
未发现上传文件,"कोई अपलोड की गई फ़ाइल नहीं मिली"
不支持的文件类型,"समर्थित नहीं फ़ाइल प्रकार"
文件太大，请限制在5MB以内,"फ़ाइल बहुत बड़ी है, कृपया इसे 5MB के भीतर रखें"
上传成功,"अपलोड सफल"
文件保存失败,"फ़ाइल सहेजने में विफल"
"上传出错: %{error}","अपलोड त्रुटि: %{error}"
目录路径不能为空,"डायरेक्टरी पथ खाली नहीं हो सकता"
目录配置保存成功,"डायरेक्टरी कॉन्फ़िगरेशन सफलतापूर्वक सहेजा गया"
获取成功,"सफलतापूर्वक प्राप्त"
色系文件不存在：%{file},"कलर थीम फ़ाइल मौजूद नहीं है: %{file}"
无法读取色系文件,"रंग योजना फ़ाइल पढ़ने में असमर्थ"
变量格式错误,"वेरिएबल प्रारूप त्रुटि"
无法创建备份文件,"बैकअप फ़ाइल बनाने में असमर्थ"
主题区域无效：%{area},"अमान्य थीम क्षेत्र: %{area}"
色系标识无效：%{value},"कलर थीम पहचान अमान्य है: %{value}"
色系文件名无效：%{file},"कलर थीम फ़ाइल नाम अमान्य है: %{file}"
CSS变量名无效：%{name},"सीएसएस वेरिएबल नाम अमान्य: %{name}"
CSS颜色值无效：%{name},"सीएसएस रंग मान अमान्य: %{name}"
CSS变量配置无效,"सीएसएस वेरिएबल कॉन्फ़िगरेशन अमान्य"
请选择色盘,"कृपया रंग पैलेट चुनें"
色盘选择已保存,"चयनित कलर पैलेट सहेजा गया"
"已保存 %{count} 个变量","%{count} चर सहेजे गए"
请选择变量文件,"कृपया वेरिएबल फ़ाइल चुनें"
请选择组件,"कृपया घटक चुनें"
"已保存 %{count} 个参数","%{count} पैरामीटर सहेजे गए"
色盘不存在,"कलर पैलेट मौजूद नहीं है"
变量文件不存在,"वेरिएबल फ़ाइल मौजूद नहीं है"
组件不存在,"घटक मौजूद नहीं है"
"Invalid theme id","Invalid theme id"
"Missing component","Missing component"
"Component is not available for this theme","Component is not available for this theme"
"Component parameters saved","Component parameters saved"
"Failed to save component parameters: {error}","Failed to save component parameters: {error}"
"Partial option is not available: {type}/{option}","Partial option is not available: {type}/{option}"
"Partials saved","Partials saved"
"Invalid theme or partial type","Invalid theme or partial type"
"旧 Theme Builder 不再支持直接发布，请使用 Theme 编辑器的发布流程。","पुराना थीम बिल्डर अब सीधे प्रकाशन का समर्थन नहीं करता है, कृपया थीम संपादक के प्रकाशन प्रक्रिया का उपयोग करें।"
"旧 Theme Builder 只允许保存草稿。","पुराना थीम बिल्डर केवल ड्राफ्ट सहेजने की अनुमति देता है।"
"Theme 布局草稿保存失败。","थीम: लेआउट ड्राफ्ट सहेजने में विफल।"
缺少主题或布局身份,"थीम या लेआउट पहचान गायब है"
未找到默认布局源码,"डिफ़ॉल्ट लेआउट स्रोत नहीं मिला"
"不支持的 AI block 操作","समर्थित नहीं AI ब्लॉक ऑपरेशन"
只能重新生成虚拟主题拥有的图片资源,"केवल वर्चुअल थीम के स्वामित्व वाली छवि संसाधनों को पुनः उत्पन्न किया जा सकता है"
保存虚拟布局源码草稿,"वर्चुअल लेआउट स्रोत कोड का मसौदा सहेजें"
"缺少 version_id","version_id गायब है"
虚拟布局版本已发布,"वर्चुअल लेआउट संस्करण प्रकाशित हो गया है।"
虚拟布局版本发布失败,"वर्चुअल लेआउट संस्करण प्रकाशित करने में विफल।"
回滚虚拟主题布局版本,"वर्चुअल थीम लेआउट संस्करण को वापस करें"
"虚拟布局资产表已移除，请使用主题编辑器 scoped 工作区","虚拟布局资产表已移除，请使用主题编辑器 scoped 工作区"
未找到默认布局源码，无法创建虚拟主题草稿,"डिफ़ॉल्ट लेआउट स्रोत नहीं मिला, वर्चुअल थीम ड्राफ्ट बनाना संभव नहीं है"
虚拟主题草稿已生成，发布前不会影响前台渲染,"वर्चुअल थीम ड्राफ्ट उत्पन्न हो गया है, प्रकाशन से पहले यह फ्रंट-एंड रेंडरिंग को प्रभावित नहीं करेगा।"
缺少参照主题,"संदर्भ थीम गायब है"
参照主题没有可生成的默认布局类型,"संदर्भ थीम में कोई डिफ़ॉल्ट लेआउट प्रकार उपलब्ध नहीं है"
"AI 虚拟主题全类型草稿","एआई वर्चुअल थीम, सभी प्रकार के मसौदे"
生成失败,"बनाने में विफल"
虚拟主题部分布局类型生成失败,"वर्चुअल थीम के कुछ लेआउट प्रकार उत्पन्न करने में विफल रहे।"
虚拟主题全部布局草稿已生成，发布前不会影响前台渲染,"वर्चुअल थीम के सभी लेआउट ड्राफ्ट उत्पन्न हो गए हैं, प्रकाशन से पहले यह फ्रंट-एंड रेंडरिंग को प्रभावित नहीं करेगा।"
"AI 虚拟主题布局草稿","एआई वर्चुअल थीम, लेआउट मसौदा"
"AI 返回内容缺少 source_code 字段。","एआई द्वारा वापस किया गया कंटेंट 'source_code' फ़ील्ड से रहित है।"
"AI 未返回虚拟主题源码。","AI ने वर्चुअल थीम स्रोत कोड वापस नहीं किया।"
"AI 编辑 block 后生成虚拟主题草稿","एआई संपादन के बाद वर्चुअल थीम का मसौदा तैयार करें"
"AI 重建 block 后生成虚拟主题草稿","एआई द्वारा ब्लॉक को पुनर्निर्माण करने के बाद वर्चुअल थीम का मसौदा तैयार करें"
"AI 重新生成 block 图片资源后生成虚拟主题草稿","एआई द्वारा ब्लॉक की छवि संसाधनों को फिर से उत्पन्न करने के बाद वर्चुअल थीम का मसौदा तैयार करें"
"AI 生成虚拟主题草稿","AI ने वर्चुअल थीम का एक मसौदा तैयार किया।"
"缺少 draft_version_id","draft_version_id गायब है"
草稿已发布,"ड्राफ्ट प्रकाशित"
"缺少 published_version_id 或 component_id","缺少 published_version_id 或 component_id"
已准备精修草稿,已准备精修草稿
已基于历史版本生成新的草稿,"ऐतिहासिक संस्करण के आधार पर एक नया ड्राफ्ट बनाया गया"
草稿版本不存在,"ड्राफ्ट संस्करण मौजूद नहीं है"
"父主题：%{1} 不存在！","मूल थीम: %{1} मौजूद नहीं है!"
"主题名 ""%{1}"" 已被模块 ""%{2}"" 占用，跳过安装","थीम नाम ""%{1}"" मॉड्यूल ""%{2}"" द्वारा उपयोग किया जा रहा है, स्थापना छोड़ दी गई"
安装,"स्थापित करें"
主题更新...,"थीम अपडेट..."
更新,"अपडेट करें"
主题注册失败！,"थीम पंजीकरण विफल!"
布局收集失败:,"लेआउट संग्रह विफल:"
"Theme 虚拟布局身份无效。","थीम: वर्चुअल लेआउट की पहचान अमान्य है।"
手动保存,"मैन्युअल रूप से सहेजें"
自动备份,"स्वचालित बैकअप"
恢复原始,"मूल पर पुनर्स्थापित करें"
发布快照,"स्नैपशॉट प्रकाशित करें"
"Theme 布局版本身份无效。","थीम: लेआउट की पहचान अमान्य है।"
"Theme 默认组件注入身份无效。","थीम: डिफ़ॉल्ट घटक इंजेक्शन पहचान विफल।"
分类页,"श्रेणी पृष्ठ"
产品页,"उत्पाद पृष्ठ"
产品列表页,"उत्पाद सूची पृष्ठ"
CMS页面,"सीएमएस पेज"
购物车,"शॉपिंग कार्ट"
结算页,"भुगतान पृष्ठ"
账户中心,"खाता केंद्र"
Dashboard,Dashboard
搜索页,"खोज पृष्ठ"
博客详情,"ब्लॉग विवरण"
促销页,促销页
活动页,"इवेंट पृष्ठ"
结算成功页,"चेक आउट सफल रहा पेज।"
结算失败页,"चेक आउट विफलता पृष्ठ।"
FAQ/常见问题,"अक्सर पूछे जाने वाले प्रश्न"
支付指南,"भुगतान गाइड"
指南页,指南页
评价页,评价页
问答页,问答页
退换货页,退换货页
政策页,政策页
"404 页面","404 पृष्ठ"
默认布局,"डिफ़ॉल्ट लेआउट"
头部区域,"हेडर क्षेत्र"
横幅区域,"बैनर क्षेत्र"
左侧栏,"बाएँ साइडबार"
内容区域,"सामग्री क्षेत्र"
右侧栏,"दायां साइडबार"
底部区域,"निचला क्षेत्र"
草稿,ड्राफ्ट
已发布,प्रकाशित
"Theme 布局节点身份无效。","थीम: लेआउट नोड की पहचान अमान्य है।"
暂无可用布局,"कोई उपलब्ध लेआउट नहीं"
配置参数,"कॉन्फ़िगरेशन पैरामीटर"
暂无可用色系,"कोई उपलब्ध रंग योजना नहीं"
暂无可用部件,"कोई उपलब्ध विजेट नहीं"
暂无可用变量,"कोई उपलब्ध चर नहीं"
暂无可用组件,"कोई उपलब्ध घटक नहीं"
获取参数失败,"पैरामीटर प्राप्त करने में विफल"
参数配置,"पैरामीटर कॉन्फ़िगरेशन"
参数保存成功,"पैरामीटर सफलतापूर्वक सहेजा गया"
参数保存失败,"पैरामीटर सहेजने में विफल"
面包屑,ब्रेडक्रंब
搜索汉服、形制与配饰...,"हानफू, शैली और सहायक वस्तुएँ खोजें..."
分类,श्रेणी
查看全部,"सभी देखें"
汉服分类展示图,汉服分类展示图
回到顶部,"ऊपर वापस"
站点偏好,"साइट प्राथमिकताएँ"
法律与政策,"कानूनी और नीतियाँ"
商品,उत्पाद
查看规格图,"विकल्प छवि देखें"
减少数量,"मात्रा घटाएँ"
数量,मात्रा
增加数量,"मात्रा बढ़ाएँ"
购物车是空的,"कार्ट खाली है"
继续购物,"खरीदारी जारी रखें"
小计,उप-योग
去结算,"चेकआउट पर आगे बढ़ें"
正在前往结算...,正在前往结算...
查看购物车,"कार्ट देखें"
税费与运费将在结算时计算,"कर और शिपिंग चेकआउट पर हिसाब होगा"
正在加载购物车...,"शॉपिंग कार्ट लोड हो रहा है..."
正在更新购物车...,"कार्ट को अपडेट कर रहा है..."
商品小计,उप-योग
优惠券,कूपन
叠加优惠,"छूट लागू करें"
自动优惠,"स्वचालित छूट।"
关闭通知,"सूचना बंद करें"
7×24,7×24
"近 7 日访问量 +18%","पिछले 7 दिनों में विज़िट +18%"
卡片内容,"कार्ड सामग्री"
