AI监控告警,"AI Monitoring Alerts"
输出令牌,"Output tokens"
花费,Spent
耗时,"Time taken"
使用详情,"Usage details"
加载失败，请重试,"Failed to load, please retry"
失败,fail
上一页,"Previous page"
下一页,"Next page"
请求ID,"Request ID"
错误信息,"Error message"
请求数据,"Request data"
响应数据,"Response data"
供应商,Supplier
账户名称,"Account Name"
密钥,"Secret Key"
基础URL,"Base URL"
激活账户,"Activate account"
设为默认,"Set as Default"
关闭,closure
新建供应商账户,"New Supplier Account"
本地,Local
留空保持不变,"Leave blank to keep unchanged"
API密钥将被加密存储,"API keys will be stored encrypted"
留空使用默认值,"Leave blank to use the default value"
本地服务通常可留空,"Local services can usually be left blank"
"本地/自定义供应商 API Key 可留空","Local/custom provider API Key can be left blank"
保存中...,Saving...
"后台 API 不可用，请刷新父页面后重试","The background API is unavailable, please refresh the parent page and try again"
保存成功,"Saved successfully"
保存失败，请重试,"Save failed. Please try again"
（如需要）,"(If needed)"
账户余额,"Account Balance"
货币单位,"Currency Unit"
账户设置,"Account settings"
连接状态,"Connection Status"
启用代理,"Enable proxy"
代理类型,"Proxy type"
代理地址,"Proxy address"
端口,Port
用户名（可选）,"Username (optional)"
密码（可选）,"Password (optional)"
测试连接,"Test connection"
某些供应商可能需要,"Some vendors may require"
自定义API端点，例如使用代理服务或私有部署,"Custom API endpoint, e.g., using a proxy service or private deployment"
美元,"US Dollar"
人民币,RMB
欧元,Euro
只有设置为默认的账户才能被模型调用,"Only the account set as default can be called by the model"
已连接,Connected
最后测试,"Last Test"
已设置,Set
返回的测试图片,"Returned Test Image"
使用的测试模型,"Test model used"
模态,Modal
响应,Response
请求地址,"Request address"
"基础 URL","Base URL"
测试中...,Testing...
连接测试成功,"Connection test successful"
测试失败，请重试,"Test failed, please retry"
行业标签,"Industry Tags"
匹配关键词,"Match Keywords"
视觉关键词,"Visual Keywords"
布局模式,"Layout Patterns"
图片策略,"Image Strategy"
禁用模式,"Forbidden Patterns"
质检规则,"QA Rules"
"颜色系统 JSON","Color System JSON"
"区块规则 JSON","Block Rules JSON"
"示例引用 JSON","Example References JSON"
确认组件不可用，请刷新页面后重试。,"Confirm that the component is unavailable, please refresh the page and try again."
默认,default
个风格,styles
风格目录加载失败,"Style catalog load failed"
没有风格符合当前筛选。,"No styles match the current filters."
新建自定义风格,"New Custom Style"
风格详情,"Style Detail"
（新建自定义风格）,"(new custom style)"
未命名风格,"Untitled style"
默认绑定,"Default Binding"
此风格由适配器代码声明为默认绑定，不能在这里解绑。,"This style is declared as a default binding by adapter code and cannot be unbound here."
此风格已手动绑定到当前适配器，可以移除此手动绑定。,"This style is manually bound to the current adapter. You can remove this manual binding."
将此风格作为当前适配器的长期手动风格。,"Bind this style as the long-term manual style for the current adapter."
正在克隆...,Cloning...
已克隆为自定义风格。,"Cloned as a custom style."
克隆失败,"Clone failed"
正在删除...,Deleting...
已删除。,Deleted.
确定要删除自定义风格“%{1}”吗？此操作不可恢复。,"Delete custom style “%{1}”? This action cannot be undone."
删除风格,"Delete Style"
确定删除,"Confirm deletion"
正在绑定风格...,"Binding style..."
风格已绑定到适配器。,"Style bound to adapter."
风格,Style
"AI 风格","AI Style"
管理模块、自定义、匹配和适配器绑定的视觉风格方向。,"Manage module, custom, matching, and adapter-bound visual style directions."
"代码 / 名称 / 关键词","Code / name / keyword"
"模块 / 系统 / 内置","Module / System / Builtin"
风格目录,"Style Catalog"
正在加载风格目录...,"Loading style catalog..."
从目录选择一个风格，或新建自定义风格。,"Select a style from the catalog, or create a custom style."
风格代码,"Style Code"
可读的风格名称,"Human-readable style name"
这个风格应该指导什么,"What should this style guide?"
"每行一个项目，或 JSON 数组","One item per line, or a JSON array"
"CTA 风格","CTA Style"
补充提示词,"Supplemental Prompt"
自定义风格必须包含结构化字段，不能只填写补充说明。,"Custom styles must include structured fields and cannot only contain supplemental notes."
克隆为自定义,"Clone as Custom"
删除,delete
智能体目录加载失败,"Failed to load agent catalog"
没有智能体符合当前筛选。,"No agents match the current filter."
智能体详情,"Agent Detail"
确定要扫描智能体吗？这将发现所有模块中的智能体并更新数据库记录，不会覆盖人工描述与启停。,"Scan agents now? This discovers agents from all modules and updates database records without overwriting description overrides or enablement."
扫描智能体,"Scan agents"
确定扫描,"Confirm scan"
源描述（只读）,"Source description (read-only)"
留空则回退为源描述,"Leave empty to fall back to the source description"
启用智能体,"Enable agent"
禁用智能体,"Disable agent"
启用工具,"Enable tool"
禁用工具,"Disable tool"
保存覆盖,"Save override"
未命名智能体,"Untitled agent"
该智能体尚未注册工具。,"This agent has no registered tools yet."
"AI 智能体","AI Agents"
管理已注册智能体、描述覆盖与工具启停。不能在后台新建智能体。,"Manage registered agents, description overrides, and tool enablement. Custom agents cannot be created in admin."
智能体目录,"Agent Catalog"
"代码 / 名称 / 模块 / 场景","Code / name / module / scenario"
智能体,Agent
模块,module
工具,tool
源名称（只读）,"Source name (read-only)"
名称覆盖,"Name override"
留空则回退为源名称,"Leave empty to fall back to the source name"
描述覆盖,"Description override"
场景,Scene
从目录选择一个智能体查看详情。,"Select an agent from the catalog to view details."
适配器说明,"Adapter Description"
适配器,Adapter
"用于不同业务场景调用 AI（如翻译、摘要、文章生成等）。每个适配器可设置默认模型，调用时会优先使用该模型；若未设置，则使用系统默认模型。","Used for invoking AI in different business scenarios (e.g., translation, summarization, article generation, etc.). Each adapter can set a default model; the call will prioritize this model; if not set, the system default model will be used."
"使用流程：先在「模型」Tab 配置并启用模型，在「供应商账户」Tab 添加并激活账户；再在本页为各适配器设置默认模型，并激活需要使用的适配器。","Workflow: First, configure and enable models in the ""Models"" tab, then add and activate accounts in the ""Provider Accounts"" tab; then, on this page, set the default model for each adapter and activate the adapters you need."
总适配器,"Total Adapters"
已激活,Activated
未激活,"Not activated"
扫描适配器,"Scan adapters"
适配器列表,"Adapter List"
清理无效,"Clean up invalid"
已选择,Selected
项,Item
批量配置模型绑定,"Batch configure model binding"
批量激活,"Batch activation"
批量禁用,"Batch disable"
批量删除,"Batch delete"
取消选择,"Cancel Selection"
模型绑定,"Model binding"
没有匹配的适配器,"No matching adapter"
暂无场景适配器,"No scene adapters"
"请点击""扫描适配器""按钮来扫描和收集适配器。","Please click the ""Scan Adapters"" button to scan and collect adapters."
配置模型绑定,"Configuration model binding"
为适配器分别绑定文本推理、文生图、文生视频模型；请先选供应商再搜索模型。留空表示该能力不启用。,"Bind text reasoning, Vincentian graph, and Vincentian video models to the adapter respectively; please select the supplier first and then search for the model. Leave blank to disable this capability."
未关联可用供应商账户的模型会标注「未关联账户」，请优先选择已关联账户的供应商与模型。,"Models that are not associated with available supplier accounts will be marked ""Unlinked Account"". Please give priority to suppliers and models that have linked accounts."
文本推理模型,"Text reasoning model"
不启用,"Not enabled"
文生图模型,"Text-to-image model"
文生视频模型,"Text-to-video model"
保存绑定,"Save binding"
搜索代码、名称、描述、模型绑定,"Search code, name, description, model binding"
未配置,"Not configured"
文本,text
图片,picture
视频,video
搜索模型名称或代码…,"Search model name or code…"
确定要扫描场景适配器吗？这将发现所有模块中的适配器并更新数据库记录。,"Are you sure you want to scan scene adapters? This will discover adapters in all modules and update database records."
确定要切换此适配器的状态吗？,"Are you sure you want to toggle the status of this adapter?"
切换状态,"Switch Status"
确定要删除此适配器吗？此操作不可恢复。,"Are you sure you want to delete this adapter? This action cannot be undone."
删除适配器,"Delete adapter"
请先选择要删除的适配器,"Please select the adapter to delete first"
确定要删除选中的,"Are you sure you want to delete the selected"
个适配器吗？此操作不可恢复。,"An adapter? This operation is irreversible."
请先选择要操作的适配器,"Please select the adapter to operate on first"
确定要,"Are you sure?"
选中的,Selected
个适配器吗？,"An adapter?"
批量,Batch
确定要清理无效的适配器吗？这将删除代码文件已不存在的适配器记录。,"Are you sure you want to clear invalid adapters? This will delete adapter records whose code files no longer exist."
清理无效适配器,"Clean up invalid adapters"
确定清理,"Confirm cleanup"
（未关联账户）,"(Account not linked)"
未知供应商,"Unknown supplier"
"· 未关联账户","· Unlinked account"
（当前绑定，不在筛选结果中）,"(Current binding, not in the filter results)"
基本信息,"Basic Information"
适配器ID,"Adapter ID"
适配器代码,"Adapter code"
适配器名称,"Adapter name"
类名,"Class name"
支持的模型类型,"Supported model types"
参数模板,"Parameter template"
是,yes
否,no
使用示例,"Usage example"
示例,Example
运行时信息,"Runtime information"
实例类名,"Instance class name"
运行时版本,"Runtime version"
时间信息,"Time information"
创建时间,"creation time"
更新时间,"Update time"
适配器详情,"Adapter Details"
实例信息,"Instance Information"
确认切换状态,"Confirm switch status"
确定要切换适配器状态吗？,"Are you sure you want to switch the adapter status?"
确定切换,"Confirm switch"
状态已切换,"Status Toggled"
未知错误,"Unknown error"
请稍后重试,"Please try again later"
保存成功！,"Save successful!"
保存失败：,"Save failed:"
确定要保存所有默认模型配置吗？,"Are you sure you want to save all default model configurations?"
将保存当前表格中的全部默认模型配置。,"All default model configurations in the current table will be saved."
正在保存所有配置，请稍候...,"Saving all configurations, please wait..."
所有默认模型配置已成功保存！,"All default model configurations have been saved successfully!"
确定要清除默认模型缓存吗？,"Are you sure you want to clear the default model cache?"
此操作将刷新默认模型配置缓存。,"This operation will refresh the default model configuration cache."
默认模型缓存已成功清除。,"Default Model Cache Successfully Cleared."
确定要初始化所有默认模型配置吗？,"Are you sure you want to initialize all default model configurations?"
此操作将重置所有服务类型的默认模型为系统推荐配置。,"This operation will reset the default model for all service types to the system-recommended configuration."
默认配置已成功初始化。,"Default Configuration Successfully Initialized."
暂无受保护的模型,"No protected models"
"为每种 AI 服务能力选择系统默认模型","Select system default model for each AI service capability"
默认模型用于未显式指定模型的请求；每种服务类型只能设置一个默认模型。,"The default model is used for requests that do not explicitly specify a model; only one default model can be set per service type."
服务类型,"Service Type"
默认模型,"Default model"
优先级,priority
保存全部,"Save all"
受保护的模型,"Protected model"
正在作为默认值使用的模型不可删除。,"A model that is being used as a default cannot be deleted."
"AI 管理","AI management"
本地供应商,"Local supplier"
面包屑,Breadcrumb
模型启用指南,"Model Enable Guide"
先添加供应商账户,"First, add a supplier account"
添加账户,"Add Account"
测试通过后才能激活账户,"Account can only be activated after passing the test"
快速选择模型,"Quick Model Selection"
列表精简,"List Compact"
个模型,"A model"
批量测试,"Batch testing"
筛选条件,"Screening criteria"
模型列表,"Model list"
"暂无已选择模型，请点击“选择模型”，选择供应商和模型后填写 API Key 保存。","No model selected. Please click ""Select Model"", choose a provider and model, then fill in the API Key and save."
复制,copy
原始,Original
输入,Input
输出,Output
已自配置,Self-configured
未自配置,Unconfigured
自配置连通,"self-configuring connectivity"
通过,pass
无配置,"No configuration"
供应商连通,"Supplier Connectivity"
第,No.
"页 / 共","Page / Total"
页,Page
AI模型,"AI model"
模型名称或代码,"Model name or code"
未命名账户,"Unnamed account"
供应商连通性未通过,"Vendor connectivity failed"
自配置连通性未通过,"Self-configured connectivity failed"
停用,deactivate
无法激活,"Unable to activate"
自定义模型,"Custom Model"
本地/自定义供应商,"Local/Custom Supplier"
已配置自配置密钥,"Self-configuration key has been configured."
未配置自配置密钥,"Self-configuration key is not configured."
自配置连通性测试通过,"Self-configuration connectivity test passed"
自配置连通性测试失败,"Self-configured connectivity test failed."
自配置连通性待测试,"Self-configuration connectivity to be tested."
无自配置,"No self-configuration"
供应商连通性测试通过,"Supplier connectivity test passed."
供应商连通性测试失败,"Supplier connectivity test failed."
供应商连通性待测试,"Supplier connectivity pending testing."
模型操作,"Model operations"
连通测试,"Connectivity test"
自配置连通测试,"Self-configuration connectivity test"
受保护模型不能删除,"Protected models cannot be deleted"
请先选择要激活的模型,"Please select the model you wish to activate first."
确定要激活选中的模型吗？,"Are you sure you want to activate the selected model?"
请先选择要禁用的模型,"Please select the model you wish to disable first."
确定要禁用选中的模型吗？,"Are you sure you want to disable the selected models?"
请先选择要删除的模型,"Please select the model you wish to delete first."
选中的模型均受保护；只有复制模型或自定义模型可以删除,"Selected models are protected; only copied or customized models can be deleted"
确定要删除选中的可删除模型吗？此操作不可恢复。,"Are you sure you want to delete the selected deletable model? This operation is irreversible."
已跳过,skipped
个受保护模型,"protected models"
删除失败，请重试,"Deletion failed, please try again."
请先选择要测试的模型,"Please select the model to test first."
测试失败,"Test failed"
请求失败,"Request failed"
受保护模型不能删除，只能删除复制模型或自定义模型,"Protected models cannot be deleted; only copied or custom models can be deleted"
确定要删除模型,"Are you sure you want to delete the model?"
吗？,?
删除失败:,"Deletion failed:"
错误,Error
操作失败，请重试,"Operation failed, please try again"
连通测试成功,"Connectivity test successful"
连通测试失败,"Connectivity test failed"
自配置结果,"Self-configuration results"
未配置，未执行,"Not configured, not executed"
消息,information
说明,illustrate
供应商账户结果,"Supplier Account Results"
未测,"Not measured"
账户,Account
连通测试结果,"Connectivity test results"
正在测试连通性...,"Testing connectivity..."
"请稍候，正在连接 AI 服务","Please wait, connecting to the AI ​​service"
正在测试自配置连通性...,"Testing self-configuring connectivity..."
请稍候，正在验证模型自配置,"Please wait, the model self-configuration is being verified."
自配置连通测试成功,"Self-configuration connectivity test successful"
响应时间,"response time"
响应内容,"Response content"
自配置连通测试失败,"Self-configuration connectivity test failed"
测试图片,"test picture"
重试,Retry
条件不足,"Insufficient conditions"
复制模型,"Copy model"
"您正在复制模型: <strong>%{1}</strong>","You are copying the model: <strong>%{1}</strong>"
复制的模型将继承原始模型的所有配置，您可以在复制后修改其配置。,"The copied model will inherit all configurations of the original model, and you can modify its configurations after copying."
原始模型信息,"Original model information"
模型代码,"model code"
模型版本,"Model version"
新模型配置,"New model configuration"
模型名称,"Model name"
副本,Replica
请输入新模型的名称,"Please enter the name of the new model"
自定义名称用于区分不同配置,"Custom names are used to distinguish between different configurations."
唯一标识符，建议添加后缀,"Unique identifier, it is recommended to add a suffix"
输入新的API密钥,"Enter a new API key"
留空则使用原配置,"Leave blank to use the original configuration."
API地址,"API address"
输入新的API地址,"Enter a new API address"
温度参数,"Temperature parameter"
最大令牌数,"Maximum token count"
"Top P","Top P"
注意：,Note:
"复制的模型将自动标记为""复制模型""状态","The copied model will be automatically marked as ""Copy Model"" status."
复制的模型不会被设置为默认模型,"The copied model will not be set as the default model."
您可以在复制后修改其API配置、定价和代理设置,"You can modify its API configuration, pricing, and proxy settings after copying."
复制模型可以删除，但原始模型不能删除,"The copy model can be deleted, but the original model cannot be deleted."
确认复制,"Confirm copy"
格式错误,"Format error"
模型代码只能包含字母、数字、点号(.)、下划线(_)和中划线(-),"Model code can only contain letters, numbers, dots (.), underscores (_), and hyphens (-)"
复制中...,Copying...
复制成功,"Copied successfully"
模型已成功复制,"Model copied successfully"
复制失败,"Copy failed"
编辑模型,"Edit Model"
新建模型,"New model"
模型新增方式,"How to add a new model"
快速新增,"Quickly add"
手动配置,"Manual configuration"
常用模型快速新增,"Quick add common models"
选择供应商,"Select Supplier"
先选供应商，减少模型列表干扰。,"First, select a supplier to reduce model list clutter."
先选择供应商,"First, select a supplier"
选择用于此模型的账户后，才能加载模型列表。,"The model list cannot be loaded until the account used for this model is selected."
搜索模型...,"Search for models..."
"自动填充模型代码、Base URL、最大输出和价格参数。","Auto-fill Model Code, Base URL, Max Output, and Price Parameters."
账户配置,"Account configuration"
使用所选账户,"Use selected account"
"快速新增固定绑定所选账户；手动配置可使用独立 API Key。","Quickly add a fixed binding to the selected account; manual configuration can use an independent API Key."
基础信息,"Basic Info"
原始模型基本信息不可修改,"The basic information of the original model cannot be modified."
请选择或搜索供应商...,"Select or search provider..."
快速新建供应商账户,"Quickly Create Supplier Account"
新建账户,"New Account"
"AI 模型的提供商","Provider of AI models"
使用默认账户,"Use default account"
留空使用默认账户，或选择指定账户,"Leave blank to use the default account, or select a specific account"
例如：gpt-3.5-turbo,"For example: gpt-3.5-turbo"
模型的唯一标识符,"The unique identifier of the model"
供应商模型代码,"Supplier Model Code"
留空默认使用模型代码,"Leave blank to use the model code by default"
"用于映射供应商真实模型 code，切换供应商时会按此值做支持校验","Used to map the supplier's real model code; when switching suppliers, this value is used for compatibility validation"
"例如：GPT-3.5 Turbo","For example: GPT-3.5 Turbo"
模型的显示名称,"Model Display Name"
版本号,"Version number"
例如：1.0,"For example: 1.0"
模型的版本号,"Model version number"
拷贝模型,"Copy model"
"原始模型ID: %{1}","Original Model ID: %{1}"
提供商配置,"Provider Configuration"
可选,Optional
配置JSON,"Configure JSON"
JSON格式的提供商特定配置。所有字段都可自定义，预置值仅供参考。,"Provider-specific configuration in JSON format. All fields are customizable, preset values are for reference only."
技术参数,"Technical parameters"
模型支持的最大令牌数,"The maximum number of tokens supported by the model."
每令牌成本,"Cost per token"
按供应商官方价格自动填充,"Auto-fill based on vendor official price"
每1000个令牌的成本；常用模型会按供应商官方币种自动填充,"Cost per 1000 tokens; common models auto-fill with the vendor's official currency"
配置参数,"Configuration parameters"
Temperature,Temperature
"控制输出随机性 (0.0 - 2.0)","Control output randomness (0.0 - 2.0)"
"核采样参数 (0.0 - 1.0)","Nuclear sampling parameter (0.0 - 1.0)"
流式输出,"Streaming output"
启用流式输出，实时返回生成的内容,"Enable streaming output to return generated content in real-time."
超时时间（秒）,"Timeout (seconds)"
API请求超时时间，0表示不限制，默认900秒,"API request timeout, 0 means no limit, default is 900 seconds"
状态管理,"State Management"
已弃用,Deprecated
维护中,"Under maintenance"
模型的当前状态,"The current state of the model"
模型测试,"Model testing"
测试模型,"Testing model"
使用当前模型,"Using current model"
"可从当前供应商账户支持的 models 接口中选择测试模型。","You can select a test model from the models interface supported by the current provider account."
测试提示词,"Test prompt"
"例如: 你好，请介绍一下你自己","Hello, please introduce yourself."
开始测试,"Start testing"
测试结果,"Test results"
耗时：,"time consuming:"
消息：,information:
自配置,"Custom Configuration"
成功!,success!
失败!,fail!
网络错误!,"Network error!"
"models 接口不可用，请手动输入模型。","The models interface is not available, please enter the model manually."
手动输入模型,"Manually enter the model"
选择供应商模型,"Choose a supplier model"
"已从供应商 models 接口加载。","Loaded from vendor models interface."
只能选择当前供应商账户返回的模型。,"Only models returned by the current supplier account can be selected."
"models 接口请求失败，请手动输入模型。","The models interface request failed, please enter the model manually."
"models 接口请求失败，测试将使用当前模型。","The models interface request failed and the test will use the current model."
请先选择供应商账户,"Please select a supplier account first"
正在加载供应商模型...,"Loading supplier model..."
无法加载供应商模型,"Unable to load supplier model"
"models 接口请求失败","Models interface request failed"
"models 接口返回了空列表","The models interface returned an empty list"
选择供应商账户,"Select supplier account"
账户加载失败,"Account loading failed"
选择账户或使用自配置,"Select Account or Use Self-Configuration"
当前供应商没有可选账户,"The current supplier does not have an optional account"
快速新增请按顺序选择供应商、供应商账户和模型,"To quickly add, please select the supplier, supplier account and model in order"
提供商配置JSON格式错误，请检查语法,"Provider configuration JSON format is incorrect, please check the syntax."
模型已成功保存,"Model saved successfully"
请输入测试提示词,"Please enter a test prompt"
"编辑模型: %{1}","Edit model: %{1}"
编辑,edit
先选供应商，模型列表只显示该供应商可用模型。,"First, select a supplier, and the model list will only show models available from that supplier."
选择账户后才可加载并绑定模型。,"The model can be loaded and bound only after selecting an account."
"选择后自动填充模型代码、Base URL、最大输出和价格。","After selection, the model code, Base URL, max output, and price will be auto-filled."
快速新增会固定绑定所选账户。,"Quick addition will be permanently bound to the selected account."
"高级字段已自动处理；如需手动改 Base URL、代理或 JSON，保存后再进入编辑。","Advanced fields have been auto-processed; to manually modify Base URL, proxy, or JSON, save first then edit."
（原始模型基本信息不可修改）,"(The basic information of the original model cannot be modified)"
"例如: OpenAI, Google, Anthropic","For example: OpenAI, Google, Anthropic"
AI模型供应商名称（不可修改）,"AI Model Supplier Name (Not Modifiable)"
AI模型供应商名称,"AI model supplier name"
"例如: gpt-4, claude-3","For example: gpt-4, claude-3"
模型唯一标识代码（不可修改）,"Model Unique Identification Code (non-modifiable)"
模型唯一标识代码,"Model unique identification code"
"例如: GPT-4 Turbo","For example: GPT-4 Turbo"
模型显示名称,"Model display name"
"例如: 1.0, 2.5","For example: 1.0, 2.5"
模型版本号（不可修改）,"Model version number (not editable)"
模型版本号,"Model version number"
API配置,"API Configuration"
输入API密钥,"Enter API key"
API访问密钥,"API access key"
"例如: https://api.openai.com/v1","For example: https://api.openai.com/v1"
API基础URL,"API Base URL"
"温度系数 (Temperature)","Temperature coefficient (Temperature)"
控制输出随机性，0-2之间,"Control the randomness of the output, between 0 and 2."
最大Token数,"Maximum Token Count"
最大生成token数量,"Maximum token generation count"
核采样参数，0-1之间,"Nuclear sampling parameter, between 0 and 1"
"频率惩罚 (Frequency Penalty)","Frequency Penalty"
降低重复词汇，-2到2之间,"Reduce repetitive vocabulary, between -2 and 2."
"存在惩罚 (Presence Penalty)","Presence Penalty"
鼓励新话题，-2到2之间,"Encourage new topics, between -2 and 2."
启用流式输出,"Enable streaming output"
实时返回生成内容,"Return generated content in real time"
输入Token价格,"Input Token Price"
每1000个输入token的价格,"The price per 1000 input tokens"
输出Token价格,"Output Token Price"
每1000个输出token的价格,"Price per 1000 output tokens"
代理配置,"Proxy configuration"
代理主机,"Proxy host"
"例如: proxy.example.com","For example: proxy.example.com"
代理服务器地址,"Proxy server address"
代理端口,"Agent port"
"例如: 8080","For example: 8080"
代理服务器端口,"Proxy server port"
代理用户名,"Proxy username"
如需认证请填写,"If certification is required, please fill in."
代理认证用户名（可选）,"Proxy authentication username (optional)"
代理密码,"Proxy password"
代理认证密码（可选）,"Proxy authentication password (optional)"
状态设置,"Status setting"
启用此模型,"Enable this model"
只有启用的模型才能被使用,"Only enabled models can be used."
设为默认模型,"Set as default model"
默认模型将在未指定模型时使用,"The default model will be used when no model is specified."
输入测试提示词，点击测试按钮查看响应结果,"Enter the test prompt and click the test button to view the response result."
请填写必填项：供应商、模型代码、模型名称,"Please fill in the required fields: Supplier, Model Code, Model Name"
模型ID,"Model ID"
类型,type
原始模型,"Original model"
代理信息,"Agent Information"
用户名,Username
"此模型是从原始模型 ID: %{1} 复制而来","This model was copied from the original model ID: %{1}"
模型配置,"Model configuration"
确定要测试此模型的连接吗？,"Are you sure you want to test the connection of this model?"
测试返回图片,"Test return image"
添加本地供应商,"Add local supplier"
本地供应商列表,"Local supplier list"
"用于登记本机或内网 OpenAI 兼容服务（Ollama / LM Studio / vLLM 等）。可在表单内直接添加模型并测试连通性；保存时会自动创建本地账户并写入模型库。","Used to register local or intranet OpenAI compatible services (Ollama / LM Studio / vLLM, etc.). You can add models directly in the form and test connectivity; when saving, a local account will be automatically created and written to the model library."
刷新,refresh
加载中…,loading…
暂无本地供应商，请点击「添加本地供应商」,"There is currently no local supplier, please click ""Add local supplier"""
"Base URL","Base URL"
一键测试,"One-click test"
连通性测试失败,"Connectivity test failed"
确认删除该本地供应商？,"Are you sure you want to delete this local provider?"
供应商代码,"supplier code"
显示名称,"Display name"
"默认 Base URL","Default Base URL"
默认测试模型,"Default test model"
测试连通性,"Test connectivity"
快捷预设（可改）,"Quick preset (can be changed)"
小写字母/数字/下划线，创建后不可改,"Lowercase letters/numbers/underscores, cannot be changed after creation"
可与下方模型列表联动；保存时若为空会取列表第一项,"Can be linked with the model list below; if it is empty when saving, the first item in the list will be taken"
本供应商模型,"This supplier model"
在此快速登记模型代码；保存时一并写入模型库，并自动创建本地账户。,"Quickly register the model code here; when saving, it will be written to the model library and a local account will be automatically created."
添加模型,"Add model"
"暂无模型，点击「添加模型」填写本机模型名（如 llama3.2）","There is no model yet, click ""Add Model"" to fill in the local model name (such as llama3.2)"
已测通,Tested
未测试,"Not tested"
可选，默认用模型代码,"Optional, model code is used by default"
测试,test
移除,Remove
"请先填写 Base URL","Please fill in the Base URL first"
请填写要测试的模型代码,"Please fill in the model code to be tested"
提示：先选供应商，再搜索并点击选择模型,"Tip: Select the supplier first, then search and click to select the model"
"模型不存在: %{code}","Model does not exist: %{code}"
"模型 %{code} 缺少API密钥配置","Model %{code} is missing API key configuration"
"模型 %{code} 缺少API基础URL配置","Model %{code} is missing API base URL configuration"
"模型 ""%{1}"" 的供应商未实现图片生成接口","The vendor of model ""%{1}"" does not implement the image generation interface"
"指定的模型 ""%{1}"" 不存在","The specified model ""%{1}"" does not exist"
"指定的模型 ""%{1}"" 未激活","The specified model ""%{1}"" is not activated"
"场景适配器 ""%{1}"" 的默认模型 ""%{2}"" 不存在，请到模型列表中添加或到场景适配器管理中更换默认模型","The default model ""%{2}"" for scene adapter ""%{1}"" does not exist. Please add it to the model list or change the default model in scene adapter management."
"场景适配器 ""%{1}"" 的默认模型 ""%{2}"" 未激活，请在模型列表中激活该模型","The default model ""%{2}"" for scene adapter ""%{1}"" is not activated. Please activate it in the model list."
"场景 ""%{1}"" 未配置默认模型（可在「场景适配器」中为该适配器设置默认模型，或在「默认模型配置」中配置）","Scene ""%{1}"" has no default model configured (you can set a default model for this adapter in ""Scene Adapter"" or configure it in ""Default Model Configuration"")."
"场景 ""%{1}"" 的默认模型 ""%{2}"" 不存在","The default model ""%{2}"" for scene ""%{1}"" does not exist."
"场景 ""%{1}"" 的默认模型 ""%{2}"" 未激活","The default model ""%{2}"" for scene ""%{1}"" is not activated."
未配置全局默认模型,"Global default model not configured"
"全局默认模型 ""%{1}"" 不存在","Global Default Model ""%{1}"" Does Not Exist"
"全局默认模型 ""%{1}"" 未激活","Global Default Model ""%{1}"" Is Not Active"
系统中没有已激活的默认模型,"There is no activated default model in the system"
系统中没有任何已激活的AI模型,"There are no activated AI models in the system"
无法选择合适的AI模型，请检查模型配置,"Unable to select a suitable AI model, please check the model configuration"
配置默认模型,"Default configuration model"
无法选择合适的AI模型。原因：%{1},"Unable to select a suitable AI model. Reason: %{1}"
"场景适配器不存在: %{code}","Scenario adapter does not exist: %{code}"
没有满足条件的%{provider}供应商账户（需激活）,"No %{provider} provider account meets the conditions (needs to be activated)"
没有满足条件的%{provider}供应商账户（需激活、连通成功）,"There is no %{provider} supplier account that meets the conditions (needs activation and successful connection)"
没有满足条件的%{provider}供应商账户（需激活、连通成功且余额>0）,"No %{provider} provider account meets the conditions (needs to be activated, connection successful and balance > 0)"
智能体不存在：%{1},"Agent does not exist: %{1}"
"不支持的供应商: %{provider}","Unsupported provider: %{provider}"
供应商未配置测试模型,"Supplier has no test model configured"
"连接测试失败: %{msg}","Connection test failed: %{msg}"
无法自动创建供应商测试模型：%{1},"Unable to automatically create vendor test model: %{1}"
"API key is required for image generation.","API key is required for image generation."
供应商代码过长,"Supplier code is too long"
"供应商代码已被内置供应商占用: %{1}","The supplier code is already occupied by a built-in supplier: %{1}"
"供应商代码已存在: %{1}","Supplier code already exists: %{1}"
请输入显示名称,"Please enter a display name"
"请输入默认 Base URL","Please enter the default Base URL"
"本期仅支持 openai_compat 驱动","This issue only supports openai_compat driver"
"模型代码重复: %{1}","Duplicate model code: %{1}"
模型不属于当前供应商,"Model does not belong to current vendor"
"模型代码已被其他供应商占用: %{1}（%{2}）","The model code is already taken by another vendor: %{1} (%{2})"
"无法删除：仍有 %{1} 个账户、%{2} 个模型引用该供应商，请先解绑。","Unable to delete: There are still %{1} accounts and %{2} models referencing this supplier, please unbind it first."
"供应商 %{1} 未配置模型列表接口","Supplier %{1} has no model list API configured"
"供应商 %{1} 缺少可用API Key，无法同步模型列表","Supplier %{1} lacks an available API Key, unable to sync model list"
"供应商 %{1} 未配置 base_url","Supplier %{1} has no base_url configured"
"供应商 %{1} 获取模型失败: %{2}","Failed to get models from supplier %{1}: %{2}"
"供应商 %{1} 返回模型列表为空","Supplier %{1} returned an empty model list"
"未配置API Key，使用已有模型列表完成同步","API Key not configured, syncing using existing model list"
模型列表请求失败,"Model list request failed"
"模型列表请求失败，HTTP状态码: %{1}","Model list request failed, HTTP status code: %{1}"
"模型列表响应解析失败: %{1}","Failed to parse model list response: %{1}"
