阿里云域名,"Alibaba Cloud Domain"
"开始 DNS/CDN 切换，共 %{1} 个域名","Starting DNS/CDN switch for %{1} domains"
"[DnsSwitchSSE] 开始切换，domain_ids=%{1}, target=%{2}","[DnsSwitchSSE] Start switching, domain_ids=%{1}, target=%{2}"
目标账户验证通过：%{1}(%{2}),"Target account verified: %{1}(%{2})"
已是该账户且切换已完成，跳过,"Already on this account and cutover complete, skipped"
"[DnsSwitchSSE] 开始处理 %{1}（%{2}/%{3}）","[DnsSwitchSSE] Start processing %{1} (%{2}/%{3})"
"域名 %{1} 切换完成","Domain %{1} switch completed."
"[DnsSwitchSSE] %{1} 切换完成","[DnsSwitchSSE] %{1} Switch completed"
"[DnsSwitchSSE] %{1} 切换失败：%{2}","[DnsSwitchSSE] %{1} Switch failed: %{2}"
"全部完成：成功 %{1}，跳过 %{2}，失败 %{3}","All Completed: Succeeded %{1}, Skipped %{2}, Failed %{3}"
"[DnsSwitchSSE] 全部完成：success=%{1}, skipped=%{2}, failed=%{3}","[DnsSwitchSSE] All completed: success=%{1}, skipped=%{2}, failed=%{3}"
"[DnsSwitchSSE] 致命异常：%{1}","[DnsSwitchSSE] Fatal exception: %{1}"
请选择要取消拉取的域名,"Please select the domain to cancel pulling"
"批量取消拉取完成：删除 %{1} 个根域，%{2} 个域名池记录，%{3} 条 DNS 记录","Batch cancel pull completed: deleted %{1} root domains, %{2} domain pool records, %{3} DNS records"
批量取消拉取失败：%{1},"Batch cancel pull failed: %{1}"
该账户下没有已同步的域名,"No synchronized domains under this account"
"取消拉取完成：删除 %{1} 个根域，%{2} 个域名池记录，%{3} 条 DNS 记录","Cancel pull completed: deleted %{1} root domains, %{2} domain pool records, %{3} DNS records"
"（跳过 %{1} 个：正在被网站使用，请先删除相关网站或解除绑定）","(Skipping %{1}: currently in use by a website. Please delete the related website or unbind it first)"
取消拉取失败：%{1},"Cancel pull failed: %{1}"
请输入域名,"Please enter domains"
无法解析根域名，请检查输入,"Unable to resolve the root domain, please check the input"
后台手动添加：%{1},"Backend Manual Addition: %{1}"
"HTTPS 前置校验失败，请先确认根域下所有域名都已指向本机并可访问","HTTPS pre-verification failed, please confirm that all domain names under the root domain are pointing to this machine and accessible"
证书申请失败,"Certificate Application Failed"
请提供有效的证书内容,"Please provide valid certificate content"
证书导入失败,"Certificate Import Failed"
域名创建成功,"Domain created successfully"
新建域名失败：%{1},"Failed to Create Domain: %{1}"
根域下无可检测域名,"No detectable domains under root domain"
可达性校验失败,"Accessibility check failed"
以下域名未通过可达性校验：%{1},"The following domains failed reachability verification: %{1}"
根域下全部域名可达性校验通过,"All domain reachability under root domain passed validation"
请上传证书文件或粘贴证书内容,"Please upload the certificate file or paste the certificate content"
"没有需要清理的 DNS 服务商域名","No DNS provider domains to clean up"
"清理完成：共删除 %{1} 个误同步的域名（来自 %{2} 个 DNS 服务商账户）","Cleanup Complete: Deleted %{1} incorrectly synced domains (from %{2} DNS provider accounts)"
请至少选择一个域名,"Please select at least one domain"
"该域名根路径已被站点「%{1}」使用，请使用子路径（如 /shop）","The domain root path is already used by site 「%{1}」. Please use a subpath (e.g. /shop)"
"该地址 %{1} 已被站点「%{2}」使用","The address %{1} is already used by site 「%{2}」"
网站保存失败，未能获取网站ID,"Failed to save site, unable to retrieve site ID"
网站添加成功,"Website added successfully"
"网站添加失败: %{1}","Failed to add site: %{1}"
网站ID不能为空,"Site ID cannot be empty"
网站不存在,"Site does not exist"
"保存关联货币失败: %{1}","Failed to save associated currency: %{1}"
"保存关联语言失败: %{1}","Failed to save associated language: %{1}"
网站更新成功,"Site updated successfully"
站点名称不能为空,"Site Name cannot be empty"
站点代码不能为空,"Site Code cannot be empty"
请填写网站地址或选择域名,"Fill in the website address or select a domain."
请至少填写一个网站地址（域名或域名/子路径）,"Please enter at least one website address (domain or domain/subpath)"
站点代码已存在,"Site Code already exists"
站点创建成功,"Site created successfully"
创建失败：,"Creation failed:"
默认网站不允许删除,"Default Website Cannot Be Deleted"
网站删除成功,"Site deleted successfully"
"网站删除失败: %{1}","Failed to delete site: %{1}"
当前语言没有对应语言包翻译，请前往i18n模块对%{1}语言的地区语言进行更新,"No language pack translation is available for the current language. Please go to the i18n module to update the regional language for the %{1} language."
"域名 %{1} 已存在于域名池中","Domain %{1} already exists in the domain pool"
"API 添加：%{1}","API added: %{1}"
子域名添加成功,"Subdomain added successfully"
添加失败：%{1},"Add Failed: %{1}"
"pool_id 不能为空","pool_id cannot be empty"
该域名正在被网站使用，无法删除,"This domain is in use by a website and cannot be deleted"
"解析正常，IP: %{1}","Parse Normal, IP: %{1}"
解析异常：%{1},"Parse Exception: %{1}"
检测失败：%{1},"Detection failed: %{1}"
"parent_domain_id 不能为空","parent_domain_id cannot be empty"
请选择域名商账号,"Select a registrar account"
跳过购买（使用已有域名）,"Skipped purchase (using existing domain)"
"开始购买域名: %{1}","Starting domain purchase: %{1}"
创建配置订单失败,"Failed to create configuration order"
配置失败,"Configuration failed"
"配置订单已创建，订单号: #%{1}","Configure order created, order number: #%{1}"
"域名购买成功，订单号: #%{1}","Domain purchase successful, order number: #%{1}"
"若需要切换 DNS 或 CDN，系统会在约 5–10 分钟内排队处理并同步记录；真正生效时间仍取决于服务商处理和 NS/缓存传播。","If you need to switch DNS or CDN, the system will queue and sync records within approximately 5–10 minutes; actual propagation time depends on the provider and NS/cache propagation."
"DNS/CDN 切换会由后续定时任务继续处理并同步记录；当前页面无需停留等待，但最终生效仍取决于服务商处理和 NS/缓存传播。","DNS/CDN switching will continue to be processed and recorded synchronously by subsequent scheduled tasks; the current page does not need to stay and wait, but the final effect still depends on service provider processing and NS/cache propagation."
验证域名解析...,"Verifying domain resolution..."
"服务器 IP: %{1}","Server IP: %{1}"
"域名解析成功: %{1} -> %{2}","Domain resolution successful: %{1} -> %{2}"
"等待 DNS 生效... (%{1}/6)","Waiting for DNS to take effect... (%{1}/6)"
"DNS 可能尚未生效，请稍后手动验证","DNS It may not have taken effect yet, please manually verify it later"
验证网站可访问性...,"Verifying website accessibility..."
网站可正常访问,"Site is accessible normally"
"网站暂时无法访问，DNS 可能仍在传播中","Site is temporarily inaccessible, DNS may still be propagating"
"开始申请 SSL 证书...","Start applying for SSL certificate..."
"SSL 证书申请成功","SSL certificate application successful"
"SSL 证书申请需要进一步验证","SSL certificate request requires further verification"
"跳过 SSL 证书申请","Skipped SSL certificate application"
一站式配置完成！,"One-stop configuration complete!"
"配置过程发生错误: %{1}","An error occurred during configuration: %{1}"
加载备份管理失败：%{1},"Failed to load backup management: %{1}"
无效的请求方法,"Invalid request method"
无效的网站ID,"Invalid website ID"
备份创建成功,"Backup created successfully"
备份创建失败：%{1},"Backup creation failed: %{1}"
加载维护模式失败：%{1},"Failed to load maintenance mode: %{1}"
维护模式状态已更新,"Maintenance mode status updated"
更新失败：%{1},"Update failed: %{1}"
全部,All
待处理,"To process"
购买中,Purchasing
DNS,DNS
CDN,CDN
SSL,SSL
已完成,Completed
失败,Failed
"AI 建站工作台","AI website building workbench"
网站服务,"Website Service"
"AI 建站工作区","AI website building workspace"
需要登录或会话令牌无效,"Login required or session token is invalid"
会话不存在或无访问权限,"Session Does Not Exist or No Access Permission"
参数无效,"Invalid parameter"
需要登录,"Login Required"
"Unknown or disabled provider: %{code}","Unknown or disabled provider: %{code}"
"Failed to create workspace: %{message}","Failed to create workspace: %{message}"
请先描述建站目标，或先输入偏好域名。,"Please describe the website goal first, or enter a preferred domain name."
"本地演示模式下，AI 找到可用域名：%{domain}","In local demo mode, AI found an available domain: %{domain}"
检测实时可用性前，请先选择服务商账号。,"Please select a service provider account before checking real-time availability."
请先输入目标域名。,"Please enter the target domain name first."
"本地测试域名 %{domain} 已强制通过可用性检查。","Local test domain %{domain} has been forced to pass availability check."
"本地演示模式下，域名 %{domain} 视为可用。","In local demo mode, domain %{domain} is considered available."
"暂未获取到域名 %{domain} 的可用性结果，请重试。","Availability result for domain %{domain} not yet obtained. Please try again."
"域名 %{domain} 当前可用。","Domain %{domain} is currently available."
"域名 %{domain} 当前不可用。","Domain %{domain} is currently unavailable."
"AI 服务未启用，无法执行智能域名推荐。","The AI ​​service is not enabled and cannot perform intelligent domain name recommendations."
"AI 正在分轮生成更长域名并实时检测可用性...","AI is generating longer domain names in rounds and detecting availability in real time..."
"第 %{round} 轮：AI 正在生成更长域名候选（最小长度 %{len}）","Round %{round}: AI is generating longer domain candidates (minimum length %{len})"
"开发环境模拟：已注入保底域名 %{domain}","Development environment simulation: Fallback domain %{domain} injected"
"第 %{round} 轮 AI 未产出有效候选，继续下一轮。","Round %{round}: AI did not produce valid candidates, proceeding to the next round."
"已检测 %{checked} 个候选域名","Detected %{checked} candidate domains"
"AI 找到可用域名：%{domain}","AI found available domain name: %{domain}"
在超时时间内未找到可用域名，请调整简报后重试。,"No available domain found within the timeout period. Please adjust the brief and try again."
更新阶段失败,"Update phase failed"
删除会话失败,"Failed to delete session"
最近会话已删除,"Recent session deleted"
正在根据简报自动生成虚拟主题...,"Auto-generating virtual themes from briefs..."
解析简报与页面类型,"Parse Brief and Page Type"
"AI 已返回主题草案","AI has returned to the draft topic"
"AI 生成失败，使用默认草案：%{message}","AI generation failed, using default draft: %{message}"
"未启用 AI 模块，使用默认草案","AI module not enabled, using default draft"
保存虚拟主题失败,"Failed to save virtual theme"
页面布局已入库,"Page layout stored in database"
"AI 组件已保存到虚拟主题","AI component saved to virtual theme"
虚拟主题已自动生成并入库,"Virtual theme has been auto-generated and stored in the database"
保存消息失败,"Failed to save message"
加入域名购买队列失败,"Failed to Join Domain Purchase Queue"
已加入域名购买队列,"Added to domain purchase queue"
已连接工作区事件流,"Connected to workspace event stream"
事件流已结束，可随时重连继续监听。,"Event stream ended, you can reconnect at any time to continue listening."
域名购买事件流已结束,"Domain purchase event flow ended"
域名购买事件流失败,"Domain purchase event flow failed"
"正在启动 AI 引导建站流程...","Starting AI-guided site building process..."
请先填写目标域名,"Please fill in the target domain first"
请先选择服务商账号,"Please select a service provider account first"
请先描述建站目标，或先提供一个域名,"Please describe the website goal first, or provide a domain name"
"请同时提供目标域名和服务商账号，或先启用 AI 模式。","Please provide both the target domain and the service provider account, or enable AI mode first."
建站流程已完成,"Site building process completed"
执行失败,"Execution failed"
引导建站流程发生意外失败,"Unexpected failure during guided site setup"
"AI is calling tool: %{name}","AI is calling tool: %{name}"
"Tool completed: %{name}","Tool completed: %{name}"
"AI 规划完成","AI planning completed"
"AI 执行失败","AI execution failed"
本地演示服务商推荐不可用,"Local Demo Service Provider Recommendation Unavailable"
本地演示：已理解需求简报,"Local demo: Requirement brief understood"
"Local demo: recommended registrar %{registrar}","Local demo: recommended registrar %{registrar}"
"Local demo: suggested domain %{domain}","Local demo: suggested domain %{domain}"
"本地演示：模拟可用性检测通过 %{domain}","Local demo: Simulated availability check passed %{domain}"
本地演示：已模拟域名购买并初始化基础资源,"Local demo: Domain purchase simulated and basic resources initialized"
"本地演示：已模拟 DNS 解析与证书签发","Local demo: DNS resolution and certificate issuance simulated"
本地演示：已生成页面结构与初始内容,"Local demo: Page structure and initial content generated"
本地演示：已生成主题方向与虚拟主题,"Local demo: Theme direction and virtual themes generated"
本地演示：已准备可视化编辑预览,"Local demo: Visual editing preview ready"
本地演示流程已完成,"Local demo process completed"
本地演示主账号,"Local Demo Primary Account"
本地演示服务商,"Local Demo Service Provider"
本地演示备用账号,"Local Demo Backup Account"
沙盒域名,"Sandbox domain"
"打开 PageBuilder 流程","Open PageBuilder Flow"
"打开 Websites 流程","Open Websites Flow"
打开服务商流程,"Open service provider flow"
样式流程,"Style process"
共享流程,"Shared Process"
服务商流程,"Service provider process"
准备,Ready
生成,Generate
完成,Completed
第一阶段,"Phase 1"
信息准备,"Information Preparation"
把建站描述、服务商选择、域名推荐与可用性确认一次整理完成。,"Complete the site description, service provider selection, domain recommendation, and availability confirmation in one go."
"AI 推荐","AI recommendation"
"AI 会先推荐可购买域名与服务商，人工确认后进入自动购买/解析/证书流程。","AI will first recommend purchasable domain names and service providers, and then enter the automatic purchase/resolution/certificate process after manual confirmation."
确认并进入页面生成,"Confirm and proceed to page generation"
先描述你要建设的网站目标,"First, describe the goal of the website you want to build"
"AI 推荐域名并检测可用性","AI recommends domain names and detects availability"
人工确认后自动执行购买、解析与证书,"Automatically execute purchase, parsing, and certificates after manual confirmation"
第二阶段,"Phase 2"
页面生成,"Page generation"
"在虚拟主题阶段直接选页面类型并编辑每类页面内容，Header/Footer 固定。","In the virtual theme stage, directly select the page type and edit the content of each page type, with Header/Footer fixed."
"AI 页面方案","AI page solution"
"可选现有模板替换区域，或让 AI 直接生成数据库虚拟主题与内容组件。","Optional: replace area with existing template, or let AI directly generate a virtual database theme and content components."
确认页面方案,"Confirm Page Scheme"
返回信息准备,"Return information preparation"
默认全页面类型，可在此阶段按需勾选,"All page types are selected by default; you can check the ones you need at this stage."
"Header/Footer 固定不可编辑","Header/Footer fixed and non-editable"
"正文区域支持 AI 组件生成并可视化保存","The content area supports AI component generation and visual saving"
第三阶段,"Phase 3"
等待域名准备为可建站状态后预览，必要时可回退上一阶段修改。,"Waiting for the domain to be ready for site building before previewing. If necessary, go back to the previous stage to make changes."
"AI 最终检查","AI final check"
发布前检查域名入库、解析与证书状态，以及主题与页面配置是否完整。,"Before publishing, check domain registration, DNS resolution, certificate status, and whether theme and page configurations are complete."
保留当前方案,"Keep Current Plan"
返回页面生成,"Return to Page Generation"
等待购买、解析、证书全部就绪,"Waiting for purchase, resolution, and certificate to all be ready"
预览站点并确认关键页面,"Preview site and confirm key pages"
不满足时回退继续编辑,"If you are not satisfied, go back and continue editing."
暂无推荐服务商,"No recommended service providers"
"AI 建议优先用 %{registrar} 处理 %{domain}，确认后按“购买 -> 解析 -> 证书”的顺序自动推进。","AI recommends that %{registrar} be used first to process %{domain}, and after confirmation, it will be automatically advanced in the order of ""Purchase -> Analysis -> Certificate""."
推荐域名：%{domain},"Recommended domain: %{domain}"
推荐服务商：%{registrar},"Recommended Service Provider: %{registrar}"
确认后可直接进入购买、解析和证书准备,"After confirmation, you can proceed directly to purchase, resolution, and certificate preparation"
"AI 建议先选 PageBuilder 的 %{template} styles/ 模板，再生成默认页面和可编辑内容区域。","AI recommends selecting the %{template} styles/ template of PageBuilder first, and then generating the default page and editable content area."
"推荐 styles 模板：%{template}","Recommended styles template: %{template}"
建议页面：%{pages},"Suggested page: %{pages}"
首页、关于、联系页,"Homepage, About, and Contact Pages"
"Header 和 Footer 固定，AI 只生成主体内容组件","Header and Footer are fixed, AI only generates the main content components"
"AI 建议先用“%{theme}”方向生成默认页面，再补齐每个页面的主要内容区块。","AI recommends first generating the default page using the ""%{theme}"" direction, and then completing the main content blocks of each page."
推荐主题方向：%{theme},"Recommended theme direction: %{theme}"
"Header 和 Footer 固定，正文区域可继续让 AI 生成","Header and Footer are fixed, the body area can continue to be generated by AI"
"AI 建议最后先看预览，再确认域名购买、解析和证书都已经进入可交付状态。","AI recommends viewing the preview before confirming that domain name purchase, resolution, and certificates have all entered the deliverable state."
域名状态：%{status},"Domain status: %{status}"
解析状态：%{status},"Parse Status: %{status}"
证书状态：%{status},"Certificate Status: %{status}"
可信金融展示风格,"Trusted Financial Display Style"
高转化健身课程风格,"High-conversion fitness course style"
"简洁清晰的 SaaS 产品风格","Clean and Clear SaaS Product Style"
品牌叙事加产品展示风格,"Brand narrative with product showcase style"
简洁可信的品牌官网风格,"Clean and Trustworthy Brand Official Website Style"
"从 Websites 工作区接管，推荐 styles 模板：%{template}","Take over from Websites workspace, recommended styles template: %{template}"
"Failed to save %{label}","Failed to save %{label}"
重新加载工作区会话失败,"Failed to reload workspace session"
工作区范围快照,"Workspace scope snapshot"
服务商交接信息,"Service provider handover information"
"Invalid %{label}: %{message}","Invalid %{label}: %{message}"
"Invalid %{label}: expected a JSON object","Invalid %{label}: expected a JSON object"
"已创建 %{name}，你可以先确认域名和服务商，再继续页面生成。","Created %{name}, you can first confirm the domain and service provider, then continue with page generation."
"AI 建站工作台 · PageBuilder 扩展","AI website building workbench · PageBuilder extension"
"继续到 PageBuilder 工作台","Continue to PageBuilder Workbench"
"返回 AI 建站工作台","Return to AI website builder workspace"
"打开 provider 原生入口","Open provider native entry"
"AI 生成内容区块","AI generated content blocks"
根据简报生成的页面主体内容,"Main page content generated from the brief"
"简约科技 / 品牌信任感 / 高对比行动按钮","Minimalist Tech / Brand Trust / High-Contrast Call-to-Action Buttons"
开始渐进式生成虚拟主题...,"Start progressively generating virtual themes..."
"正在生成 %{page_type}...","Generating %{page_type}..."
生成失败,"Generation failed"
所有页面生成完成,"All pages generated successfully"
网站头部,"Site Header"
网站底部,"Site Footer"
首页,"Home Page"
关于我们,"About Us"
联系我们,"Contact Us"
隐私政策,"Privacy Policy"
服务条款,"Terms of Service"
退款政策,"Refund Policy"
配送政策,"Shipping policy"
Cookie政策,"Cookie Policy"
博客列表,"Blog List"
博客分类,"Blog Category"
博客文章,"Blog Article"
自定义页面,"Custom Page"
"Login required","Login required"
"Please provide a site request or reference URL first","Please provide a site request or reference URL first"
"Invalid draft revision payload","Invalid draft revision payload"
"Plan draft not found","Plan draft not found"
"Invalid plan stream parameters","Invalid plan stream parameters"
"Plan generation started","Plan generation started"
"Loaded current draft plan","Loaded current draft plan"
"Plan generation failed","Plan generation failed"
"Plan generation finished","Plan generation finished"
"Invalid plan confirmation request","Invalid plan confirmation request"
"Please generate a plan before confirming it","Please generate a plan before confirming it"
"Plan confirmed","Plan confirmed"
"Invalid local pool request","Invalid local pool request"
"Invalid local pool reserve request","Invalid local pool reserve request"
"Invalid domain selection payload","Invalid domain selection payload"
"Domain selected: %{domain}","Domain selected: %{domain}"
"Invalid session creation payload","Invalid session creation payload"
"Please confirm the plan before creating a workspace session","Please confirm the plan before creating a workspace session"
"Please select a domain before creating a workspace session","Please select a domain before creating a workspace session"
"Failed to create workspace session: %{message}","Failed to create workspace session: %{message}"
"Workspace session created","Workspace session created"
"[DnsCdnAutoSwitch] 域名 %{1} 注册已完成，已加入待切换队列","[DnsCdnAutoSwitch] Domain name %{1} Registration has been completed and has been added to the queue to be switched"
"[DnsCdnAutoSwitch] 检查延迟切换 %{1} 生命周期失败：%{2}","[DnsCdnAutoSwitch] Check delayed switch %{1} Lifecycle failed: %{2}"
"[DnsCdnAutoSwitch] 开始执行，待处理域名数=%{1}","[DnsCdnAutoSwitch] Start execution, number of domain names to be processed = %{1}"
"[DnsCdnAutoSwitch] 开始处理域名：%{1}","[DnsCdnAutoSwitch] Start processing domain name: %{1}"
"[DnsCdnAutoSwitch] 域名 %{1} 切换成功","[DnsCdnAutoSwitch] Domain name %{1} Switched successfully"
"[DnsCdnAutoSwitch] 域名 %{1} 跳过（生命周期未就绪）","[DnsCdnAutoSwitch] Domain name %{1} Skip (life cycle not ready)"
"[DnsCdnAutoSwitch] 域名 %{1} 切换失败：%{2}","[DnsCdnAutoSwitch] Domain name %{1} Switch failed: %{2}"
"[DnsCdnAutoSwitch] 域名 %{1} 异常：%{2}","[DnsCdnAutoSwitch] Domain name %{1} Exception: %{2}"
"[DnsCdnAutoSwitch] 执行完毕：%{1}","[DnsCdnAutoSwitch] Execution completed: %{1}"
"[DnsCdnAutoSwitch] %{1} 目标 DNS 账户未设置，取消切换","[DnsCdnAutoSwitch] %{1} Target DNS account not set, cancel switch"
"目标 DNS 账户未设置，取消切换","Target DNS account not set, canceling switch"
"[DnsCdnAutoSwitch] %{1} 目标 DNS 账户 ID=%{2}，检查生命周期","[DnsCdnAutoSwitch] %{1} Target DNS account ID=%{2}, check lifecycle"
"[DnsCdnAutoSwitch] %{1} 生命周期状态=%{2}","[DnsCdnAutoSwitch] %{1} life cycle status = %{2}"
"[DnsCdnAutoSwitch] %{1} 生命周期已失败，取消切换","[DnsCdnAutoSwitch] %{1} life cycle has failed, switching is canceled"
生命周期已失败，取消切换,"Lifecycle has failed, canceling switch"
"[DnsCdnAutoSwitch] %{1} 无生命周期数据，视为可切换","[DnsCdnAutoSwitch] %{1} has no life cycle data and is considered switchable"
"[DnsCdnAutoSwitch] %{1} 生命周期查询失败（%{2}），视为可切换","[DnsCdnAutoSwitch] %{1} life cycle query failed (%{2}), considered switchable"
"[DnsCdnAutoSwitch] %{1} 目标 DNS 账户 ID %{2} 不存在","[DnsCdnAutoSwitch] %{1} Target DNS account ID %{2} does not exist"
"目标 DNS 账户 ID %{1} 不存在","Target DNS account ID %{1} does not exist"
任务长时间未结束，已重置为待处理,"The task has been running for a long time and has been reset to pending"
建站已锁定，跳过自动解析任务,"Site building is locked, skipping automatic parsing task"
"服务器公网 IP 无效，无法写入解析","Server public IP is invalid, unable to write resolution"
"域名池解析检查失败: root=%{1}, 错误=%{2}","Domain pool resolution check failed: root=%{1}, error=%{2}"
"[DnsMigration] 开始处理 DNS 记录迁移，待处理=%{1}","[DnsMigration] Start processing DNS record migration, pending=%{1}"
"[DnsMigration] %{1} 目标 DNS 账户未设置，跳过","[DnsMigration] %{1} Target DNS account is not set, skipped"
"[DnsMigration] %{1} 目标账户 ID %{2} 不存在，跳过","[DnsMigration] %{1} Target account ID %{2} does not exist, skipped"
"[DnsMigration] %{1} 推送 DNS 记录到账户 %{2}(%{3})","[DnsMigration] %{1} Push DNS record to account %{2}(%{3})"
"[DnsMigration] %{1} 推送成功，added=%{2}","[DnsMigration] %{1} Push successful, added=%{2}"
"[DnsMigration] %{1} 推送失败：%{2}","[DnsMigration] %{1} Push failed: %{2}"
"[DnsMigration] %{1}","[DnsMigration] %{1}"
未就绪域名较多时将分多轮处理,"When there are many unready domains, they will be processed in multiple rounds"
域名可访问性检测,"Domain accessibility check"
"HTTP/HTTPS(不校验证书) 探测连通性；证书摘要来自证书管理表（列表 hover）","HTTP/HTTPS (no certificate verification) Detect connectivity; the certificate summary comes from the certificate management table (list hover)"
"连通性检测：根域 %d 成功 / %d 失败，子域 %d 成功 / %d 失败","连通性检测：根域 %d 成功 / %d 失败，子域 %d 成功 / %d 失败"
域名订单生命周期处理,"Domain order lifecycle processing"
"轮询购买/生命周期订单，推进 DNS、解析、证书等状态","Poll purchase/lifecycle orders, advance DNS, resolution, certificate, etc. status"
"域名生命周期轮询完成：处理 %{processed} 条，完成 %{completed} 条，失败 %{failed} 条","Domain lifecycle polling completed: processed %{processed}, completed %{completed}, failed %{failed}"
"[DNS/CDN 切换] %{1}","[DNS/CDN switching] %{1}"
"（脏数据修复：同步根域 %{1} 条，补标完成 %{2} 条）","(Dirty data fix: Synced %{1} root domains, completed marking %{2} entries)"
域名生命周期轮询失败：%{error},"Domain lifecycle polling failed: %{error}"
"子域名入池失败: %{1}, %{2}","Failed to add subdomain to pool: %{1}, %{2}"
根域注册状态纠正,"Root domain registration status correction"
没有需要申请证书的域名池域名,"No domain pool domains need certificate applications"
"本次待申请证书域名数：%{1}，将逐个调用 CA 申请并输出过程","Number of domains pending certificate application this time: %{1}, will call CA one by one to apply and output the process"
域名池任务：仅按每条记录的域名申请单域证书，不做泛域（*.*）申请,"Domain pool task: Only apply for single-domain certificates per record's domain, do not apply for wildcard (*.*)"
"挑战策略 DNS-01：自动写入 _acme-challenge TXT（需父域已配置 DNS/CDN 账户且权威 NS 与服务商一致）。","Challenge strategy DNS-01: Automatically write _acme-challenge TXT (requires parent domain to have DNS/CDN account configured and authoritative NS consistent with the provider)."
"域名池证书申请完成：检查 %{1} 个，跳过 %{2} 个，申请 %{3} 个，成功 %{4} 个，失败 %{5} 个","Domain pool certificate application completed: checked %{1}, skipped %{2}, applied %{3}, succeeded %{4}, failed %{5}"
域名池证书申请任务异常：%{1},"Domain pool certificate application task exception: %{1}"
"跳过: domain 或 pool_id 为空","Skipped: domain or pool_id is empty"
"DNS/CDN 账户为空，定时任务跳过证书申请","DNS/CDN account is empty, scheduled task skips certificate application"
"开始向 CA 申请：%{1}","Applying to CA: %{1}"
"开始向 CA 申请证书（%{1}），阻塞直至申请完成","Applying for certificate from CA (%{1}), blocking until complete"
开始同步申请证书：%{1}，阻塞直至申请完成,"Starting certificate application: %{1}, blocking until complete"
"调用统一证书申请入口，等待 CA 响应…","Calling the unified certificate application endpoint, waiting for CA response…"
证书有效：%{1},"Certificate Valid: %{1}"
已满足可建站条件,"Conditions met for site creation"
"证书申请成功，已更新 HTTPS 状态与可建站","Certificate application successful, HTTPS status and site creation capability updated"
证书申请结束：%{1}，成功，已更新为可建站,"Certificate application completed: %{1}, successful, updated to allow site creation"
"证书申请失败: %{1}","Certificate Application Failed: %{1}"
"[DomainPoolCertificateRequest] 证书申请结束：%{1}，失败: %{2}","[DomainPoolCertificateRequest] Certificate application ended: %{1}, failed: %{2}"
域名池证书申请失败：%{1},"Domain pool certificate application failed: %{1}"
"证书申请异常: %{1}","Certificate application error: %{1}"
"[DomainPoolCertificateRequest] 证书申请结束：%{1}，异常: %{2}","[DomainPoolCertificateRequest] Certificate application ended: %{1}, exception: %{2}"
域名池证书申请异常：%{1},"Domain pool certificate application exception: %{1}"
"已与 SSL 证书管理器同步（池状态此前与有效证书记录不一致）","Synced with SSL certificate manager (pool status previously inconsistent with valid certificate records)"
泛域证书覆盖,"Wildcard Certificate Coverage"
"泛域证书已覆盖同根下 %{1} 条池子记录，已全部标为有效","The wildcard certificate has covered %{1} pool records under the same root, all marked as valid"
查询管理证书健康状态失败：%{1},"Failed to query certificate health status: %{1}"
解析管理证书失败：%{1},"Failed to Parse Management Certificate: %{1}"
没有需要校验的域名池证书,"No domain pool certificates to validate"
本次校验域名数：%{1},"Number of domains to verify this time: %{1}"
"[%{1}] 证书丢失或无 PEM，回退 HTTPS 状态","[%{1}] Certificate is missing or no PEM, fallback to HTTPS status"
"[DomainPoolCertificateVerify] 域名 %{1} 证书丢失，回退 HTTPS 状态","[DomainPoolCertificateVerify] Domain name %{1} certificate lost, fallback to HTTPS status"
"证书在库中无效或 PEM 丢失，已回退 HTTPS","Certificate Invalid in Library or PEM Missing, HTTPS Reverted"
"[%{1}] 域名已建站，立即重新申请证书","[%{1}] The domain name has been established, reapply for the certificate immediately"
"证书校验完成：检查 %{1}，正常 %{2}，失效 %{3}，重新申请 %{4}（成功 %{5}，失败 %{6}）","Certificate Verification Complete: Checked %{1}, Valid %{2}, Invalid %{3}, Reapplied %{4} (Succeeded %{5}, Failed %{6})"
域名池证书校验任务异常：%{1},"Domain pool certificate verification task exception: %{1}"
"[%{1}] DNS/CDN 账户为空，无法重新申请证书","[%{1}] The DNS/CDN account is empty and the certificate cannot be reapplied"
"[DomainPoolCertificateVerify] 域名 %{1} 需重新申请证书但 DNS/CDN 账户为空","[DomainPoolCertificateVerify] Domain name %{1} needs to re-apply for certificate but DNS/CDN account is empty"
"[%{1}] 证书重新申请成功","[%{1}] Certificate re-application successful"
"[DomainPoolCertificateVerify] 域名 %{1} 证书重新申请成功","[DomainPoolCertificateVerify] Domain name %{1} Certificate re-apply successfully"
"[%{1}] 证书重新申请失败：%{2}","[%{1}] Certificate re-application failed: %{2}"
"[DomainPoolCertificateVerify] 域名 %{1} 证书重新申请失败：%{2}","[DomainPoolCertificateVerify] Domain name %{1} Certificate re-application failed: %{2}"
"[%{1}] 证书重新申请异常：%{2}","[%{1}] Certificate re-application exception: %{2}"
"[DomainPoolCertificateVerify] 域名 %{1} 证书重新申请异常：%{2}","[DomainPoolCertificateVerify] Domain name %{1} Certificate re-application exception: %{2}"
"【解析阶段】本批 %{1} 条（registered/awaiting_origin，距上次检测≥约10分钟）","[Analysis stage] %{1} items in this batch (registered/awaiting_origin, ≥ about 10 minutes since the last detection)"
开始处理,Processing
"DNS 检测结果: resolved=%{1}, ip=%{2}","DNS detection results: resolved=%{1}, ip=%{2}"
"DNS 检测结果","DNS detection results"
"DNS 未解析","DNS not resolved"
