订单创建后,"After order creation"
"CheckoutGroup 金额不守恒","CheckoutGroup amount is not conserved"
"shipping owner 必须承载组运费 100%","The shipping owner must carry 100% of the group shipping cost"
"非 owner Order 运费必须为 0","Non-owner Order shipping fee must be 0"
"必须恰好一个 shipping charge owner","There must be exactly one shipping charge owner"
运费合计不守恒,"Total freight charges are not conserved"
"MoneySnapshot 不可变","MoneySnapshot is immutable"
"entity_uuid 不能为空","entity_uuid cannot be empty"
"website_id/store_id 须 >=0","website_id/store_id must >=0"
"展示号分配冲突耗尽（最多 %{1} 次）","Display number allocation conflicts exhausted (up to %{1} times)"
展示号已被占用,"Display number has been occupied"
"非法 number_kind：%{1}","Illegal number_kind:%{1}"
展示号随机源返回值越界,"The return value of the display number random source is out of bounds"
展示号原子占位失败,"Failed to occupy display number atom"
数据库标识符不能为空,"Database identifier cannot be empty"
"display_number 必须是 10 位数字","display_number must be 10 digits"
"entity_uuid 不能为空且不能超过 36 字符","entity_uuid cannot be empty and cannot exceed 36 characters"
"DisplayNumberAllocator all 仅 memory 模式","DisplayNumberAllocator all memory only mode"
"DisplayNumberAllocator replaceMemory 仅 memory 模式","DisplayNumberAllocator replaceMemory memory only mode"
支付方式不支持优惠方式：%s,"The payment method does not support the preferential method: %s"
"无法唯一证明退款行的原 Warehouse","Unable to uniquely prove the original Warehouse of the refund line"
"查号必须携带 number_kind","Directory lookup must carry number_kind"
"display_number 不能为空","display_number cannot be empty"
展示号未找到：%{1}/%{2},"Display number not found: %{1}/%{2}"
退款已到账,"Refund has been received"
"订单 %{1} 的退款已到账","Refund for order %{1} has been received"
退款迟到成功需要人工对账,"Late and successful refunds require manual reconciliation"
"订单 %{1} 的失败退款出现迟到成功，已冻结新退款","The failed refund of order %{1} appeared late and successful, and the new refund has been frozen"
"订单退款 Outbox %{1}","Order Refund Outbox %{1}"
笔订单,orders
部分状态不同，已展开,"Some statuses are different and have been expanded."
混合类型,混合类型
批发订单,"Wholesale order"
零售订单,"Retail order"
状态不一致,"Inconsistent status"
状态待确认,"Status awaiting confirmation"
退款处理中,"Refund in progress"
退款失败,"Refund failed"
退款对账中,"Refund reconciliation in progress"
无退款,"No refund"
退款状态待确认,"Refund status pending confirmation"
已开票,Invoiced
发票处理中,"Invoice is being processed"
无发票,"No invoice"
发票状态待确认,"Invoice status pending confirmation"
部分履约,"Partially fulfilled"
履约未开始,"Performance has not started"
履约状态待确认,"Fulfillment status pending confirmation"
物流状态不一致,物流状态不一致
订单支付状态提交后无法重新读取,"The order payment status cannot be re-read after submission."
"Order 持久化快照无效","Order persistence snapshot is invalid"
"支付通知与 Order 持久化事实不一致","Payment notification is inconsistent with Order persistence facts"
当前订单状态不能接受支付成功通知,"The current order status cannot accept payment success notification"
订单支付状态已被并发修改,"The order payment status has been modified concurrently"
支付成功，订单进入处理,"The payment is successful and the order is processed"
其他,其他
"承运商 #%{1}","承运商 #%{1}"
"仓库 #%{1}","仓库 #%{1}"
"仓库 #%{1}（默认）","仓库 #%{1}（默认）"
已发完,已发完
未知,未知
"未知 cutover mode：%{1}","Unknown cutover mode: %{1}"
"生产 on 必须显式授权令牌","Production on must explicitly authorize the token"
"实际 cutover 须由 TASK-MIG-P2-ORDER 携带 production_on_token","The actual cutover must be carried by TASK-MIG-P2-ORDER production_on_token"
"rollback 不得直接设为 on","rollback cannot be directly set to on"
"已有新 Order 时拒绝会混淆事实源的 unsafe rollback；可切 shadow，且绝不恢复旧 writer","When there is a new Order, unsafe rollback that would confuse the source of truth is rejected; shadow can be cut, and the old writer will never be restored."
"禁止回滚恢复旧 Checkout writer","Disable rollback to restore old Checkout writer"
成功,Success
失败,Failed
"Order 售卖类型 code 不能为空","Order 售卖类型 code 不能为空"
"重复的 Order 售卖类型 code：%{1}","重复的 Order 售卖类型 code：%{1}"
未注册的订单售卖类型：%{1},未注册的订单售卖类型：%{1}
历史批发订单,"Historical wholesale order"
订单当前状态不允许退款,"Order cannot be refunded in current status"
退款金额不能为空,"Refund amount cannot be empty"
退款金额不能超过订单总额,"Refund amount cannot exceed order total"
退款总额不能超过订单总额,"Total refund amount cannot exceed order total"
退款记录不存在,"Refund record does not exist"
只有待处理的退款才能处理,"Only pending refunds can be processed"
订单已退款,"Order refunded"
"订单状态不能从 %{1} 转换到 %{2}","Order status cannot transition from %{1} to %{2}"
状态转换被阻止,"Status Transition Blocked"
订单状态已被并发修改,"The order status has been modified concurrently"
"endpoint_code 无效","endpoint_code 无效"
"跟踪 Provider 不存在","跟踪 Provider 不存在"
物流反馈验签失败,物流反馈验签失败
物流反馈解析失败,物流反馈解析失败
同源事件载荷冲突,同源事件载荷冲突
物流反馈已接收（幂等）,物流反馈已接收（幂等）
"物流反馈已写入 Inbox","Tracking feedback stored in inbox"
请填写订单号与下单邮箱或手机号,"Enter order number and email or phone used at checkout"
未找到匹配的订单,"No matching order found"
联系方式与订单不匹配,"Contact does not match this order"
订单标识不能为空,订单标识不能为空
选项,选项
"OrderPlan 影子比对只允许在 shadow mode 执行","OrderPlan shadow comparison is only allowed in shadow mode"
"影子计划字段 %{1} 必须是数组","Shadow plan field %{1} must be an array"
影子副作用快照必须返回数组,"Shadow side-effect snapshot must return an array"
"影子副作用快照字段 %{1} 必须是非负整数","Shadow side-effect snapshot field %{1} must be a non-negative integer"
"Order 不存在","Order does not exist"
发货数量或版本无效,"Invalid shipping quantity or version"
"FulfillmentUnit 不存在","FulfillmentUnit does not exist"
"FulfillmentUnit 缺少 Warehouse","FulfillmentUnit is missing Warehouse"
"履约 CAS 版本冲突","Fulfillment CAS version conflict"
累计发货数量超过可发数量,"The cumulative quantity shipped exceeds the quantity that can be shipped"
"履约 CAS 写入冲突","Fulfillment CAS write conflict"
"履约进度 ledger 唯一约束冲突","Fulfillment progress ledger unique constraint conflict"
"履约进度 idempotency payload 冲突","Performance progress idempotency payload conflict"
"履约 idempotency identity 无效","Fulfillment idempotency identity is invalid"
"%{1} 无效","%{1} is invalid"
订单已生成发票,"Invoice already generated for this order"
发票不存在,"Invoice does not exist"
"旧 Checkout writer 已被 cutover gate 禁止（mode=%{1}）","The old Checkout writer has been disabled by the cutover gate (mode=%{1})"
"新 Order writer 在当前 mode 不可写（mode=%{1}；shadow 仅允许 plan）","The new Order writer is not writable in the current mode (mode=%{1}; shadow only allows plan)"
"MIG-P2-ORDER：Checkout→Order 单写切流（仅登记的隔离 clone）","MIG-P2-ORDER: Checkout→Order single write flow (only registered isolation clone)"
联系人、地址与备注在下方「客户调整」区编辑。,联系人、地址与备注在下方「客户调整」区编辑。
前往客户调整,前往客户调整
本单发货进度,本单发货进度
"沟通备注 · 取消 · 发货记录 · 历史","沟通备注 · 取消 · 发货记录 · 历史"
发货记录,"Shipment Records"
发货时间,"Shipped At"
暂无发货记录,"No Shipment Records"
"发货记录 / 补充运单号","发货记录 / 补充运单号"
待补运单号,待补运单号
通知,通知
补充,补充
发货须填写平台物流单号；勾选通知时向客户发送「已发货」邮件。成功后写入发货记录、履约进度与不可变账本。,发货须填写平台物流单号；勾选通知时向客户发送「已发货」邮件。成功后写入发货记录、履约进度与不可变账本。
"例如：顺丰 / UPS","例如：顺丰 / UPS"
平台物流单号,平台物流单号
运单号,运单号
发送「已发货」邮件,发送「已发货」邮件
请填写平台物流单号后再发货,请填写平台物流单号后再发货
"承运商名称过长，请控制在 100 字以内","承运商名称过长，请控制在 100 字以内"
填写承运商与平台物流单号后提交发货；勾选通知时会向客户邮箱发送「已发货」邮件。,填写承运商与平台物流单号后提交发货；勾选通知时会向客户邮箱发送「已发货」邮件。
数量按履约单元扣减；成功后写入发货记录与仓维进度账本。,数量按履约单元扣减；成功后写入发货记录与仓维进度账本。
"例如：顺丰 / UPS / DHL","例如：顺丰 / UPS / DHL"
填写对外给客户的运单号,填写对外给客户的运单号
本次发货数量,本次发货数量
发货后发送「已发货」邮件给客户,发货后发送「已发货」邮件给客户
本单待发履约单元；提交后写入仓维进度账本。,本单待发履约单元；提交后写入仓维进度账本。
仓库,storehouse
本单暂无可发货履约单元,本单暂无可发货履约单元
"发货动作写入仓维 FulfillmentUnit 与不可变进度账本；相同幂等键和载荷不会重复扣减可发数量。","The shipping action is written into the warehouse FulfillmentUnit and the immutable progress ledger; the same idempotent key and load will not repeatedly deduct the deliverable quantity."
"CAS 版本","CAS version"
送达时间,"Delivered At"
"订单详情支付记录空槽内的默认扩展点；由万能支付模块注入 Attempt 记录，禁止 Order 直读支付表拼表。","订单详情支付记录空槽内的默认扩展点；由万能支付模块注入 Attempt 记录，禁止 Order 直读支付表拼表。"
配送方式代码,配送方式代码
"为客户调整（联系 / 地址 / 备注）","为客户调整（联系 / 地址 / 备注）"
客户留言与运营备注；地址与客户选择保存后写入订单,客户留言与运营备注；地址与客户选择保存后写入订单
为客户调整入口,为客户调整入口
发货管理,"Shipping management"
退款管理,"Refund management"
支付与沟通（详情）,支付与沟通（详情）
支付记录与订单沟通请在,支付记录与订单沟通请在
中查看与操作,中查看与操作
累计校验,累计校验
行累计与商品小计不一致，请核对快照,行累计与商品小计不一致，请核对快照
收货地址（当前）,收货地址（当前）
账单地址（当前）,账单地址（当前）
收货地址调整,收货地址调整
账单地址调整,账单地址调整
可编辑字段,可编辑字段
客户ID,"Customer ID"
访客结账（无注册客户）,访客结账（无注册客户）
客户留言与运营备注，保存后写入订单记录,客户留言与运营备注，保存后写入订单记录
搜索订单号、客户姓名、邮箱,"Search order number, customer name, email"
零售,Retail
历史批发,"Historical wholesale"
支付记录,"Payment Records"
支付金额,"Payment Amount"
交易ID,"Transaction ID"
支付时间,"Paid At"
暂无支付记录,"No Payment Records"
"Material Design Icons 类名，如：mdi-check-circle","Material Design Icons class name, such as: mdi-check-circle"
支付已确认，订单进入处理中,"Payment has been confirmed and the order is being processed"
支付已完成,"Payment completed"
物流单号更新成功,"Tracking number updated successfully"
发货ID不能为空,"Shipment ID cannot be empty"
标记成功,"Marked successfully"
创建发货,"Create shipment"
创建发货记录,"Create shipping record"
更新物流单号,"Update logistics order number"
标记已送达,"Mark delivered"
标记为已送达,"Mark as delivered"
退款ID不能为空,"Refund ID cannot be empty"
退款处理成功,"Refund processed successfully"
创建退款,"Create a refund"
创建退款记录,"Create a refund record"
处理退款,"Process a refund"
处理退款申请,"Process refund request"
支付管理,"Payment management"
发票ID不能为空,"Invoice ID cannot be empty"
发票管理,"Invoice management"
生成发票,"Generate invoice"
打印发票,"Print invoice"
发票,bill
"MIG-P2-ORDER：Checkout→Order 单写切流（apply 必须 --database=mig_clone_*）","MIG-P2-ORDER: Checkout→Order single write flow (apply must --database=mig_clone_*)"
"已创建以下数据表: weline_checkout_group, weline_order, weline_order_item, weline_fulfillment_unit, weline_order_payment, weline_order_shipment, weline_order_refund, weline_order_invoice, weline_order_history, weline_order_status, weline_order_status_translation","The following data tables have been created: weline_checkout_group, weline_order, weline_order_item, weline_fulfillment_unit, weline_order_payment, weline_order_shipment, weline_order_refund, weline_order_invoice, weline_order_history, weline_order_status, weline_order_status_translation"
"已创建以下数据表: weline_order, weline_order_item, weline_order_payment, weline_order_shipment, weline_order_refund, weline_order_invoice, weline_order_history, weline_order_status, weline_order_status_translation","Created the following data tables: weline_order, weline_order_item, weline_order_payment, weline_order_shipment, weline_order_refund, weline_order_invoice, weline_order_history, weline_order_status, weline_order_status_translation"
"idempotency_key/request_hash 不能为空","idempotency_key/request_hash cannot be empty"
"行 %{1} 数量/单价非法","Row %{1} illegal quantity/unit price"
"OrderFacade create 当前仅 memory/harness；请在集成环境挂 DB writer 适配器","OrderFacade create currently only has memory/harness; please install the DB writer adapter in the integrated environment"
"OrderFacade get 当前仅 memory/harness","OrderFacade get currently only memory/harness"
"OrderFacade getGroup 当前仅 memory/harness","OrderFacade getGroup currently only has memory/harness"
"DisplayNumberAllocator 当前仅 memory/harness；请挂 Registry writer","DisplayNumberAllocator currently only has memory/harness; please hang Registry writer"
批发,Wholesale
