系统信息,"System Information"
应用商城,"App Store"
开发工具,"Developer tools"
开发文档,"Developer Docs"
异步事件死信运维,"Asynchronous event dead letter operation and maintenance"
异步资源变更验收台,"Asynchronous resource change acceptance platform"
影子验证,"Shadow verification"
循环依赖检测,"Circular dependency detection"
快递公司,Carrier
快速入门,"Quick start"
总览,Overview
我的模块,"My modules"
打开验证器APP,"Open Authenticator App"
扩展列表,"Extension list"
扩展管理,"Extension management"
扫描元数据,"Scan metadata"
报价令牌,"quote token"
拆分规则,"Split rules"
推送管理,"Push management"
插件管理,"Plugin management"
搜索管理,"Search management"
搜索配置,"Search configuration"
支付对账,"payment reconciliation"
支付方式,"Payment Method"
支付诊断,"Pay Diagnosis"
攻击日志,"Attack Log"
数据库管理,"Database management"
文档管理,"Document management"
文档管理配置,"Document Management Config"
文档说明,"Documentation description"
本地化,Localization
权限标签,"Permissions label"
权限管理,"Permission management"
权限角色,"Permission role"
查看全部网站异步事件,"View async events for all websites"
标签库,"Tag library"
标签资源,"Tag Resources"
标签验证,"Tag verification"
核心更新,"Core Update"
模块资源,"Module Resources"
沙盒配置,"Sandbox Config"
流量渠道,"Traffic channels"
测试沙盒,"Test sandbox"
测试管理,"test management"
消息队列,"Message queue"
消费者,consumer
渠道管理,"Channel management"
热表明细,"Hot table details"
物流跟踪,Tracking
环境管理,"Environment Manager"
生成式搜索引擎优化,"Generative engine optimization"
用户列表,"User list"
税务管理,"tax management"
税务规则,"tax rules"
税引擎状态,"tax engine status"
税率,"tax rate"
税类,"tax category"
站点授权,"Site authorization"
站点文案,"site copywriting"
站点管理,"Site Management"
站点账户绑定,"Site Account Binding"
索引代次,"Index generation"
组件库,"Component Library"
结算账本,"Settlement ledger"
结账会话,"Checkout session"
结账诊断,"Checkout diagnostics"
统一配置中心,"Unified configuration center"
续费尝试,"Renewal attempt"
续费调度,"Renewal Scheduling"
综合测试,"Comprehensive testing"
缓存服务,"Cache service"
缓存策略,"caching strategy"
缓存管理,"Cache Management"
编辑器管理,"Editor management"
网站功能授权,"Website function authorization"
网站备份,"Site Backup"
网站服务,"Website Service"
网站管理,"Website management"
网站维护,"Site Maintenance"
网站迁移与复制,"Website migration and replication"
翻译服务,"Translation Service"
翻译记录,"Translation Records"
菜单管理,"Menu management"
营销规则,"Marketing Rule"
融媒体管理,"Social Media Management"
规则管理,"Rule Management"
角色归配,"Role assignment"
计划任务,"Scheduled tasks"
订单价格快照,"Order price snapshot"
订单列表,"Order List"
订单发票管理,"Order invoice management"
订单发货管理,"Order delivery management"
订单异常与补偿,"Order exceptions and compensation"
订单收款记录,"Order collection record"
订单状态管理,"Order Status Management"
订单退款管理,"Order refund management"
订阅,subscription
订阅周期,"Subscription cycle"
订阅管理,"Subscription management"
许可证管理,"License Management"
设备管理,"Device management"
访问信息,"Visitor insights"
评论管理,"Review management"
词典,Dictionary
询盘表单,"Inquiry forms"
语言申请,"Language application"
账户管理,"Account Management"
账户绑定,"Account Binding"
货币列表,"Currency List"
货币配置,"Currency Configuration"
购物车检查,"Cart inspection"
费用模板,"Rate Template"
资产结算,"Asset settlement"
资产账户,"asset account"
资产账本,"Asset ledger"
资产退回,"Asset return"
资产预留,"Asset reservation"
路由管理,"Route management"
迁移状态,"Migration status"
运送地址,"Shipping addresses"
退款冲正,"Refund offset"
退款对账,"Refund reconciliation"
部件管理,"Widget Management"
部署配置,"Deployment configuration"
配送区域,"Shipping Zone"
配送总览,"Shipping overview"
配送服务,"Shipping Service"
重放异步事件死信,"Replay async event dead letters"
重试诊断,"Retry diagnostics"
销售报价,"sales quotation"
队列列表,"Queue list"
队列类型,"Queue type"
降级状态,"Degraded status"
面板配置,"Panel configuration"
预占租约,"Preemption lease"
预热管理,"Warm-up management"
验证码配置,"Captcha configuration"
默认模型,"Default model"
后台主导航,"Backend primary navigation"
搜索菜单,"Search menus"
搜索菜单…,"Search menus…"
没有匹配的菜单,"No matching menus"
后台菜单,"Backend menu"
